,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2341,1937,1827,2113,2698,3277,2505,2691,2559,2677,2992,-,-,-,-,-
1,Market Cap Growth,-40.88%,-40.88%,-27.06%,-21.46%,5.44%,22.42%,-16.27%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2334,1934,1785,2097,2682,3249,2521,2625,2493,2443,3242,-,-,-,-,-
3,Last Close Price,21.89,18.00,16.68,19.29,24.63,29.91,22.86,24.45,23.25,24.32,26.93,-,-,-,-,-
4,PE Ratio,35.92,29.35,29.46,34.21,43.62,58.31,46.14,41.12,35.05,31.41,32.10,-,-,-,-,-
5,PS Ratio,3.39,2.77,2.66,3.18,4.09,5.08,3.94,4.12,3.88,3.86,4.38,-,-,-,-,-
6,PB Ratio,2.35,1.95,1.85,2.11,2.73,3.37,2.61,2.83,2.73,2.89,3.17,-,-,-,-,-
7,P/TBV Ratio,2.03,2.03,1.93,2.20,2.85,3.53,2.73,2.96,2.87,3.03,3.29,-,-,-,-,-
8,P/FCF Ratio,28.12,23.27,-785.13,39.08,42.69,-,-22.24,-17.29,-,-,-122.65,-,-,-,-,-
9,P/OCF Ratio,14.13,14.13,33.22,19.64,24.34,-,-85.30,-35.17,-,-,69.35,-,-,-,-,-
10,EV/Sales Ratio,3.33,2.76,2.59,3.15,4.06,5.04,3.96,4.01,3.78,3.52,4.74,-,-,-,-,-
11,EV/EBITDA Ratio,16.09,13.90,13.77,16.09,21.04,29.89,23.97,22.14,18.71,15.22,19.53,-,-,-,-,-
12,EV/EBIT Ratio,31.65,25.68,25.88,29.18,37.15,57.42,46.54,36.65,-,20.87,25.56,-,-,-,-,-
13,EV/FCF Ratio,28.03,23.23,-766.86,38.79,42.43,-,-22.38,-16.86,-,-,-132.88,-,-,-,-,-
14,Debt / Equity Ratio,0.07,0.07,0.03,0.03,0.06,0.09,0.11,0.12,0.13,0.11,0.30,0.55,0.53,-,-,0.42
15,Debt / EBITDA Ratio,0.45,0.40,0.21,0.25,0.57,0.73,0.71,0.94,2.80,0.95,1.39,1.39,1.52,-,-,1.05
16,Debt / FCF Ratio,0.78,0.78,-13.31,0.63,1.01,-,-0.95,-0.76,-,-,-11.67,-,-,-,-,-
17,Asset Turnover,0.56,0.64,0.58,0.52,0.54,0.56,0.55,0.47,0.45,0.63,0.77,-,-,-,-,
18,Inventory Turnover,9.13,8.74,10.02,8.97,8.34,8.32,8.31,7.27,6.08,6.24,6.38,5.76,-,-,-,-
19,Quick Ratio,2.14,2.14,2.42,3.42,2.69,2.47,2.43,2.16,2.02,2.00,1.64,0.66,0.64,-,-,-
20,Current Ratio,2.41,2.41,2.72,3.87,3.05,2.76,2.70,2.47,2.38,2.27,1.79,0.92,0.89,-,-,-
21,Return on Equity (ROE),6.69%,7.08%,6.43%,6.45%,5.23%,7.28%,6.81%,4.35%,4.58%,16.20%,20.84%,-,-,-,-,
22,Return on Assets (ROA),5.07%,3.88%,3.89%,2.59%,3.88%,4.44%,3.88%,-0.61%,3.05%,8.18%,9.43%,-,-,-,-,
23,Return on Capital (ROIC),6.08%,4.56%,4.46%,2.99%,4.45%,5.07%,4.46%,-0.71%,3.65%,10.04%,12.35%,-,-,-,-,
24,Return on Capital Employed (ROCE),7.26%,7.42%,6.76%,6.94%,7.08%,5.63%,5.50%,7.37%,-,12.39%,13.18%,26.24%,26.36%,-,-,-
25,Earnings Yield,2.82%,3.41%,3.39%,2.92%,2.29%,1.72%,2.17%,2.43%,2.85%,3.18%,3.12%,-,-,-,-,-
26,FCF Yield,3.56%,4.30%,-0.13%,2.56%,2.34%,-0.55%,-4.50%,-5.78%,-7.93%,-5.56%,-0.82%,-,-,-,-,-
27,Dividend Yield,1.14%,-,-,-,1.02%,-,-,-,1.51%,-,0.93%,-,-,-,-,-
28,Payout Ratio,45.68%,171.03%,3.31%,-,7.53%,7.40%,67.66%,7.00%,19.69%,262.74%,12.16%,11.53%,-,43.89%,96.47%,25.25%
29,Buyback Yield / Dilution,-0.46%,1.89%,-1.53%,0.54%,-2.64%,0.80%,-33.31%,-31.49%,-32.83%,-31.23%,-1.05%,5.71%,-,-,-,-
30,Total Shareholder Return,0.68%,1.89%,-1.53%,0.54%,-1.62%,0.80%,-33.31%,-31.49%,-31.32%,-31.23%,-0.12%,5.71%,-,-,-,-
