,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,6982,2743,3742,5575,8578,8337,15607,17276,-,-
1,Market Cap Growth,-50.79%,-50.79%,-56.38%,-33.13%,-45.04%,-51.74%,-,-,-,-
2,Enterprise Value,5435,798,1505,3139,5764,5055,11806,16154,-,-
3,Last Close Price,12.72,4.80,6.50,9.69,14.98,14.62,27.50,30.45,-,-
4,PS Ratio,402.69,402.69,-,-,-,-,492.57,-,-,-
5,PB Ratio,4.34,1.71,1.89,2.34,3.07,2.55,4.24,4.25,-,-
6,P/TBV Ratio,1.71,1.71,1.89,2.35,3.09,2.57,4.27,4.28,-,-
7,EV/Sales Ratio,117.15,117.15,-,-,-,-,372.60,-,-,-
8,Debt / Equity Ratio,0.14,0.14,0.05,0.05,0.05,0.12,0.11,0.09,-0.06,-
9,Earnings Yield,-10.69%,-27.22%,-22.02%,-17.84%,-11.76%,-10.21%,-37.31%,-34.23%,-,-
10,FCF Yield,-8.84%,-22.50%,-13.65%,-9.55%,-10.26%,-12.74%,-5.41%,-2.70%,-,-
11,Buyback Yield / Dilution,-0.40%,-0.28%,-0.52%,-1.11%,-0.63%,-146.07%,-177.79%,-12.67%,-,-
12,Total Shareholder Return,-0.40%,-0.28%,-0.52%,-1.11%,-0.63%,-146.07%,-177.79%,-12.67%,-,-
