,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,1653,1850,1684,2268,600.03,691.28,1895,1043,-
1,Short-Term Investments,-,1.13,496.76,6.31,2146,2321,1566,1.81,-
2,Cash & Short-Term Investments,1653,1851,2181,2274,2746,3012,3461,1045,-
3,Cash Growth,-24.22%,-18.62%,-20.58%,-24.50%,-20.67%,188.31%,-,-,-
4,Accounts Receivable,3.47,-,-,-,-,-,-,-,-
5,Other Receivables,19.94,11.82,18.58,16.58,40.73,49.05,11.74,5.91,-
6,Receivables,23.41,11.82,18.58,16.58,40.73,49.05,11.74,5.91,-
7,Inventory,5.07,0.68,-,-,-,-,-,-,-
8,Other Current Assets,58.65,9.71,13.83,9.72,12.33,9.57,8.88,5.1,-
9,Total Current Assets,1740,1873,2213,2301,2799,3071,3482,1056,-
10,"Property, Plant & Equipment",339.92,361.39,417.67,441.38,457.9,386.19,283.24,156.77,-
11,Other Intangible Assets,6.54,8.66,9.29,14.48,18.18,20.13,21.85,23.52,-
12,Other Long-Term Assets,16.34,14.08,4.92,6.32,4.78,28.46,14.83,17.77,-
13,Total Assets,2102,2257,2645,2763,3280,3506,3802,1254,-
14,Accrued Expenses,103.69,151.07,112.09,137.2,118.13,94.71,82.52,59.11,-
15,Current Portion of Long-Term Debt,19.97,2.52,4.98,4.85,223.25,219.33,167.49,68.37,-
16,Current Portion of Leases,13.17,12.23,16.23,17.13,15.95,14.03,11.46,5.89,-
17,Current Income Taxes Payable,2.55,-,1.39,1.34,0.7,7.65,1.12,-,-
18,Current Unearned Revenue,37.87,23.46,194.52,6.57,7.57,10.14,3.59,3.59,-
19,Other Current Liabilities,6.44,6.94,4.6,3.92,4.43,43.32,20.61,8.27,-
20,Total Current Liabilities,183.68,196.22,333.81,171,370.03,389.17,286.78,145.23,-
21,Long-Term Debt,109.15,-,-,2.52,4.98,7.38,9.71,11.98,-
22,Long-Term Leases,70.79,70.47,89.88,94.94,99.75,97.31,111.85,14.02,-
23,Long-Term Unearned Revenue,241.56,188.83,15.68,21.18,14.36,15.12,11.74,13.17,-
24,Other Long-Term Liabilities,-,-,-,-,-,-,-,2746,-
25,Total Liabilities,605.18,455.51,439.36,289.65,489.12,508.98,420.08,2930,-
26,Common Stock,0,0,0,0,0,0,0,-,-
27,Additional Paid-In Capital,9388,9437,9435,9430,9424,9420,9419,-,-
28,Retained Earnings,-8541,-8190,-7847,-7442,-6926,-6550,-6199,-1823,-
29,Comprehensive Income & Other,650.32,554.6,617.35,484.89,292.84,126.63,162.38,146.68,-
30,Shareholders' Equity,1497,1802,2206,2473,2791,2997,3382,-1676,-
31,Total Liabilities & Equity,2102,2257,2645,2763,3280,3506,3802,1254,-
32,Total Debt,213.07,85.22,111.09,119.45,343.93,338.05,300.51,100.26,-
33,Net Cash (Debt),1439,1766,2070,2155,2402,2674,3161,944.52,-
34,Net Cash Growth,-30.45%,-18.06%,-13.84%,-19.42%,-24.01%,183.13%,-,-,-
35,Net Cash Per Share,2.58,3.17,3.73,3.89,4.37,4.86,14.16,4.77,-
36,Filing Date Shares Outstanding,548.89,575.64,575.32,572.63,570.28,567.54,567.35,198.14,198.14
37,Total Common Shares Outstanding,548.89,575.64,575.32,572.63,570.28,567.54,567.35,198.14,198.14
38,Working Capital,1556,1677,1879,2130,2429,2682,3195,910.56,-
39,Book Value Per Share,2.73,3.13,3.83,4.32,4.89,5.28,5.96,-8.46,-
40,Tangible Book Value,1491,1793,2196,2459,2772,2977,3360,-1700,-
41,Tangible Book Value Per Share,2.72,3.11,3.82,4.29,4.86,5.24,5.92,-8.58,-
42,Buildings,-,81.32,54.41,80.92,36.82,36.82,36.82,36.82,-
43,Machinery,-,217.89,257.51,201.82,197.85,176.69,143.66,137.49,-
44,Construction In Progress,-,2.13,8.46,12.15,220.75,152.14,27,-,-
45,Leasehold Improvements,-,200.93,186.86,197.47,13.67,11.79,6.58,3.02,-
