,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,6.34,-,-,-,-,25.81,-,-,-
1,Cost of Revenue,4.72,-,-,-,-,-,-,-,-
2,Gross Profit,1.62,-,-,-,-,25.81,-,-,-
3,"Selling, General & Admin",88.98,70.48,62.83,73.3,63.31,62.23,64.3,56.63,20.98
4,Research & Development,243.61,337.24,322.8,363.51,315.98,325.51,175.52,156.12,124.91
5,Other Operating Expenses,-2.75,2.62,-10.92,-7.14,-3.31,-12.2,-2.14,-9.73,-0.24
6,Operating Expenses,329.84,410.34,374.71,429.67,375.97,375.54,237.67,203.02,145.65
7,Operating Income,-328.22,-410.34,-374.71,-429.67,-375.97,-349.73,-237.67,-203.02,-145.65
8,Interest Expense,-2.61,-2.12,-2.54,-6.15,-9.37,-6.85,-4.01,-6.48,-7
9,Interest & Investment Income,32.75,34.76,38.04,20.87,6.7,7.67,1.94,0.71,0.05
10,Currency Exchange Gain (Loss),-53.48,34.79,-65.26,-99.66,2.31,5.98,1.48,21.62,0
11,Other Non Operating Income (Expenses),-,-,-,-,-,-,-4156,-336.04,-388.25
12,Pretax Income,-351.56,-342.92,-404.47,-514.61,-376.34,-342.93,-4394,-523.21,-540.84
13,Income Tax Expense,-,0.41,-,1.3,-,7.65,-,-,-
14,Net Income,-351.56,-343.32,-404.47,-515.91,-376.34,-350.58,-4394,-523.21,-540.84
15,Net Income to Common,-351.56,-343.32,-404.47,-515.91,-376.34,-350.58,-4394,-523.21,-540.84
16,Shares Outstanding (Basic),557,557,555,554,549,550,223,198,198
17,Shares Outstanding (Diluted),557,557,555,554,549,550,223,198,198
18,Shares Change (YoY),0.28%,0.52%,1.11%,0.63%,146.07%,177.79%,12.67%,-,-
19,EPS (Basic),-0.63,-0.62,-0.73,-0.93,-0.69,-0.64,-19.68,-2.64,-2.73
20,EPS (Diluted),-0.63,-0.62,-0.73,-0.93,-0.69,-0.64,-19.68,-2.64,-2.73
21,Free Cash Flow,-260.56,-313.94,-149.83,-342.76,-435.69,-470.8,-217.36,-171.18,-141.7
22,Free Cash Flow Per Share,-0.47,-0.56,-0.27,-0.62,-0.79,-0.86,-0.97,-0.86,-0.72
23,Operating Margin,-5176.96%,-,-,-,-,-1354.84%,-,-,-
24,Profit Margin,-5545.08%,-,-,-,-,-1358.14%,-,-,-
25,Free Cash Flow Margin,-4109.76%,-,-,-,-,-1823.89%,-,-,-
26,EBITDA,-292.54,-376.3,-340.25,-394.45,-354.28,-330.58,-221.91,-186.73,-129.66
27,D&A For EBITDA,35.68,34.04,34.46,35.22,21.7,19.15,15.76,16.29,15.98
28,EBIT,-328.22,-410.34,-374.71,-429.67,-375.97,-349.73,-237.67,-203.02,-145.65
