,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Market Capitalization,8482,7516,5847,5224,5798,7586,6581,6854,10097,7816,8005,12852,-,-,-,-,-,-,-
1,Market Cap Growth,-0.93%,-0.93%,-11.16%,-23.79%,-42.57%,-2.94%,-17.79%,-46.67%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7656,6690,5180,4503,4838,6626,5439,5867,9072,6792,6826,12566,-,-,-,-,-,-,-
3,Last Close Price,19.94,17.67,13.89,12.41,13.62,17.82,15.63,16.28,23.65,18.31,18.75,30.06,-,-,-,-,-,-,-
4,PE Ratio,68.76,60.53,56.94,78.74,119.97,258.28,120.62,116.81,-,50.46,46.86,58.71,-,-,-,-,-,-,-
5,Forward PE,-,35.52,35.52,35.52,35.52,35.52,35.52,35.52,52.26,43.03,-,-,-,-,-,-,-,-,-
6,PS Ratio,5.98,5.26,4.19,3.96,4.61,6.24,5.99,7.05,11.52,9.01,9.75,15.39,-,-,-,-,-,-,-
7,PB Ratio,4.41,3.95,3.07,2.84,3.19,4.15,3.77,4.00,5.70,4.45,4.71,7.67,-,-,-,-,-,-,-
8,P/TBV Ratio,4.06,4.06,3.15,2.86,3.22,4.19,3.81,4.05,5.78,4.52,4.74,7.71,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-116.13,-,-,-,-,453.65,-,-76.85,-,403.58,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,287.32,-,-,-,-,94.48,-,-185.92,-,184.59,-,-,-,-,-,-,-
11,EV/Sales Ratio,5.36,4.68,3.71,3.41,3.85,5.45,4.95,6.03,10.35,7.83,8.31,15.04,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,58.25,50.59,50.51,78.92,166.80,-,315.36,230.11,-,50.60,37.70,54.90,-,-,-,-,-,-,-
13,EV/EBIT Ratio,66.89,58.45,61.11,112.50,431.82,-,5674.66,517.75,-,54.35,39.02,56.50,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-102.89,-,-,-,-,388.27,-,-66.78,-,394.60,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,-
16,Debt / EBITDA Ratio,0.09,0.10,0.05,0.09,0.45,0.69,0.21,0.32,-,0.27,0.12,0.06,0.03,0.04,0.03,0.04,0.04,-,-
17,Debt / FCF Ratio,-,-,-0.22,-,-,-,-,0.89,-,-0.12,-,0.30,-,0.05,0.06,0.06,0.11,-,-
18,Asset Turnover,-,0.81,0.73,0.53,0.77,0.71,0.64,0.47,0.56,0.44,-,-,1.09,1.23,1.07,1.16,-,-,
19,Inventory Turnover,-,-,2.11,1.71,1.40,2.90,3.54,2.93,1.98,2.45,1.82,-,-,2.53,3.08,3.20,3.11,-,-
20,Quick Ratio,-,-,9.41,8.15,7.37,7.71,8.02,13.68,13.27,12.31,11.51,9.25,-,2.97,3.38,5.71,5.71,4.43,-
21,Current Ratio,-,-,14.57,14.49,13.27,11.48,11.39,17.24,19.78,16.00,16.35,11.85,-,5.14,5.29,9.02,9.02,8.14,-
22,Return on Equity (ROE),7.38%,10.68%,7.68%,0.88%,3.04%,3.14%,3.92%,-3.41%,8.97%,4.23%,13.54%,34.07%,33.44%,44.72%,13.51%,14.10%,-,-,
23,Return on Assets (ROA),-,6.95%,4.01%,0.34%,-0.60%,1.44%,0.34%,-2.17%,0.54%,2.91%,-,-,17.50%,24.49%,17.74%,19.29%,-,-,
24,Return on Capital (ROIC),3.27%,7.35%,4.26%,0.36%,-0.65%,1.53%,0.36%,-2.28%,0.57%,3.10%,7.99%,22.53%,20.45%,28.80%,21.10%,22.15%,-,-,
25,Return on Capital Employed (ROCE),-,-,4.43%,2.16%,0.61%,-,0.05%,0.66%,-,7.07%,10.26%,13.22%,-,31.68%,31.54%,24.32%,16.57%,10.60%,-
26,Earnings Yield,1.46%,1.65%,1.76%,1.27%,0.83%,0.39%,0.83%,0.86%,0.81%,1.98%,2.13%,1.70%,-,-,-,-,-,-,-
27,FCF Yield,-,-0.86%,-4.79%,-1.56%,0.01%,1.67%,0.22%,-1.15%,-1.30%,-1.60%,0.25%,-,-,-,-,-,-,-,
28,Dividend Yield,0.14%,-,-,-,-,0.16%,-,-,-,1.37%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,33.59%,-,-,-,614.91%,-,-,89.78%,-,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,-2.04%,11.54%,47.09%,-1038.68%,-5.71%,-15.91%,-84.38%,89.61%,3.36%,-20.41%,-4.39%,-5.81%,-2.96%,-61.09%,-10.31%,-,-,-,-
31,Total Shareholder Return,-1.90%,11.54%,47.09%,-1038.68%,-5.71%,-15.75%,-84.38%,89.61%,3.36%,-19.04%,-4.39%,-5.81%,-2.96%,-61.09%,-10.31%,-,-,-,-
