,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Cash & Equivalents,-,610.14,631.01,732.78,941.06,972.15,1022,1003,1059,1035,1188,-,293.06,274.77,234.49,234.49,112.89,-
1,Short-Term Investments,-,-,-,-,-,-,134,-,131.54,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,227,50,-,-,-,-,-,-,-,-,-,1.57,1.55,11.55,11.55,28.53,-
3,Cash & Short-Term Investments,837.14,837.14,681.01,732.78,941.06,972.15,1156,1003,1190,1035,1188,294.63,294.63,276.32,246.04,246.04,141.42,-
4,Cash Growth,-11.04%,-13.89%,-41.07%,-26.91%,-20.95%,-6.11%,-2.75%,240.27%,304.05%,274.70%,382.94%,19.75%,108.34%,-,-,-,-,-
5,Accounts Receivable,-,178.1,180.28,120.24,143.26,136.35,123.41,119.56,92.68,89.59,82.35,-,63.65,78.79,73.42,73.42,84.37,-
6,Other Receivables,-,11.96,17.29,9.89,8.8,7.64,6.79,9.46,9.66,6.24,5.98,-,6.12,6.73,4.36,4.36,3.91,-
7,Receivables,-,190.06,197.56,130.13,152.06,143.99,130.2,129.02,102.33,95.82,88.33,-,69.76,85.52,77.78,77.78,88.28,-
8,Inventory,-,443.97,549.5,567.44,446.97,251.61,255.31,319.12,293.65,279.38,257.69,-,191.49,156.68,131.82,131.82,139.55,-
9,Other Current Assets,-,120.05,133.73,123.2,87.31,216.65,78.9,236.35,92.86,196.11,101.2,-,74.35,47.83,55.79,55.79,52.89,-
10,Total Current Assets,-,1591,1562,1554,1627,1584,1620,1687,1679,1607,1635,-,630.23,566.35,511.43,511.43,422.14,-
11,"Property, Plant & Equipment",-,67.52,75.08,48.81,52.52,52.15,55.07,57.84,58.86,42.82,37.24,-,31.34,21.28,14.85,14.85,6.28,-
12,Long-Term Investments,-,269.46,240.12,252.39,211.41,178.44,55.53,41.84,35.44,135.81,129.08,-,126.62,125.39,124.14,124.14,121.68,-
13,Goodwill,-,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,-,1.01,1.01,1.01,1.01,-,-
14,Other Intangible Assets,-,48.73,15.73,16.29,18.38,18.08,20.5,22.9,23.4,9.15,9.6,-,11.83,12.19,4.95,4.95,0.9,-
15,Long-Term Deferred Tax Assets,-,10.36,7.88,6.33,6.47,11.22,9.04,4.85,4.24,2.18,1.96,-,1.61,1.68,1.69,1.69,3.74,-
16,Long-Term Deferred Charges,-,7.97,9.52,4.25,5.04,4.84,3.27,3.92,4.02,3.96,3.1,-,3.52,1.92,2.14,2.14,2.79,-
17,Other Long-Term Assets,-,28.23,50.59,64.16,61.41,44.24,52.83,49.26,65.74,2.03,2.77,-,0.92,4.22,4.55,4.55,-,-
18,Total Assets,-,2025,1962,1947,1984,1894,1817,1869,1872,1804,1820,-,807.07,734.04,664.77,664.77,557.54,-
19,Accounts Payable,-,43.68,9.23,64.06,12.83,77.07,4.77,33.75,6.27,32.34,11.02,-,6.78,10.64,7.77,7.77,2.4,-
20,Accrued Expenses,-,37.03,66.3,22.15,98,33.33,55.01,17.41,53.26,29.32,62.35,-,63.79,55.84,28.84,28.84,28.27,-
21,Current Portion of Leases,-,6.99,7.66,5.78,6.81,5.83,6.22,6.24,4.8,3.49,3.9,-,3.7,3.67,2.87,2.87,-,-
22,Current Income Taxes Payable,-,13.92,0.07,3.3,4.25,10.47,3.18,3.48,0.07,7.58,2.95,-,2.68,-,-,-,8.13,-
23,Current Unearned Revenue,-,2.97,2.63,6.09,6.52,2.94,1.39,7.68,9.49,8.42,7.85,-,2.66,0.66,0.62,0.62,0.48,-
24,Other Current Liabilities,-,4.59,21.87,15.72,13.31,9.46,23.42,16.71,31.08,17.13,49.97,-,43.04,36.19,16.59,16.59,12.6,-
25,Total Current Liabilities,-,109.19,107.75,117.1,141.72,139.11,93.99,85.27,104.98,98.27,138.03,-,122.64,107,56.7,56.7,51.88,-
26,Long-Term Leases,-,4.3,7.22,6.63,7.26,6.37,7.28,8.57,7.83,7.38,5.66,-,4.45,5.14,4.2,4.2,-,-
27,Long-Term Unearned Revenue,-,6.79,4.97,6.06,3.31,1.17,1.67,2.68,2.69,0.03,0.04,-,0.06,0.07,0.09,0.09,0.14,-
28,Long-Term Deferred Tax Liabilities,-,1.4,1.53,1.11,1.2,1.29,1.38,1.56,1.56,-,-,-,-,-,-,-,-,-
29,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,52,-,-
30,Total Liabilities,-,121.67,121.47,130.9,153.5,147.93,104.32,98.09,117.06,105.68,143.73,-,127.15,112.21,112.98,112.98,52.01,-
31,Common Stock,-,424.79,424.79,424.77,424.77,420,420,420,420,420,420,-,378,378,378,378,378,-
32,Additional Paid-In Capital,-,1194,1181,1168,1155,1090,1062,1032,1001,982.7,979.02,-,106.27,102.6,98.18,98.18,90.64,-
33,Retained Earnings,-,335.74,285.75,262.45,258.48,244.85,231.19,319.12,334.11,295.29,277.51,-,195.16,140.43,74.56,74.56,36.88,-
34,Treasury Stock,-,-51.01,-51.01,-39.11,-7.88,-7.88,-,-,-,-,-,-,-,-,-,-,-,-
35,Total Common Equity,1903,1903,1840,1816,1830,1747,1713,1771,1755,1698,1677,679.43,679.43,621.02,550.73,550.73,505.53,-
36,Minority Interest,-,-0.21,-0.18,-0.21,-0.25,-0.22,-0.14,-0.13,-0.11,0,-0.04,-,0.48,0.8,1.06,1.06,-,-
37,Shareholders' Equity,1903,1903,1840,1816,1830,1746,1713,1771,1755,1698,1676,679.92,679.92,621.83,551.79,551.79,505.53,-
