,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Operating Revenue,405.02,422.41,340.29,261.19,358.52,341.66,280.67,220.58,253.22,201.68,198.26,211.15,200.88,218.44,175.95,175.95,148.04,119.12
1,Other Revenue,-,-17.2,17.2,-,14.34,-14.39,14.39,-,2.95,-0.99,0.99,-,9.49,-3.96,1.98,1.98,14.51,-
2,Revenue,405.02,405.21,357.49,261.19,372.86,327.27,295.07,220.58,256.17,200.69,199.25,211.15,210.37,214.48,177.94,177.94,162.55,119.12
3,Revenue Growth (YoY),8.63%,23.81%,21.16%,18.41%,45.55%,63.07%,48.09%,4.47%,21.77%,-6.43%,11.98%,18.67%,29.42%,80.04%,-,-,-,-
4,Cost of Revenue,-679.01,262.3,239.34,177.37,252.88,224.35,210.58,151.92,175.44,122.2,114.52,114.35,110.24,110.99,105.59,105.59,106.6,78.57
5,Gross Profit,1084,142.91,118.15,83.82,119.98,102.92,84.48,68.66,80.72,78.5,84.73,96.79,100.13,103.48,72.35,72.35,55.95,40.56
6,"Selling, General & Admin",-61.53,21.09,21.84,18.6,25.71,22.04,26.32,23.29,19.66,17.01,21.78,13.03,19.94,15.28,12.03,12.03,9.56,7.58
7,Research & Development,-222.64,77.91,73.37,71.36,94.77,77.03,68.91,65.46,54.53,49.86,34.31,28.31,32.15,26.85,19.35,19.35,15.4,14.43
8,Other Operating Expenses,1345,-12.57,-10.53,-7.28,3.83,-7.62,-13.24,-5.11,2.12,-9.99,-8.61,-7.92,-4.73,-8.1,-5.76,-5.76,-4.64,-1.98
9,Operating Expenses,1059,87.46,86.8,81.17,124.65,92.22,81.95,84.87,76.79,57.42,46.79,34.79,46.18,34.95,25.19,25.19,21.04,21.88
10,Operating Income,25.02,55.45,31.35,2.64,-4.67,10.7,2.53,-16.21,3.94,21.07,37.94,62,53.95,68.53,47.16,47.16,34.91,18.68
11,Interest Expense,-18.27,-0.12,-0.15,-0.15,-0.1,-0.15,-0.17,-0.16,-0.04,-0.12,-0.13,-0.11,-0.02,-0.18,-0.09,-0.09,-,-0.02
12,Interest & Investment Income,0.43,4.65,5.98,7.65,13.24,6.28,11.59,6.03,15.16,6.96,4.93,3.53,2.29,2.61,2.29,2.29,2.62,0.87
13,Earnings From Equity Investments,-,-,2.34,-2.34,5.06,-,1.6,-1.6,0.07,-0.07,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),-,2.69,-2.69,-,-0.32,-0.7,0.7,-,-1.21,0.98,-0.98,-,0.13,0.13,-0.07,-0.07,0.85,0.43
