,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,130.99,132.35,138.95,95.04,151.18,124.4,104.95,92.26,147.76,199.22,116.13,133.88,141.5,188,103.99,131.85,81.85,92.55,92.55
1,Other Revenue,-7.43,7.43,-,12.41,-5.45,5.45,-,8.79,-1.68,1.68,-,10.09,-6.17,6.17,-,11.81,-4.27,2.13,2.13
2,Revenue,123.56,139.78,138.95,107.45,145.73,129.85,104.95,101.04,146.07,200.91,116.13,143.97,135.32,194.18,103.99,143.66,77.59,94.68,94.68
3,Revenue Growth (YoY),-15.21%,7.64%,32.39%,6.35%,-0.23%,-35.37%,-9.62%,-29.82%,7.94%,3.47%,11.68%,0.22%,74.42%,105.08%,9.83%,-,-,-,-
4,Cost of Revenue,86.54,111.54,99.6,90.32,101.56,100.68,77.7,68.81,106.61,145.7,87.03,94.13,104.25,136.79,77.29,103.56,51.41,66.83,66.83
5,Gross Profit,37.02,28.24,39.35,17.13,44.17,29.17,27.26,32.24,39.47,55.21,29.1,49.84,31.08,57.38,26.69,40.1,26.17,27.85,27.85
6,"Selling, General & Admin",16.25,13.78,15.75,12.18,21.07,15.8,13.07,10.21,15.17,13.34,11.73,13.99,14.51,15.29,11.55,5.9,12.84,8.95,8.95
7,Research & Development,6.53,9.12,8.28,10,6.69,7.27,5.04,5.42,6.81,7.36,6.61,7.61,6.82,7.99,4.68,4.06,3.54,5.12,5.12
8,Other Operating Expenses,1.09,0.22,-4,1.77,-0.22,-0.76,-3.52,3.66,-2.13,-4.76,-1.76,3.59,-8.12,-2.04,-0.83,1.46,-2.21,-2.08,-2.08
9,Operating Expenses,23.64,24.78,24.39,19.71,33.25,26.95,17.12,28.57,19.14,13.4,16.59,31.67,14.11,21.08,13.07,11.39,17.11,11.58,11.58
10,Operating Income,13.38,3.46,14.96,-2.58,10.92,2.22,10.13,3.67,20.33,41.81,12.51,18.17,16.97,36.3,13.62,28.71,9.06,16.28,16.28
11,Interest Expense,-2.59,-0.71,-0.08,-0.39,-0.48,-0.03,-0.02,-0.82,-0.03,-,-0.11,-0.42,-,-0,-0.07,-0.32,-0.21,-0.09,-0.09
12,Interest & Investment Income,0.85,1.24,0.46,0.51,0.99,1.09,1.22,1.47,1.35,2.09,1.2,1.97,0.7,0.76,0.23,0.16,0.06,0.14,0.14
13,Currency Exchange Gain (Loss),-0.63,0.63,-,0.19,-0.13,0.13,-,0.02,-0.01,0.01,-,0.14,-0.03,0.03,-,-0.23,0.24,-0.12,-0.12
14,Other Non Operating Income (Expenses),1.19,-1.16,0.48,-2.87,0.85,-0.81,-0.56,-0.05,-0.43,-0.49,0.01,-0.82,0.18,-0.08,0.07,-0.01,-0.25,-0.03,-0.03
15,EBT Excluding Unusual Items,12.2,3.46,15.83,-5.14,12.14,2.6,10.77,4.28,21.21,43.42,13.62,19.03,17.82,37,13.85,28.32,8.9,16.18,16.18
16,Gain (Loss) on Sale of Assets,0.02,0.09,-,0.13,-0.03,-0.06,-,-,-,-,0.02,-0.01,-,-,-,-,0,-,-
17,Asset Writedown,-0.42,-,-,0.41,-0.41,-,-,-0,0,-,-,0.01,-0.01,0.34,-0.34,0.24,-0.24,-,-
18,Other Unusual Items,1.88,5.81,-0.15,5.12,-,-,-,4.3,-,-,-,9.74,-,-,-,3.98,-,-,-
19,Pretax Income,13.69,9.36,15.68,0.53,11.7,2.54,10.77,8.57,21.21,43.42,13.64,28.76,17.82,37.34,13.51,32.54,8.67,16.18,16.18
