,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1866,1844,1632,1670,2278,2168,2074,1911,1659,1670,1910,2397,2444,2450,-,-,-,-,-,-
1,Market Cap Growth,-14.97%,-14.97%,-21.32%,-12.62%,37.31%,29.81%,8.60%,-20.26%,-32.14%,-31.83%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1557,1739,1553,1567,2174,1992,1922,1732,1480,1479,1697,2095,2142,2343,-,-,-,-,-,-
3,Last Close Price,22.82,22.55,19.96,20.35,27.75,26.42,25.27,23.19,20.13,20.27,23.17,28.72,29.29,29.36,-,-,-,-,-,-
4,PE Ratio,51.77,50.54,53.81,75.48,124.39,87.23,56.24,26.26,22.34,18.54,21.52,28.63,28.67,27.19,-,-,-,-,-,-
5,PS Ratio,3.67,3.62,3.07,3.20,4.67,4.50,4.30,3.46,2.94,2.75,3.20,4.07,4.23,4.25,-,-,-,-,-,-
6,PB Ratio,2.68,2.59,2.63,2.71,3.77,3.61,3.51,3.21,2.83,2.92,3.45,4.43,4.62,4.86,-,-,-,-,-,-
7,P/TBV Ratio,2.93,2.93,3.03,3.13,4.37,4.19,4.06,3.69,3.06,3.12,3.71,4.76,4.97,5.22,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-15.77,-,-,-,147.75,-,-52.84,-,-,-,-,38.05,-,-,-,-,-,-
9,P/OCF Ratio,86.17,-,29.42,-,41.78,-,23.79,-,-469.04,-,-,-,-,21.26,-,-,-,-,-,-
10,EV/Sales Ratio,3.05,3.41,2.92,3.00,4.46,4.14,3.99,3.13,2.62,2.44,2.85,3.55,3.71,4.06,-,-,-,-,-,-
11,EV/EBITDA Ratio,27.15,32.78,31.35,32.46,51.32,41.90,33.98,18.18,15.21,13.27,15.96,20.96,21.57,21.67,-,-,-,-,-,-
12,EV/EBIT Ratio,53.29,59.50,58.02,61.36,-,73.94,52.89,22.81,18.89,15.93,18.98,24.96,25.19,24.51,-,-,-,-,-,-
13,EV/FCF Ratio,-13.53,-,-15.01,-,-,-,136.94,-,-47.13,-,-,-,-,36.39,-,-,-,-,-,-
14,Debt / Equity Ratio,0.04,0.04,0.14,0.11,0.08,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.04,0.04,-,0.08,0.08
15,Debt / EBITDA Ratio,0.48,0.35,2.06,0.82,2.77,0.42,0.32,0.17,0.26,0.10,0.02,0.07,0.05,0.05,0.03,0.17,0.09,-,0.24,0.24
16,Debt / FCF Ratio,-,-,-0.81,-,-,-,0.74,-,-0.32,-,-,-,-,0.06,0.09,-,0.18,-,-,-
17,Asset Turnover,0.37,0.48,0.52,0.44,0.63,0.58,0.47,0.47,0.70,0.90,0.48,0.59,0.64,-,-,-,-,0.82,-,
18,Inventory Turnover,1.62,1.19,1.75,1.85,1.85,2.25,2.29,1.87,1.76,2.42,2.48,1.30,1.55,2.01,-,-,-,-,2.57,-
19,Quick Ratio,1.25,1.25,0.82,0.92,0.95,1.02,1.15,1.29,1.43,1.49,1.23,0.97,0.95,0.96,0.57,-,0.71,-,0.80,0.80
20,Current Ratio,1.96,1.96,1.41,1.50,1.53,1.66,1.76,2.01,1.96,2.15,1.97,1.67,1.56,1.48,1.08,-,1.11,-,1.31,1.31
21,Return on Equity (ROE),7.89%,5.61%,9.07%,0.48%,6.44%,2.28%,6.46%,6.08%,13.39%,27.43%,8.79%,19.63%,15.38%,46.50%,17.74%,-,-,25.27%,-,
22,Return on Assets (ROA),2.53%,0.74%,3.48%,-0.65%,2.96%,0.62%,2.85%,1.06%,6.10%,11.72%,3.24%,4.62%,5.01%,-,-,-,-,8.76%,-,
23,Return on Capital (ROIC),4.64%,1.24%,5.58%,-1.01%,4.45%,0.92%,4.22%,1.56%,8.92%,18.94%,5.79%,8.72%,10.39%,31.30%,12.56%,-,-,16.74%,-,
24,Return on Capital Employed (ROCE),3.08%,3.08%,3.72%,3.70%,-,4.41%,6.04%,12.52%,13.11%,15.90%,15.86%,15.15%,15.72%,18.50%,27.62%,-,25.04%,-,12.97%,6.49%
25,Earnings Yield,1.96%,1.98%,1.86%,1.32%,0.80%,1.15%,1.78%,3.81%,4.48%,5.39%,4.65%,3.49%,3.49%,3.68%,-,-,-,-,-,-
26,FCF Yield,-6.17%,-6.24%,-6.34%,-4.95%,-4.54%,-1.73%,0.68%,-2.60%,-1.89%,-5.84%,-3.93%,-1.32%,-1.31%,2.63%,-,-,-,-,-,-
27,Dividend Yield,0.34%,-,-,-,0.29%,-,-,-,0.50%,-,-,-,1.02%,-,-,-,-,-,-,-
28,Payout Ratio,24.63%,14.39%,68.36%,1.51%,25.79%,1.37%,544.70%,0.00%,10.41%,0.14%,65.41%,-,0.14%,0.26%,-,-,1.21%,2.50%,70.50%,70.50%
29,Buyback Yield / Dilution,-0.60%,-4.77%,0.75%,2.62%,-1.16%,3.87%,-0.82%,-2.00%,1.73%,-21.42%,-33.63%,-33.23%,-37.80%,-10.64%,0.63%,0.03%,-,-,-,-
30,Total Shareholder Return,-0.27%,-4.77%,0.75%,2.62%,-0.87%,3.87%,-0.82%,-2.00%,2.23%,-21.42%,-33.63%,-33.23%,-36.78%,-10.64%,0.63%,0.03%,-,-,-,-
