,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,27009,14107,18336,24980,24573,24863,39894,42797,47430,25385,31625,Upgrade
1,Market Cap Growth,-43.53%,-43.53%,-25.38%,0.47%,-38.40%,-41.90%,-15.89%,68.59%,49.98%,4.96%,9.27%,Upgrade
2,Enterprise Value,31596,20554,25657,31254,29567,28641,41936,44249,47702,24017,31041,Upgrade
3,Last Close Price,23.45,12.14,15.78,21.50,20.52,20.76,32.32,34.72,37.83,20.39,24.64,Upgrade
4,PE Ratio,12.05,6.30,8.75,13.36,14.49,16.94,21.72,18.47,28.62,19.84,16.72,Upgrade
5,Forward PE,9.94,5.43,7.15,11.09,11.41,12.30,15.34,18.26,22.47,13.94,13.41,Upgrade
6,PS Ratio,1.15,0.60,0.81,1.17,1.26,1.46,2.33,2.49,3.20,1.94,2.14,Upgrade
7,PB Ratio,1.31,0.65,0.87,1.28,1.23,1.28,1.96,2.26,2.61,1.60,1.92,Upgrade
8,P/TBV Ratio,0.69,0.69,0.92,1.35,1.30,1.33,2.05,2.34,2.70,1.67,2.00,Upgrade
9,P/FCF Ratio,21.21,11.08,112.79,-,-,-,-,-,-299.98,-,33.33,Upgrade
10,P/OCF Ratio,3.75,3.75,4.94,7.47,11.71,22.70,24.59,15.77,19.20,13.35,11.86,Upgrade
11,PEG Ratio,0.52,0.25,0.29,0.54,0.70,1.12,0.74,0.97,1.94,1.65,0.75,Upgrade
12,EV/Sales Ratio,1.34,0.87,1.13,1.46,1.51,1.68,2.45,2.58,3.22,1.84,2.10,Upgrade
13,EV/EBITDA Ratio,8.21,5.45,7.13,9.77,10.67,12.83,17.03,13.40,17.11,10.35,10.44,Upgrade
14,EV/EBIT Ratio,13.51,8.88,11.87,16.31,18.51,24.51,29.48,19.42,26.27,16.80,14.77,Upgrade
15,EV/FCF Ratio,24.81,16.14,157.83,-,-,-,-,-,-301.70,-,32.71,Upgrade
16,Debt / Equity Ratio,0.47,0.47,0.51,0.58,0.52,0.50,0.49,0.51,0.49,0.43,0.29,Upgrade
17,Debt / FCF Ratio,8.00,8.00,66.28,-,-,-,-,-,-56.03,-,5.00,Upgrade
18,Return on Capital Employed (ROCE),8.86%,8.86%,8.37%,8.23%,7.08%,5.01%,5.72%,9.63%,8.70%,8.35%,11.87%,Upgrade
19,Earnings Yield,8.29%,15.87%,11.43%,7.48%,6.90%,5.90%,4.60%,5.41%,3.49%,5.04%,5.98%,Upgrade
20,FCF Yield,4.72%,9.03%,0.89%,-2.56%,-6.83%,-11.16%,-5.60%,-1.40%,-0.33%,-0.02%,3.00%,Upgrade
21,Buyback Yield / Dilution,-0.01%,-0.01%,-0.01%,0.16%,0.63%,0.53%,-0.40%,-0.37%,0.07%,-0.10%,-0.09%,Upgrade
22,Total Shareholder Return,-0.01%,-0.01%,-0.01%,0.16%,0.63%,0.53%,-0.40%,-0.37%,0.07%,-0.10%,-0.09%,Upgrade
