,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,513.02,655.64,306.37,506.18,384.43,657.94,449.07,566.46,381.5,329.59,393.2,467.49,405.88,208.91,280.79,241.88,-,-,-
1,Trading Asset Securities,63.09,113.66,203.19,252.89,270.05,4.01,22.02,1.99,199.11,124.14,21.02,-,132.01,-,-,-,-,-,-
2,Cash & Short-Term Investments,576.11,769.29,509.56,759.07,654.48,661.94,471.09,568.45,580.61,453.73,414.22,467.49,537.89,208.91,280.79,241.88,-,-,-
3,Cash Growth,-11.98%,16.22%,8.17%,33.53%,12.72%,45.89%,13.73%,21.60%,7.94%,117.19%,47.52%,93.28%,-,-,-,-,-,-,-
4,Accounts Receivable,813.79,772.25,468.05,549.09,547.59,536.5,516.3,548.38,414.31,465.36,490.59,705.23,572.6,533.74,351.26,468.4,-,-,-
5,Other Receivables,83.73,6.67,6.35,3.83,8.94,8.57,42.78,9.46,10.09,31.51,14.16,30.82,36.64,25.39,34.64,20.08,-,-,-
6,Receivables,897.52,778.92,474.4,552.92,556.53,545.07,559.08,557.84,424.39,496.87,504.75,736.05,609.23,559.13,385.91,488.48,-,-,-
7,Inventory,157.2,138.17,307.75,181.02,209.6,348.71,257.49,189.52,187.26,151.57,152.64,105.16,90.5,143.38,132.96,171.31,-,-,-
8,Other Current Assets,68.03,58.72,154.97,211.44,162.77,167.55,174.74,224.72,182.86,130.19,61.9,13.73,18.61,20.71,27.59,10.41,-,-,-
9,Total Current Assets,1699,1745,1447,1704,1583,1723,1462,1541,1375,1232,1134,1322,1256,932.13,827.24,912.08,-,-,-
10,"Property, Plant & Equipment",970.75,975.52,971.28,982.4,986.75,987.36,975.97,954.85,870.92,779.5,699.5,657.83,600.96,523.71,465.81,418.63,-,-,-
11,Long-Term Investments,51.56,51.59,51.68,52.12,52.74,33.71,30.63,35.57,5.72,6.77,7.09,7.73,8.25,9.02,9.66,10.25,-,-,-
12,Other Intangible Assets,228.44,174.42,176.13,177.76,179.48,181.19,182.63,184.35,186,187.22,188.97,190.59,192,193.43,149.48,150.95,-,-,-
13,Long-Term Deferred Tax Assets,19.07,19.59,15.67,12.89,9.38,14.87,15.41,14.55,10.68,9.7,9.53,12.46,10.44,9.18,7.26,9.52,-,-,-
14,Long-Term Deferred Charges,5.37,5.87,5.61,4.13,2.72,2.43,-,-,0.23,0.29,0.36,0.42,0.48,0.54,0.91,0.95,-,-,-
15,Other Long-Term Assets,15.99,1.57,1.75,0.92,6.06,2.57,4.15,5.64,13.99,13.83,32.71,6.45,3.45,4.97,8.43,9.9,-,-,-
16,Total Assets,2990,2974,2669,2935,2821,2945,2671,2735,2463,2230,2072,2198,2072,1673,1469,1512,-,-,-
17,Accounts Payable,851.59,881.21,640.83,683.97,601.69,632.17,497.84,422.7,323.72,366.63,363.67,549.28,477.6,406.89,296.69,373.24,-,-,-
18,Accrued Expenses,81.78,69.12,45.52,129.02,102.89,122.66,60.87,140.04,102.17,104.55,75.66,160.09,121.51,100.87,62.95,101.32,-,-,-
19,Short-Term Debt,39.81,39.79,-,-,-,-,-,-,-,-,8.01,21.67,42.48,43.74,55.64,50.62,-,-,-
20,Current Portion of Long-Term Debt,18.96,24.3,27.57,24.34,29.53,23.09,19.59,11.27,8.17,4.31,11.55,4.31,-,-,-,-,-,-,-
21,Current Portion of Leases,-,2.64,-,4.41,-,5.41,-,5.4,-,7.73,-,7.17,-,-,-,-,-,-,-
22,Current Income Taxes Payable,23.69,20.39,13.83,5.01,19.74,15.23,24.6,15.6,23.14,0.33,14.03,13.67,19.75,10.48,4.3,12.64,-,-,-
23,Current Unearned Revenue,62.94,59.86,121.08,283.76,297.5,454.2,399.54,521.8,434.78,257.73,186.13,42.78,47.59,112.65,128.61,115.27,-,-,-
24,Other Current Liabilities,22.26,26.46,31.72,26.35,10.75,14,4.02,17.15,32.16,25.06,5.2,2.69,1.23,11.85,3.17,2.31,-,-,-
25,Total Current Liabilities,1101,1124,880.56,1157,1062,1267,1006,1134,924.15,766.34,664.25,801.65,710.16,686.48,551.35,655.4,-,-,-
26,Long-Term Debt,87.77,120.7,132.77,132.77,141.9,137.47,158.75,120.24,105.75,62.17,27.34,27.34,32.62,137.66,89.71,41.08,-,-,-
27,Long-Term Leases,1.51,1.86,0.8,1.01,1.33,1.63,2.78,4.06,5.36,6.8,7.79,9.21,10.76,-,-,-,-,-,-
28,Long-Term Unearned Revenue,12.47,12.58,12.69,12.8,12.91,13.01,13.12,13.23,13.34,13.45,13.56,13.67,13.78,13.89,14,14.1,-,-,-
29,Long-Term Deferred Tax Liabilities,-,-,-,-,0.47,0.23,0.25,0.26,-,-,-,-,-,-,-,-,-,-,-
30,Total Liabilities,1203,1259,1027,1303,1219,1419,1181,1272,1049,848.76,712.94,851.87,767.32,838.03,655.06,710.59,-,-,-
31,Common Stock,449.07,449.07,449.07,449.07,449.07,449.07,449.07,449.07,449.07,449.07,449.07,449.07,449.07,336.8,336.8,336.8,-,-,-
32,Additional Paid-In Capital,424.18,420.83,417.49,414.15,424.33,424.33,424.33,424.33,424.33,424.33,424.33,424.33,424.45,51.4,51.4,51.4,-,-,-
33,Retained Earnings,965.52,895.3,823.34,784.32,750.95,681.5,643.92,609.73,540.67,507.5,485.35,472.64,430.98,446.75,425.52,413.48,-,-,-
34,Treasury Stock,-51.89,-51.7,-51.85,-17.04,-30.24,-29.48,-28.75,-19.4,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,0.37,1.26,3.94,0.72,7.71,0.91,1.28,-,-,-,-,-,-,-,-,-,-,-,-
36,Shareholders' Equity,1787,1715,1642,1631,1602,1526,1490,1464,1414,1381,1359,1346,1304,834.95,813.73,801.69,-,-,-
37,Total Liabilities & Equity,2990,2974,2669,2935,2821,2945,2671,2735,2463,2230,2072,2198,2072,1673,1469,1512,-,-,-
38,Total Debt,148.05,189.29,161.14,162.54,172.76,167.59,181.12,140.97,119.28,81,54.69,69.69,85.86,181.4,145.35,91.7,-,-,-
39,Net Cash (Debt),428.06,580.01,348.42,596.53,481.72,494.35,289.97,427.48,461.32,372.73,359.54,397.8,452.02,27.51,135.44,150.18,-,-,-
40,Net Cash Growth,-11.14%,17.33%,20.16%,39.55%,4.42%,32.63%,-19.35%,7.46%,2.06%,1254.78%,165.45%,164.89%,-,-,-,-,-,-,-
41,Net Cash Per Share,0.98,1.25,0.80,1.40,1.13,1.00,0.68,1.05,0.94,0.83,0.85,0.91,1.12,0.08,0.45,0.44,-,-,-
42,Filing Date Shares Outstanding,443.92,443.94,433.52,445.49,445.49,445.57,445.65,446.73,449.07,449.07,449.07,449.07,449.07,449.07,336.8,336.8,324.67,341.74,336.8
43,Total Common Shares Outstanding,443.92,443.94,433.52,445.49,445.49,445.57,445.65,446.73,449.07,449.07,449.07,449.07,449.07,336.8,336.8,336.8,324.67,341.74,336.8
44,Working Capital,597.82,621.35,566.13,547.58,521.29,456.52,455.95,406.56,450.98,466.01,469.27,520.78,546.07,245.65,275.89,256.68,-,-,-
45,Book Value Per Share,4.03,3.86,3.79,3.66,3.60,3.43,3.34,3.28,3.15,3.08,3.03,3.00,2.90,2.48,2.42,2.38,-,-,-
46,Tangible Book Value,1559,1540,1466,1453,1422,1345,1307,1279,1228,1194,1170,1155,1112,641.52,664.25,650.74,-,-,-
47,Tangible Book Value Per Share,3.51,3.47,3.38,3.26,3.19,3.02,2.93,2.86,2.73,2.66,2.60,2.57,2.48,1.90,1.97,1.93,-,-,-
48,Buildings,-,982.53,-,979.56,-,744.91,-,718.65,-,346.22,-,346.85,-,-,346.85,346.77,-,-,-
49,Machinery,-,221.96,-,216.86,-,184.79,-,176.06,-,132.45,-,129.92,-,-,119.71,117.06,-,-,-
50,Construction In Progress,-,13.29,-,2.5,-,250.7,-,230.79,-,453.39,-,319.52,-,-,140.03,90.23,-,-,-
