,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,798.05,1134,658.45,852.65,1039,766.7,576.53,698.23,426.05,333.2,256.07,564.38,579.06,534.52,294.46,555.43,360.72,378.59,205.92
1,Other Revenue,-4.69,4.69,-,7.58,-3.37,3.37,-,7.57,-3.9,3.9,-,10.65,-4.24,4.24,-,4.79,-,-1.3,1.3
2,Revenue,793.36,1138,658.45,860.24,1036,770.07,576.53,705.81,422.15,337.1,256.07,575.03,574.82,538.76,294.46,560.21,360.72,377.3,207.22
3,Revenue Growth (YoY),-23.38%,47.82%,14.21%,21.88%,145.29%,128.44%,125.14%,22.74%,-26.56%,-37.43%,-13.04%,2.65%,59.35%,42.80%,42.10%,-,-,-,-
4,Cost of Revenue,632.38,931.16,572.64,755.71,878.15,652.89,485.26,564.84,322.36,278.24,215.77,480.62,479.73,473.79,252.57,456.2,294.37,318.21,177.58
5,Gross Profit,160.98,207.19,85.82,104.53,157.36,117.17,91.27,140.96,99.79,58.86,40.3,94.41,95.09,64.98,41.89,104.02,66.35,59.08,29.64
6,"Selling, General & Admin",44.1,43.13,38.06,36.24,41.46,40.88,41.9,44.73,36.22,27.38,29.07,37.17,35.07,31,28.09,26.85,25.22,31.03,22.79
7,Research & Development,25.44,24.33,15.61,20.61,15.88,9.36,1.46,2.81,9.69,5.59,2.19,9.35,5.28,5.92,2.01,5.84,5.91,2.71,1.74
8,Other Operating Expenses,-12.69,3.45,3.03,21.67,7.22,4.74,-1.5,12.94,1.51,0.64,0.28,10.57,-0.75,-1.35,1.33,16.07,1.87,-10.18,1.58
9,Operating Expenses,53.17,89.61,51.78,83.12,63.81,52.36,43.71,64.26,45.32,37.55,17.36,70.76,43.3,37.66,24.27,56.7,31.78,28.37,17.65
10,Operating Income,107.81,117.58,34.04,21.4,93.55,64.81,47.56,76.71,54.48,21.3,22.94,23.65,51.79,27.32,17.62,47.31,34.57,30.72,11.99
11,Interest Expense,-1.43,-1.56,-1.74,-1.82,-0.22,-0.14,-0.21,-0.75,-0.03,-0.09,-0.23,-0.43,-0.76,-0.56,-0.6,-0.53,-0.67,-0.65,-0.37
12,Interest & Investment Income,1.37,1.09,1.72,0.83,1.3,1.53,1.3,1.25,0.72,2.92,-,0.27,1.95,0.49,0.49,0.44,0.45,0.35,0.28
13,Currency Exchange Gain (Loss),-0.65,0.65,-,4.39,-4.14,4.14,-,-0.26,-0.65,0.65,-,-0.25,0.06,-0.06,-,-0.49,-,-0.32,0.32
14,Other Non Operating Income (Expenses),-1.41,-1.01,-0.44,-1.78,0.95,1.55,-0.52,-1.33,-0.98,-2.36,-0.02,-1.79,0.18,-1.33,-0.17,0.22,-0.71,-1.69,-0.47
15,EBT Excluding Unusual Items,105.68,116.75,33.58,23.03,91.44,71.89,48.12,75.62,53.54,22.42,22.69,21.45,53.21,25.87,17.34,46.95,33.65,28.41,11.75
16,Gain (Loss) on Sale of Investments,4.62,-1.31,-3.61,1.53,1.24,-1.2,-4.32,1.75,-5.79,0.08,-0.54,0.67,-0.55,-0.41,-0.46,-0.08,-0.24,-0.32,-0.74
17,Gain (Loss) on Sale of Assets,-0.02,-0.06,-0.01,0.19,0.01,-0.01,0,0.38,-0.44,-0.01,-,0.06,0.06,-0.01,-,-0.03,-0.09,-0,-
