,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4270,4084,3479,4210,4228,4647,4314,3799,3781,3557,3561,3884,4423,3974,-,-,-,-,-,-
1,Market Cap Growth,-12.12%,-12.12%,-19.35%,10.81%,11.81%,30.67%,21.14%,-2.20%,-14.52%,-10.51%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3842,3504,3131,3728,3746,4153,4024,3338,3320,3184,3202,3432,3971,3947,-,-,-,-,-,-
3,Last Close Price,9.62,9.20,7.81,9.40,9.44,10.37,9.63,8.38,8.34,7.85,7.86,8.57,9.76,8.77,-,-,-,-,-,-
4,PE Ratio,18.12,17.48,14.94,21.58,22.23,20.57,22.75,23.96,27.58,32.42,32.07,35.27,40.41,34.52,-,-,-,-,-,-
5,Forward PE,17.81,17.04,14.46,14.88,16.02,19.87,19.31,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.23,1.18,0.94,1.27,1.30,1.50,1.74,1.86,2.20,2.24,2.04,2.00,2.23,2.02,-,-,-,-,-,-
7,PB Ratio,2.39,2.29,2.03,2.56,2.59,2.90,2.83,2.55,2.58,2.52,2.58,2.86,3.29,3.05,-,-,-,-,-,-
8,P/TBV Ratio,2.62,2.62,2.26,2.87,2.91,3.27,3.21,2.91,2.96,2.90,2.98,3.32,3.83,3.57,-,-,-,-,-,-
9,P/FCF Ratio,54.08,-,22.27,-,19.48,34.29,19.82,-,38.61,72.59,-182.47,-,-,-26.12,-,-,-,-,-,-
10,P/OCF Ratio,20.36,20.36,16.67,-,12.05,14.29,8.84,-,9.02,10.10,14.62,26.68,29.54,33.93,-,-,-,-,-,-
11,EV/Sales Ratio,1.11,1.02,0.85,1.12,1.16,1.34,1.63,1.63,1.93,2.00,1.84,1.77,2.00,2.01,-,-,-,-,-,-
12,EV/EBITDA Ratio,11.38,10.61,10.02,14.49,14.03,13.04,14.45,14.45,16.16,21.03,21.62,22.36,26.93,23.14,-,-,-,-,-,-
13,EV/EBIT Ratio,14.13,12.48,11.74,17.44,16.48,14.69,16.52,16.69,18.92,26.02,26.75,27.31,32.99,27.40,-,-,-,-,-,-
14,EV/FCF Ratio,48.66,-,20.04,-,17.26,30.64,18.49,-,33.90,64.98,-164.05,-,-,-25.94,-,-,-,-,-,-
15,Debt / Equity Ratio,0.08,0.08,0.11,0.10,0.10,0.11,0.11,0.12,0.10,0.08,0.06,0.04,0.05,0.07,0.22,0.18,0.11,-,-,-
16,Debt / EBITDA Ratio,0.44,0.31,0.35,0.88,1.02,0.42,0.53,0.81,0.38,0.48,0.62,0.45,0.46,0.37,1.32,1.51,0.43,-,-,-
17,Debt / FCF Ratio,1.88,-,1.21,-,0.75,1.27,0.77,-,1.44,2.43,-4.15,-,-,-0.56,-,-,-,-,-,-
18,Asset Turnover,1.06,1.61,0.94,1.20,1.44,1.10,0.85,1.09,0.72,0.63,0.48,1.08,1.23,1.37,0.79,-,-,-,-,
19,Inventory Turnover,15.77,17.13,16.71,9.37,15.48,12.58,8.62,8.68,11.99,7.61,7.32,6.70,19.65,16.41,13.72,6.64,-,-,-,-
20,Quick Ratio,1.34,1.34,1.38,1.12,1.13,1.14,0.95,1.02,0.99,1.09,1.24,1.38,1.50,1.62,1.12,1.21,1.11,-,-,-
21,Current Ratio,1.54,1.54,1.55,1.64,1.47,1.49,1.36,1.45,1.36,1.49,1.61,1.71,1.65,1.77,1.36,1.50,1.39,-,-,-
22,Return on Equity (ROE),16.04%,21.70%,9.54%,8.26%,17.76%,14.11%,9.25%,19.20%,9.49%,6.47%,3.76%,12.58%,12.91%,10.30%,5.96%,-,-,-,-,
23,Return on Assets (ROA),9.04%,10.42%,3.04%,1.86%,8.11%,5.77%,4.40%,7.38%,5.80%,2.48%,2.69%,2.77%,6.91%,4.35%,2.96%,-,-,-,-,
24,Return on Capital (ROIC),14.04%,15.86%,4.73%,3.00%,13.49%,9.63%,7.26%,12.22%,9.09%,3.70%,4.05%,4.21%,10.76%,6.91%,4.76%,-,-,-,-,
25,Return on Capital Employed (ROCE),14.39%,14.87%,14.41%,11.96%,12.79%,16.07%,14.51%,12.02%,10.95%,7.95%,8.18%,8.93%,8.62%,10.58%,12.86%,14.19%,14.54%,-,-,-
26,Earnings Yield,5.47%,5.72%,6.69%,4.63%,4.50%,4.86%,4.39%,4.17%,3.63%,3.08%,3.12%,2.83%,2.47%,2.90%,-,-,-,-,-,-
27,FCF Yield,1.85%,1.93%,4.49%,3.03%,5.13%,2.92%,5.05%,0.31%,2.59%,1.38%,-0.55%,-3.77%,-2.74%,-3.83%,-,-,-,-,-,-
28,Dividend Yield,0.45%,-,-,-,0.46%,-,-,-,0.42%,-,-,-,-,1.28%,-,-,-,-,-,-
29,Payout Ratio,10.92%,2.09%,22.66%,4.31%,5.15%,2.52%,32.73%,5.00%,2.11%,2.52%,2.54%,3.63%,5.65%,146.94%,8.71%,11.14%,1.19%,2.79%,179.29%,0.90%
30,Buyback Yield / Dilution,-0.45%,-3.23%,5.91%,-1.54%,-4.08%,13.18%,-9.95%,-0.80%,7.04%,-20.71%,-23.00%,-40.71%,-28.76%,-24.76%,-6.59%,10.63%,-,-,-,-
31,Total Shareholder Return,0.00%,-3.23%,5.91%,-1.54%,-3.62%,13.18%,-9.95%,-0.80%,7.46%,-20.71%,-23.00%,-40.71%,-28.76%,-23.48%,-6.59%,10.63%,-,-,-,-
