,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,71,76,64,43,95,70,100,108,114,240,300
1,Market Cap Growth,76.42%,76.42%,-32.77%,-38.73%,-4.47%,-34.72%,-12.14%,-55.08%,-62.15%,-44.04%,-
2,Last Close Price,0.17,0.19,0.16,0.09,0.20,0.15,0.21,0.23,0.24,0.51,0.60
3,PE Ratio,-,-,-,32.04,-,-,-,8.61,7.05,11.45,21.22
4,PS Ratio,1.92,2.06,0.70,0.50,2.23,1.51,1.29,1.11,1.06,2.09,2.88
5,PB Ratio,0.61,0.65,0.48,0.27,0.64,0.44,0.59,0.59,0.65,1.41,1.72
6,P/FCF Ratio,1.95,2.09,1.57,26.71,-,6.72,-,-,-,-,-
7,P/OCF Ratio,1.97,1.97,1.52,26.71,-,6.72,-,-,-,-,-
8,Debt / Equity Ratio,0.22,0.22,0.25,0.23,0.27,0.24,0.40,0.36,0.19,0.15,0.10
9,Debt / FCF Ratio,0.71,0.71,0.81,22.26,-,3.60,-,-,-,-,-
10,Earnings Yield,-45.98%,-42.79%,-6.22%,3.12%,-23.78%,-35.60%,-3.30%,11.61%,14.18%,8.73%,4.71%
11,FCF Yield,51.32%,47.75%,63.89%,3.74%,-13.18%,14.87%,-7.45%,-9.87%,-72.01%,-55.75%,-9.41%
12,Dividend Yield,0.00%,-,-,27.22%,-,-,-,-,-,-,12.23%
13,Buyback Yield / Dilution,-,-,-,-,0.09%,-,5.59%,-0.01%,-30.99%,-23.76%,
14,Total Shareholder Return,-,-,27.22%,-,0.09%,-,5.59%,-0.01%,-30.99%,-11.53%,
