,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,3040,2160,1973,2200,2440,3187,4147,10960,-,-
1,Market Cap Growth,-1.82%,-1.82%,-19.13%,-30.96%,-41.16%,-70.92%,-,-,-,-
2,Enterprise Value,246,-853,-938,-845,-378,-68,1069,10277,-,-
3,Last Close Price,2.28,1.57,1.38,1.49,1.63,2.10,2.66,7.03,-,-
4,PE Ratio,12.98,9.22,10.23,18.03,-,44.07,-,56.58,-,-
5,Forward PE,14.90,11.21,14.29,18.22,13.13,14.10,9.21,27.90,-,-
6,PS Ratio,1.63,1.16,1.11,1.31,1.49,1.79,1.91,5.17,-,-
7,PB Ratio,0.94,0.66,0.61,0.69,0.76,0.97,1.24,3.28,-,-
8,P/TBV Ratio,0.67,0.67,0.62,0.69,0.77,0.97,1.24,3.29,-,-
9,P/FCF Ratio,12.51,-,5.75,-,35.92,-,-14.00,-,-,-
10,P/OCF Ratio,8.34,-,5.48,-,30.11,-,-17.60,-,-,-
11,PEG Ratio,0.72,0.72,0.72,0.72,-,-,-,-,-,-
12,EV/Sales Ratio,0.13,-,-,-,-,-,0.49,4.85,-,-
13,EV/EBITDA Ratio,1.13,-,-,-,-,-,-,41.74,-,-
14,EV/EBIT Ratio,1.37,-,-,-,-,-,-,45.46,-,-
15,EV/FCF Ratio,1.01,-,-,-,-,-,-3.61,-,-,-
16,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.22,-
17,Debt / FCF Ratio,0.15,-,0.09,-,0.28,-,-0.06,-,0.87,-
18,Return on Capital Employed (ROCE),5.45%,5.45%,-,1.07%,-,0.48%,-,6.75%,111.16%,-
19,Earnings Yield,7.70%,10.84%,9.77%,5.55%,3.06%,2.27%,2.73%,1.77%,-,-
20,FCF Yield,7.99%,11.25%,17.40%,7.65%,2.78%,-2.81%,-7.14%,1.23%,-,-
21,Dividend Yield,5.67%,8.06%,8.41%,4.57%,2.69%,0.94%,-,-,-,-
22,Buyback Yield / Dilution,-,-,-,0.08%,-10.53%,-33.43%,-21.80%,-,-,
23,Total Shareholder Return,5.67%,8.06%,8.41%,4.57%,2.77%,-9.60%,-33.43%,-21.80%,-,-
