,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,1213,1543,1542,1341,631.33,2558,1677,884.77,-
1,Short-Term Investments,1425,1229,1174,1382,1796,110,850,-,-
2,Trading Asset Securities,-,-,-,-,-,-,50,-,-
3,Cash & Short-Term Investments,2638,2773,2717,2723,2427,2668,2577,884.77,-
4,Cash Growth,-2.89%,1.84%,11.94%,2.04%,-5.82%,201.57%,-,-,-
5,Accounts Receivable,125.07,32.3,116.66,36.69,179.07,18.95,192.84,64.22,-
6,Other Receivables,43.73,53.32,45.49,66.96,44.16,60.07,40.15,61.66,-
7,Receivables,168.8,85.62,162.15,103.65,223.23,79.02,232.99,125.88,-
8,Inventory,165.7,275.17,159.05,329.51,170.95,349.88,194.26,373.07,-
9,Prepaid Expenses,10.52,8.52,15.42,4.53,17.57,6.63,15.72,2.9,-
10,Other Current Assets,-,-,-,-,-,-,0.54,11.66,-
11,Total Current Assets,2983,3142,3053,3160,2839,3104,3020,1398,-
12,"Property, Plant & Equipment",192.18,190.85,183.96,187.57,192.56,195.12,185.24,167.68,-
13,Long-Term Investments,407.05,410.09,147.53,146.03,135.22,66.9,60,-,-
14,Goodwill,-,6.28,3.93,3.93,-,-,-,-,-
15,Other Intangible Assets,9.7,9.7,11.49,11.65,-,-,-,-,-
16,Long-Term Deferred Tax Assets,76.12,76.99,79.97,68.06,72.25,54.13,55.63,37.31,-
17,Other Long-Term Assets,1.74,0.17,0.17,0.62,3.39,2.82,3.59,5.16,-
18,Total Assets,3670,3836,3480,3578,3242,3423,3325,1608,-
19,Accounts Payable,202.29,239.75,155.76,243.79,193.6,292.9,229.37,321.54,-
20,Accrued Expenses,223.58,252.51,234.28,230.07,162.34,193.57,204.79,161.16,-
21,Short-Term Debt,-,-,-,-,-,-,-,300,-
22,Current Portion of Leases,13.42,11.21,7.1,6.2,6.81,5.52,4.17,1.78,-
23,Current Income Taxes Payable,15.97,16.32,10.4,3.24,13.49,7.12,4.08,42.66,-
24,Current Unearned Revenue,53.86,334.74,42.51,243.72,37.91,169.07,58.23,486.75,-
25,Other Current Liabilities,102.82,13.21,43.74,7.89,7.61,9.83,37.84,38.9,-
26,Total Current Liabilities,611.93,867.74,493.79,734.91,421.76,678,538.47,1353,-
27,Long-Term Leases,20.58,16.81,8.84,10.41,12.87,9.39,11.67,5.1,-
28,Long-Term Deferred Tax Liabilities,10.36,11.41,8.23,8.27,2.66,-,-,-,-
29,Other Long-Term Liabilities,-,2.71,-,-,-,-,-,-,-
30,Total Liabilities,642.88,898.67,510.86,753.59,437.28,687.39,550.14,1358,-
31,Common Stock,0,0,0,0,0,0,0,0,-
32,Additional Paid-In Capital,2465,2465,2465,2465,2465,2465,-,1.55,-
33,Retained Earnings,402.94,308.81,350.03,222.83,286.3,270.47,-,237.04,-
34,Comprehensive Income & Other,155.05,153.24,147.65,129.13,52.04,-2.02,2773,9.09,-
35,Total Common Equity,3023,2927,2963,2817,2804,2734,2773,247.68,-
36,Minority Interest,3.99,10.11,6.6,7.3,1.28,1.5,2.13,2.85,-
37,Shareholders' Equity,3027,2937,2970,2825,2805,2735,2775,250.53,-
38,Total Liabilities & Equity,3670,3836,3480,3578,3242,3423,3325,1608,-
39,Total Debt,34,28.02,15.94,16.61,19.68,14.91,15.84,306.88,-
40,Net Cash (Debt),2604,2745,2701,2706,2407,2653,2561,577.89,-
41,Net Cash Growth,-3.57%,1.43%,12.19%,1.99%,-6.00%,359.13%,-,-,-
42,Net Cash Per Share,1.95,2.06,2.03,2.03,1.81,1.99,2.12,0.58,-
43,Filing Date Shares Outstanding,1333,1333,1333,1333,1333,1333,1333,1333,990.39
44,Total Common Shares Outstanding,1333,1333,1333,1333,1333,1333,1333,1333,990.39
45,Working Capital,2371,2274,2560,2425,2417,2426,2482,45.47,-
46,Book Value Per Share,2.27,2.20,2.22,2.11,2.10,2.05,2.08,0.19,-
47,Tangible Book Value,3014,2911,2948,2802,2804,2734,2773,247.68,-
48,Tangible Book Value Per Share,2.26,2.18,2.21,2.10,2.10,2.05,2.08,0.19,-
49,Buildings,-,127.03,-,124.97,-,117.06,-,97.91,-
50,Machinery,-,139.31,-,123.1,-,113.17,-,87.21,-
51,Construction In Progress,-,-,-,-,-,3.34,-,3.81,-
