,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,1249,482.82,1133,423.46,1023,497.25,1272,490.48,1212
1,Revenue Growth (YoY),10.27%,14.02%,10.71%,-14.84%,-19.56%,1.38%,4.97%,-,-
2,Cost of Revenue,670.13,232.35,664.98,222.6,622.67,267.81,713.92,257.21,702.37
3,Gross Profit,579.01,250.48,467.78,200.86,400.51,229.44,557.99,233.28,509.31
4,"Selling, General & Admin",398.26,263.6,349.38,287.76,311.24,304.42,400.97,199.57,257.05
5,Operating Expenses,400.24,262.61,350.32,286.5,313.16,303.19,401.89,201.41,257.01
6,Operating Income,178.77,-12.14,117.46,-85.64,87.35,-73.76,156.1,31.86,252.3
7,Interest Expense,-0.74,-0.54,-0.47,-0.45,-0.41,-0.4,-1.21,-1.66,-0.99
8,Interest & Investment Income,50.49,46.66,47.92,34.25,21.74,26.41,-,10,-
9,Currency Exchange Gain (Loss),-1.24,-2.93,3.34,-6.46,-1.53,-6.43,-6.5,0.71,-
10,Other Non Operating Income (Expenses),9.46,22.86,5.74,12.41,7.61,35.25,3.83,40.63,-10.81
11,EBT Excluding Unusual Items,236.74,53.91,174,-45.9,114.75,-18.94,152.22,81.55,240.51
12,Merger & Restructuring Charges,-,-0.12,-,-0.19,-,-,-,-,-
13,Impairment of Goodwill,-6.28,-,-,-,-,-,-,-,-
14,Gain (Loss) on Sale of Investments,-10.02,-9.89,-,10.81,10.62,-,-,-,-
15,Gain (Loss) on Sale of Assets,-0,-0.01,0.08,-0.02,-0.05,-0,-,-0,-0.01
16,Other Unusual Items,-0.38,-0.7,-,-1.18,-2.37,-12.99,-,-28.71,-
17,Pretax Income,220.07,43.19,174.08,-36.48,122.96,-31.93,152.22,52.83,240.5
18,Income Tax Expense,44.19,6.07,38.38,-12.51,33.53,-3.37,32.89,12.29,48.13
19,Earnings From Continuing Operations,175.87,37.12,135.7,-23.97,89.43,-28.57,119.33,40.54,192.37
20,Minority Interest in Earnings,3.59,1.4,0.8,0.41,0.23,0.63,0.7,0.49,-9.62
21,Net Income,179.46,38.51,136.5,-23.56,89.66,-27.94,120.03,41.03,182.75
22,Net Income to Common,179.46,38.51,136.5,-23.56,89.66,-27.94,120.03,41.03,182.75
23,Net Income Growth,31.47%,-,52.25%,-,-25.30%,-,-34.32%,-,-
24,Shares Outstanding (Basic),1333,1333,1333,1333,1333,1334,1206,1000,990
25,Shares Outstanding (Diluted),1333,1333,1333,1333,1333,1334,1206,1000,990
26,Shares Change (YoY),-,-,-,-0.08%,10.53%,33.43%,21.80%,-,-
27,EPS (Basic),0.13,0.03,0.10,-0.02,0.07,-0.02,0.10,0.04,0.18
28,EPS (Diluted),0.13,0.03,0.10,-0.02,0.07,-0.02,0.10,0.04,0.18
29,EPS Growth,31.47%,-,52.25%,-,-32.42%,-,-46.07%,-,-
30,Free Cash Flow,-168.15,394.3,-82.7,238.54,-178.46,102.1,-343.44,455.45,-103.15
31,Free Cash Flow Per Share,-0.13,0.30,-0.06,0.18,-0.13,0.08,-0.28,0.46,-0.10
32,Dividend Per Share,0.054,0.064,0.041,0.022,0.017,-,-,-,-
33,Dividend Growth,31.22%,190.91%,144.05%,-,-,-,-,-,-
34,Operating Margin,14.31%,-2.51%,10.37%,-20.22%,8.54%,-14.83%,12.27%,6.50%,20.82%
35,Profit Margin,14.37%,7.98%,12.05%,-5.56%,8.76%,-5.62%,9.44%,8.37%,15.08%
36,Free Cash Flow Margin,-13.46%,81.67%,-7.30%,56.33%,-17.44%,20.53%,-27.00%,92.86%,-8.51%
37,EBITDA,189.69,4.29,130.36,-70.77,97,-57.26,164.46,40.28,255.57
38,D&A For EBITDA,10.92,16.42,12.89,14.88,9.65,16.5,8.36,8.41,3.27
39,EBIT,178.77,-12.14,117.46,-85.64,87.35,-73.76,156.1,31.86,252.3
40,Advertising Expenses,186.52,-,153.33,-,145.12,-,204.46,-,124.75
