,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3838,3833,3767,3735,4142,4442,4727,5085,4812,4918,5862,7692,-,-,-,-,-,-,-,-
1,Market Cap Growth,-13.72%,-13.72%,-20.31%,-26.55%,-13.93%,-9.69%,-19.37%,-33.90%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3907,2430,3192,2766,3172,3733,4049,4181,3860,3928,4112,7555,-,-,-,-,-,-,-,-
3,Last Close Price,20.38,20.35,20.00,19.08,21.15,22.69,24.14,25.61,24.23,24.77,29.52,36.59,-,-,-,-,-,-,-,-
4,PE Ratio,40.91,39.28,37.65,45.56,51.69,48.17,56.27,46.66,34.36,31.28,27.79,30.06,-,-,-,-,-,-,-,-
5,Forward PE,-,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46,16.27,21.35,-,-,-,-,-,-,-,-
6,PS Ratio,2.34,2.25,2.21,2.29,2.59,2.71,2.77,2.90,2.57,2.59,2.97,3.85,-,-,-,-,-,-,-,-
7,PB Ratio,1.31,1.31,1.29,1.27,1.38,1.49,1.60,1.69,1.61,1.67,2.00,2.65,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.33,1.33,1.31,1.29,1.40,1.52,1.63,1.72,1.64,1.70,2.03,2.70,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-94.73,-,17.39,-,120.83,118.56,-,-625.38,-34.48,-,345.97,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-182.37,-,15.33,-,48.64,44.81,-,12.23,16.10,26.35,31.94,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.29,1.42,1.88,1.69,1.99,2.28,2.37,2.39,2.06,2.07,2.08,3.78,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,40.34,30.27,40.50,47.17,60.54,71.76,94.79,66.86,38.04,27.96,18.82,26.11,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,87.18,54.22,66.48,98.63,119.87,121.47,-,90.59,45.23,31.52,20.29,27.62,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-96.57,-60.06,-,12.88,-,101.54,101.56,-,-501.66,-27.53,-,339.81,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.25,0.25,0.22,0.04,0.06,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,0.22,0.22,0.22
16,Debt / EBITDA Ratio,7.72,11.97,6.32,1.90,1.78,0.08,0.23,0.14,0.07,-,-,-,-,-,-,-,-,0.20,0.45,0.45
17,Debt / FCF Ratio,-,-18.48,-,0.58,-,0.13,0.13,-,-0.85,-,-,-,-,-,-,-,-,-,0.60,1.20
18,Asset Turnover,0.45,0.51,0.42,0.50,0.51,0.49,0.40,0.58,0.62,0.52,0.80,-,-,-,-,-,-,1.74,-,
19,Inventory Turnover,9.12,9.29,10.61,10.06,10.75,10.12,8.85,7.36,16.10,14.27,9.57,12.78,-,-,-,-,-,-,11.11,-
20,Quick Ratio,0.67,0.67,2.27,1.62,1.58,1.71,2.82,3.23,2.31,2.97,3.55,2.56,1.18,-,-,-,0.40,-,0.31,0.31
21,Current Ratio,2.19,2.19,2.56,2.13,2.04,2.22,3.84,4.54,2.87,3.88,4.90,3.01,2.66,-,-,-,1.23,-,0.63,0.63
22,Return on Equity (ROE),2.86%,3.83%,2.97%,3.55%,3.16%,1.34%,2.69%,5.20%,2.07%,4.79%,11.16%,-,-,-,73.21%,88.26%,90.05%,38.70%,-,
23,Return on Assets (ROA),0.43%,1.09%,0.55%,1.05%,0.73%,-0.33%,0.45%,1.43%,0.07%,1.49%,5.04%,-,-,-,-,-,-,14.09%,-,
24,Return on Capital (ROIC),0.47%,1.19%,0.60%,1.20%,0.84%,-0.35%,0.50%,1.60%,0.08%,1.73%,6.15%,-,-,-,53.44%,62.15%,53.53%,23.12%,-,
25,Return on Capital Employed (ROCE),1.52%,1.52%,1.64%,0.95%,0.88%,1.03%,-,1.53%,2.84%,4.22%,6.89%,9.42%,42.85%,-,-,-,54.79%,-,22.41%,11.20%
26,Earnings Yield,2.54%,2.55%,2.66%,2.20%,1.93%,2.08%,1.78%,2.14%,2.91%,3.20%,3.60%,3.33%,-,-,-,-,-,-,-,-
27,FCF Yield,-1.05%,-1.06%,1.90%,5.75%,-1.35%,0.83%,0.84%,-5.81%,-0.16%,-2.90%,-4.26%,0.29%,-,-,-,-,-,-,-,-
28,Dividend Yield,0.98%,-,-,-,0.95%,-,-,-,1.44%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,44.98%,2.37%,150.83%,-,3.97%,3.58%,677.69%,-,0.25%,5.44%,1218.18%,-,-,-,-,0.41%,-,-,60.45%,60.45%
30,Buyback Yield / Dilution,-2.04%,3.30%,-5.48%,0.70%,-7.20%,-4.49%,11.45%,-14.21%,-32.16%,-31.21%,-36.26%,-21.27%,-0.80%,-,0.88%,0.75%,-,-,-,-
31,Total Shareholder Return,-1.06%,3.30%,-5.48%,0.70%,-6.25%,-4.49%,11.45%,-14.21%,-30.72%,-31.21%,-36.26%,-21.27%,-0.80%,-,0.88%,0.75%,-,-,-,-
