,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,445.93,457.69,363.47,417.84,450.32,378.7,327.31,465.9,502.05,438.5,446.75,514.71,572.74,465.09,423.26,374.87,380.26,278.01,278.01
1,Other Revenue,-5.89,5.89,-,22.13,-16.23,16.23,-,16.68,-0.16,0.16,-,-,-,-,-,-,-,-,-
2,Revenue,440.04,463.58,363.47,439.97,434.08,394.93,327.31,482.58,501.89,438.66,446.75,514.71,572.74,465.09,423.26,374.87,380.26,278.01,278.01
3,Revenue Growth (YoY),1.37%,17.38%,11.05%,-8.83%,-13.51%,-9.97%,-26.73%,-6.24%,-12.37%,-5.68%,5.55%,37.31%,50.62%,67.29%,52.24%,-,-,-,-
4,Cost of Revenue,427.28,439.04,346.63,420.88,412.68,387.7,312.97,449.75,491.81,411.76,389.5,477.08,467.24,357.87,300.5,201.61,327.49,226.64,226.64
5,Gross Profit,12.76,24.55,16.84,19.09,21.41,7.23,14.34,32.83,10.07,26.89,57.25,37.63,105.49,107.22,122.75,173.26,52.77,51.37,51.37
6,"Selling, General & Admin",5.09,6.58,5.44,5.45,5.66,6.02,5,3.45,4.02,6.19,6.84,4.22,4.75,3.5,4.05,19.28,-10,5,5
7,Research & Development,4.73,2.96,4.63,5.02,4.37,3.97,3.75,4.79,4.46,4.33,4.57,-31.69,19.58,15.91,14.15,45.41,-19.28,9.64,9.64
8,Other Operating Expenses,-3.64,-0.92,-0.76,-6.14,1.58,1.29,-0.2,5.55,0.69,-3.87,0.67,6.75,2.19,-3.35,2.54,0.96,-1.35,0.67,0.67
9,Operating Expenses,6.01,8.8,9.29,4.32,11.46,11.46,8.36,13.8,9.17,6.65,12.08,-20.68,26.52,16.1,20.69,65.48,-30.67,15.33,15.33
10,Operating Income,6.75,15.75,7.55,14.77,9.95,-4.23,5.98,19.03,0.9,20.24,45.17,58.31,78.98,91.11,102.06,107.78,83.43,36.04,36.04
11,Interest Expense,-0.51,-4.69,-0.03,-1.09,-0.88,-0.05,-0.06,-0.14,-0.34,-0.28,-0.21,-,-,-0.11,-0.29,-5.45,-0.49,-2.17,-2.17
12,Interest & Investment Income,21.45,15.89,18.68,17.73,18.83,15.88,15.83,21.12,16.53,16.07,10.65,0.93,1.03,0.92,0.61,1.27,4.33,0.24,0.24
13,Currency Exchange Gain (Loss),-0.09,0.09,-,0.02,-0.01,0.01,-,-0.01,-0,0,-,-0,0,-0,-,-0,0,-0,-0
14,Other Non Operating Income (Expenses),0.39,-0.43,-0.11,-0.07,-0.61,-0.17,0.16,-3.88,-0.58,3.85,-0.32,-1.9,0.39,1.2,-0.09,-0.82,0.61,-0.26,-0.26
15,EBT Excluding Unusual Items,27.99,26.61,26.09,31.36,27.28,11.44,21.92,36.13,16.52,39.88,55.28,57.33,80.4,93.12,102.29,102.78,87.89,33.85,33.85
16,Gain (Loss) on Sale of Investments,-1.44,0.76,-0.91,0.98,-1.48,-0.22,1.07,-3.05,0.44,0.67,4.03,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-0.01,0,-,-,-,-,-0.06,-,-,-
18,Asset Writedown,-0.06,-0,0,0.07,-0.07,-,-,0.05,-0.05,-,-,-0,0,-0,0,-,-,-,-
19,Legal Settlements,-,-,-,-2.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Other Unusual Items,-2.61,5.28,0.01,1.81,-,-,-,8.49,0.17,-0.17,-,7.14,-,-,-,-,-4.06,2.03,2.03
21,Pretax Income,23.88,32.65,25.19,31.28,25.73,11.23,22.98,41.62,17.08,40.37,59.31,64.47,80.4,93.12,102.3,102.72,83.83,35.88,35.88
22,Income Tax Expense,2.95,4.58,3.16,4.75,2.31,1.22,2.82,3,1.88,5.38,8.1,8.64,11.53,13.13,14.92,14.92,12.14,5.07,5.07
23,Net Income,20.93,28.07,22.03,26.53,23.42,10,20.17,38.62,15.2,34.98,51.21,55.83,68.87,79.98,87.38,87.81,71.69,30.81,30.81
24,Net Income to Common,20.93,28.07,22.03,26.53,23.42,10,20.17,38.62,15.2,34.98,51.21,55.83,68.87,79.98,87.38,87.81,71.69,30.81,30.81
25,Net Income Growth,-10.62%,180.55%,9.23%,-31.31%,54.02%,-71.40%,-60.62%,-30.83%,-77.92%,-56.26%,-41.39%,-36.41%,-3.93%,159.58%,183.57%,-,-,-,-
