,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,3466,2803,2511,3010,3368,3926,5236,-,-,-,-,-
1,Market Cap Growth,-28.59%,-28.59%,-52.04%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2706,2026,1696,2081,2438,2969,5205,-,-,-,-,-
3,Last Close Price,27.16,21.97,19.68,23.24,26.00,30.31,39.83,-,-,-,-,-
4,PE Ratio,49.72,40.02,28.08,30.47,33.29,34.89,46.94,-,-,-,-,-
5,PS Ratio,6.75,5.44,4.53,5.42,5.94,6.70,8.94,-,-,-,-,-
6,PB Ratio,2.65,2.14,1.94,2.28,2.57,3.07,4.00,-,-,-,-,-
7,P/TBV Ratio,2.23,2.23,2.01,2.33,2.63,3.15,4.10,-,-,-,-,-
8,P/FCF Ratio,-,-,-37.83,-,-,89.70,307.76,-,-,-,-,-
9,P/OCF Ratio,69.06,69.06,22.65,-,26.32,24.41,77.18,-,-,-,-,-
10,EV/Sales Ratio,5.25,3.93,3.06,3.75,4.30,5.07,8.89,-,-,-,-,-
11,EV/EBITDA Ratio,35.93,28.34,19.32,20.22,22.20,24.15,40.49,-,-,-,-,-
12,EV/EBIT Ratio,44.11,33.01,21.74,22.22,24.16,25.95,43.31,-,-,-,-,-
13,EV/FCF Ratio,-27.12,-,-25.56,-,-,67.84,305.96,-,-,-,-,-
14,Debt / Equity Ratio,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.01,-,-,0.02
15,Debt / EBITDA Ratio,0.71,0.71,0.02,0.01,0.01,0.01,0.03,0.05,0.03,-,-,0.06
16,Debt / FCF Ratio,-,-,-0.02,-,-,0.04,0.20,-,0.23,-,-,-
17,Asset Turnover,0.37,0.40,0.25,0.45,0.47,0.56,0.75,-,-,-,-,
18,Inventory Turnover,4.69,5.20,6.01,3.85,6.47,6.06,5.50,3.88,-,-,-,-
19,Quick Ratio,9.30,9.30,12.42,21.91,10.53,6.47,9.28,2.44,2.11,-,-,-
20,Current Ratio,10.14,10.14,13.42,23.85,11.20,6.98,9.91,3.21,2.62,-,-,-
21,Return on Equity (ROE),4.25%,5.42%,3.22%,8.61%,10.25%,12.72%,13.34%,-,-,-,-,
22,Return on Assets (ROA),2.86%,2.36%,1.43%,4.13%,5.69%,7.34%,7.27%,-,-,-,-,
23,Return on Capital (ROIC),3.08%,2.48%,1.52%,4.61%,6.38%,8.37%,9.72%,-,-,-,-,
24,Return on Capital Employed (ROCE),4.48%,4.48%,5.98%,7.04%,7.64%,8.88%,9.12%,28.13%,29.25%,-,-,-
25,Earnings Yield,2.02%,2.50%,3.56%,3.28%,3.00%,2.87%,2.13%,-,-,-,-,-
26,FCF Yield,-2.88%,-3.56%,-2.64%,-1.15%,0.47%,1.11%,0.32%,-,-,-,-,-
27,Dividend Yield,3.53%,-,-,-,3.18%,-,1.21%,-,-,-,-,-
28,Payout Ratio,62.82%,-,248.14%,-,-,185.56%,-,-,-,-,-,-
29,Buyback Yield / Dilution,-20.54%,1.99%,-21.87%,-36.04%,-33.84%,-34.74%,-13.69%,3.74%,-,-,-,-
30,Total Shareholder Return,-17.01%,1.99%,-21.87%,-36.04%,-30.66%,-34.74%,-12.48%,3.74%,-,-,-,-
