,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,742.88,579.07,815.25,812.2,850.9,943.22,17.89,72.03,-,-,-
1,Trading Asset Securities,70,200,-,90,80,17,16,-,-,-,-
2,Cash & Short-Term Investments,812.88,779.07,815.25,902.2,930.9,960.22,33.89,72.03,-,-,42.04
3,Cash Growth,-12.68%,-18.87%,2305.34%,1152.54%,-,-,-19.38%,-,-,-,-
4,Accounts Receivable,203.72,187.6,180.61,203.12,220.24,189.65,214.93,242.44,-,-,-
5,Other Receivables,1.07,0.73,1.71,0.97,1.04,0.43,2.46,0.54,-,-,-
6,Receivables,204.79,188.33,182.32,204.1,221.28,190.07,217.38,242.98,-,-,-
7,Inventory,83.75,71.82,67.67,67.85,84.36,69,75.98,71.85,-,-,-
8,Other Current Assets,7.76,6.71,20.65,2.96,6.54,9.17,3.97,4.02,-,-,-
9,Total Current Assets,1109,1046,1086,1177,1243,1228,331.23,390.88,-,-,-
10,"Property, Plant & Equipment",288.47,281.1,233.32,202.8,180.98,172.15,134.74,109.73,-,-,-
11,Other Intangible Assets,54.52,45.3,31.65,31.84,32.03,32.23,32.42,32.62,-,-,-
12,Long-Term Deferred Tax Assets,4.63,3.74,3.45,3.18,3.09,2.77,2.8,2.69,-,-,-
13,Long-Term Deferred Charges,-,-,-,0.06,0.1,0.14,0.19,0.23,-,-,-
14,Other Long-Term Assets,22.92,7.06,22.78,10.81,6.82,6.32,6.46,5.78,-,-,-
15,Total Assets,1480,1383,1377,1426,1466,1442,507.84,541.93,-,-,-
16,Accounts Payable,85.48,59.19,32.98,76.04,145.15,98.57,84.51,113.82,-,-,-
17,Accrued Expenses,10.25,15.9,6.38,21.67,10.14,16.25,6.02,23.13,-,-,-
18,Current Portion of Leases,1.46,0.69,0.5,1.62,1.59,2.86,1.61,3.12,-,-,-
19,Current Income Taxes Payable,7.62,1.25,3.03,5.25,12.33,3.69,7.65,8.36,-,-,-
20,Current Unearned Revenue,1.24,0.36,0.46,0.13,1.12,0.19,0.05,0.61,-,-,-
21,Other Current Liabilities,3.38,0.53,2.19,0.39,7.67,2.42,3.34,0.28,-,-,-
22,Total Current Liabilities,109.44,77.92,45.54,105.09,177.99,123.98,103.18,149.32,-,-,-
23,Long-Term Debt,50,-,-,-,-,-,-,-,-,-,-
24,Long-Term Leases,2.15,0.6,-,-,-,0.51,1.64,2.23,-,-,-
25,Long-Term Unearned Revenue,8.49,8.67,8.85,9.03,7.3,7.43,7.56,7.69,-,-,-
26,Long-Term Deferred Tax Liabilities,0.4,0.43,0.45,0.47,0.58,0.52,0.52,0.55,-,-,-
27,Total Liabilities,170.47,87.61,54.84,114.59,185.86,132.44,112.9,159.79,-,-,-
28,Common Stock,127.6,127.6,88,88,88,88,66,66,-,-,-
29,Additional Paid-In Capital,908.12,908.12,947.72,947.72,947.72,947.72,81.9,81.9,-,-,-
30,Retained Earnings,265.68,251.85,278.36,267.54,239.61,268.01,240.94,227.97,-,-,-
31,Comprehensive Income & Other,7.85,7.95,8.18,7.95,4.91,5.89,6.1,6.28,-,-,-
32,Shareholders' Equity,1309,1296,1322,1311,1280,1310,394.93,382.14,-,-,277.05
33,Total Liabilities & Equity,1480,1383,1377,1426,1466,1442,507.84,541.93,-,-,-
34,Total Debt,53.61,1.29,0.5,1.62,1.59,3.37,3.25,5.35,-,-,4.28
35,Net Cash (Debt),759.27,777.79,814.75,900.58,929.31,956.85,30.65,66.68,-,-,37.77
36,Net Cash Growth,-18.30%,-18.71%,2558.51%,1250.64%,-,-,-18.85%,-,-,-,-
37,Net Cash Per Share,6.04,6.00,6.37,6.93,7.25,9.00,0.33,0.69,-,-,0.39
38,Filing Date Shares Outstanding,127.6,127.6,127.6,127.6,127.6,127.6,127.6,127.6,95.15,93.53,97.63
39,Total Common Shares Outstanding,127.6,127.6,127.6,127.6,127.6,127.6,95.7,95.7,95.15,93.53,97.63
40,Working Capital,999.74,968.02,1040,1072,1065,1104,228.05,241.56,-,-,-
41,Book Value Per Share,10.26,10.15,10.36,10.28,10.03,10.26,4.13,3.99,-,-,2.89
42,Tangible Book Value,1255,1250,1291,1279,1248,1277,362.51,349.53,-,-,243.82
43,Tangible Book Value Per Share,9.83,9.80,10.11,10.03,9.78,10.01,3.79,3.65,-,-,2.54
44,Buildings,-,58.78,-,58.78,-,58.78,-,46.29,-,-,-
45,Machinery,-,116.74,-,82.71,-,76.76,-,66.75,-,-,-
46,Construction In Progress,-,165.36,-,115.07,-,83.89,-,38.3,-,-,-
