,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,135.89,131.99,86.84,149.92,175.39,132.12,98.51,165.01,175.84,120.98,90.29
1,Other Revenue,-4.54,4.54,-,11.14,-5.53,5.53,-,14.53,-5.92,5.92,-
2,Revenue,131.35,136.53,86.84,161.06,169.86,137.65,98.51,179.53,169.92,126.9,90.29
3,Revenue Growth (YoY),-22.67%,-0.81%,-11.85%,-10.29%,-0.03%,8.47%,9.11%,-,-,-,-
4,Cost of Revenue,101.05,104.79,65.27,123.15,116.16,99.7,71.73,126.07,115.29,95.33,62.16
5,Gross Profit,30.29,31.74,21.57,37.91,53.7,37.95,26.78,53.46,54.63,31.58,28.13
6,"Selling, General & Admin",9.18,8.26,8.65,8.03,9.95,8.25,6.82,6.69,7.8,5.24,6.82
7,Research & Development,5.43,8.71,5.03,7.56,7.32,6.08,4.56,6.85,6.62,4.24,5.3
8,Other Operating Expenses,-1.39,0.01,0.09,0.45,0.25,-2.06,-0.14,4.72,-1.61,-0.63,0.34
9,Operating Expenses,13.89,18.74,13.54,14,20.6,9.32,11.5,16.06,15.74,9.33,11.83
10,Operating Income,16.4,13,8.04,23.92,33.1,28.63,15.27,37.4,38.89,22.24,16.3
11,Interest Expense,-0.04,-,-0.13,-0.03,-0.08,-,-0.06,-0.12,-0,-0.04,-0.02
12,Interest & Investment Income,5.28,3.99,5.57,6.96,6.14,2.3,0.05,0.27,0.09,0.04,0.01
13,Currency Exchange Gain (Loss),-0.02,0.02,-,-0.01,0.01,-0.01,-,0.02,0.01,-0.01,-
14,Other Non Operating Income (Expenses),0.05,-0.21,0.1,0.19,0.05,-0.17,-0.1,0.02,0.12,-0.08,-0.09
15,EBT Excluding Unusual Items,21.66,16.8,13.58,31.02,39.21,30.76,15.16,37.59,39.1,22.16,16.21
16,Gain (Loss) on Sale of Assets,-,-0.05,-,-,-,-,-,-0,-,-,-
17,Asset Writedown,-4.72,1.81,-1.81,1.9,-1.9,0.52,-0.52,2.39,-2.39,0.4,-0.4
18,Other Unusual Items,-1.57,0.84,-0.15,0.24,0.55,-0.55,-,4.56,0.18,-0.18,-
19,Pretax Income,15.37,19.4,11.62,33.16,37.87,30.73,14.64,44.53,36.9,22.38,15.81
20,Income Tax Expense,1.55,1.67,1.04,5.25,4.67,3.62,1.68,5.26,4.69,2.91,1.67
21,Net Income,13.82,17.73,10.59,27.91,33.2,27.1,12.96,39.27,32.21,19.48,14.14
22,Net Income to Common,13.82,17.73,10.59,27.91,33.2,27.1,12.96,39.27,32.21,19.48,14.14
23,Net Income Growth,-58.36%,-34.57%,-18.31%,-28.94%,3.08%,39.14%,-8.33%,-,-,-,-
24,Shares Outstanding (Basic),126,130,128,130,128,106,94,97,95,94,98
25,Shares Outstanding (Diluted),126,130,128,130,128,106,94,97,95,94,98
26,Shares Change (YoY),-1.99%,21.87%,36.04%,33.84%,34.74%,13.69%,-3.74%,-,-,-,-
27,EPS (Basic),0.11,0.14,0.08,0.21,0.26,0.25,0.14,0.40,0.34,0.21,0.14
28,EPS (Diluted),0.11,0.14,0.08,0.21,0.26,0.25,0.14,0.40,0.34,0.21,0.14
29,EPS Growth,-57.52%,-46.31%,-39.96%,-46.91%,-23.50%,22.39%,-4.77%,-,-,-,-
30,Free Cash Flow,-10.29,1.77,-86.45,-4.84,23.13,33.48,-36.02,23.17,-3.62,32.2,-28.72
31,Free Cash Flow Per Share,-0.08,0.01,-0.68,-0.04,0.18,0.31,-0.38,0.24,-0.04,0.34,-0.29
32,Dividend Per Share,-,-,-,0.345,-,0.483,-,-,-,-,-
33,Gross Margin,23.06%,23.25%,24.84%,23.54%,31.61%,27.57%,27.18%,29.78%,32.15%,24.88%,31.16%
34,Operating Margin,12.49%,9.52%,9.25%,14.85%,19.48%,20.80%,15.51%,20.83%,22.89%,17.53%,18.06%
35,Profit Margin,10.52%,12.99%,12.19%,17.33%,19.54%,19.69%,13.16%,21.87%,18.95%,15.35%,15.66%
36,Free Cash Flow Margin,-7.83%,1.30%,-99.55%,-3.00%,13.62%,24.32%,-36.57%,12.91%,-2.13%,25.38%,-31.81%
37,EBITDA,18.85,15.78,10.48,26.36,35.18,30.93,17.36,39.49,40.77,24.28,18.18
38,EBITDA Margin,14.35%,11.56%,12.07%,16.37%,20.71%,22.47%,17.62%,21.99%,23.99%,19.13%,20.14%
39,D&A For EBITDA,2.44,2.78,2.44,2.44,2.08,2.3,2.08,2.08,1.88,2.04,1.88
40,EBIT,16.4,13,8.04,23.92,33.1,28.63,15.27,37.4,38.89,22.24,16.3
41,EBIT Margin,12.49%,9.52%,9.25%,14.85%,19.48%,20.80%,15.51%,20.83%,22.89%,17.53%,18.06%
42,Effective Tax Rate,10.08%,8.59%,8.93%,15.83%,12.33%,11.80%,11.47%,11.82%,12.71%,12.98%,10.59%
43,Revenue as Reported,131.35,136.53,86.84,161.06,169.86,137.65,98.51,179.53,169.92,126.9,90.29
