,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,171.54,167.34,270.93,205.33,222.25,289.48,320.04,275.52,233.95,246.96,263.82,190.84,190.64,180.09,182.08,182.08
1,Other Revenue,-,-6.6,6.6,-,9.19,-6.13,6.13,-,8.72,-12.16,12.16,-,16.56,-5.25,2.62,2.62
2,Revenue,171.54,160.73,277.53,205.33,231.43,283.35,326.17,275.52,242.67,234.8,275.99,190.84,207.2,174.84,184.71,184.71
3,Revenue Growth (YoY),-25.88%,-43.27%,-14.91%,-25.48%,-4.63%,20.68%,18.18%,44.38%,17.11%,34.29%,49.42%,3.32%,-,-,-,-
4,Cost of Revenue,-469.97,114.47,211.05,144.45,178,191.99,233.25,195.64,195.22,151.98,190.35,129.25,148.07,106.48,114.54,114.54
5,Gross Profit,641.51,46.27,66.48,60.88,53.43,91.36,92.92,79.88,47.44,82.82,85.64,61.59,59.13,68.37,70.16,70.16
6,"Selling, General & Admin",-128.52,48.5,42.58,37.44,31.85,40.21,43.11,27.82,27.71,28.78,25.78,23.33,26.51,19.83,23.36,23.36
7,Research & Development,-124.02,39.99,42.17,41.86,46.14,37.8,35.93,31.86,31.81,24.36,27.99,20.65,25.74,21.22,20.02,20.02
8,Other Operating Expenses,1005,-10.52,0.9,-3.89,13.03,-6.63,-15.92,-8.75,9.65,-8.17,-11.25,-3.76,2.46,-11.81,-5.38,-5.38
9,Operating Expenses,745.9,81.52,89.44,74.81,96,72.19,64.54,55.45,68.73,46.46,47.92,40.76,54.57,27.99,41.52,41.52
10,Operating Income,-104.39,-35.25,-22.96,-13.92,-42.57,19.17,28.39,24.43,-21.28,36.35,37.72,20.83,4.56,40.38,28.65,28.65
11,Interest Expense,-1.12,-1.98,-2.18,-1.49,-2.14,-0.96,-1.55,-1.1,-0.48,-,-0.47,-0.29,-0.03,-0.08,-0.03,-0.03
12,Interest & Investment Income,5.65,0.15,0.29,0.68,0.83,1.04,2.01,2.04,2.67,3.34,0.53,0.07,0.1,0.02,0.04,0.04
13,Currency Exchange Gain (Loss),-,-0.12,0.12,-,0.24,-0.24,0.24,-,-0.02,-,-,-,-,-,-,-
