,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,6743,5873,4662,3705,4422,6192,6041,7282,6288,7067,6873,7792,-,-,-,-,-
1,Market Cap Growth,-5.14%,-5.14%,-22.82%,-49.12%,-29.68%,-12.39%,-12.11%,-6.55%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6942,6073,4808,3795,4355,6125,5910,7104,5799,6578,6223,7730,-,-,-,-,-
3,Last Close Price,44.66,38.90,30.88,24.54,29.16,40.83,39.83,48.02,41.28,46.40,45.12,51.16,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,94.85,86.92,68.31,78.20,61.73,69.62,-,-,-,-,-
5,Forward PE,91.14,153.27,82.35,53.06,40.11,46.07,41.34,37.16,33.18,34.60,32.16,-,-,-,-,-,-
6,PS Ratio,8.20,7.21,5.33,3.71,4.23,5.55,5.36,6.75,6.11,7.48,7.56,9.18,-,-,-,-,-
7,PB Ratio,4.75,4.21,3.34,2.49,2.85,3.96,3.84,4.67,4.04,4.61,4.49,5.20,-,-,-,-,-
8,P/TBV Ratio,4.42,4.42,3.51,2.61,2.98,4.14,4.02,4.83,4.18,4.77,4.65,5.39,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-17.07,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-102.51,-,-,-130.95,-67.57,-37.48,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,8.52,7.45,5.49,3.80,4.16,5.49,5.24,6.58,5.64,6.97,6.85,9.11,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,-,75.91,75.74,57.76,-,51.79,62.44,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,116.55,104.64,75.10,-,62.57,74.70,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-17.48,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.23,0.23,0.23,0.18,0.14,0.11,0.13,0.13,0.10,0.05,0.00,0.00,0.04,0.04,-,-,0.01
16,Debt / EBITDA Ratio,-,-,-,-,-,-,1.99,1.34,1.28,-,0.02,0.02,0.24,0.55,-,-,0.06
17,Debt / FCF Ratio,-,-,-,-1.23,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Asset Turnover,-,0.30,0.53,0.39,0.42,0.51,0.59,0.51,0.46,0.46,-,-,-,-,-,-,
19,Inventory Turnover,-,-,1.02,1.90,1.27,1.54,1.63,1.90,1.58,1.63,1.40,-,-,-,-,-,-
20,Quick Ratio,-,-,1.24,1.52,1.65,1.70,1.66,1.69,1.75,1.93,2.17,2.64,-,1.59,-,-,-
21,Current Ratio,-,-,2.01,2.44,2.74,2.68,2.58,2.62,2.73,3.00,3.38,3.71,-,2.53,-,-,-
22,Return on Equity (ROE),-20.75%,-14.23%,-4.43%,-4.33%,-3.13%,3.39%,7.57%,5.54%,-0.19%,8.57%,13.55%,12.03%,-,-,-,-,
23,Return on Assets (ROA),-,-4.18%,-2.75%,-1.64%,-4.85%,2.15%,3.20%,2.82%,-2.54%,4.49%,-,-,-,-,-,-,
24,Return on Capital (ROIC),-15.20%,-5.08%,-3.26%,-1.98%,-6.05%,2.70%,4.08%,3.68%,-3.39%,5.98%,8.73%,7.91%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,3.12%,4.21%,4.81%,-,6.31%,6.71%,-,15.04%,-,-,-
26,Earnings Yield,-2.33%,-2.68%,-1.93%,-0.69%,0.39%,0.86%,1.05%,1.15%,1.46%,1.28%,1.62%,1.44%,-,-,-,-,-
27,FCF Yield,-,-3.41%,-5.86%,-5.46%,-4.55%,-5.88%,-6.25%,-9.10%,-6.89%,-5.56%,-2.60%,-,-,-,-,-,
28,Dividend Yield,0.23%,-,-,-,-,0.27%,-,-,-,0.39%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,-,16.01%,98.32%,4.39%,105.91%,-,2.73%,-,-,-,-,-
30,Buyback Yield / Dilution,2.14%,11.51%,-0.85%,-5.10%,2.24%,-4.65%,1.84%,-10.78%,-31.71%,-35.90%,-33.91%,-18.48%,-2.29%,-,-,-,-
31,Total Shareholder Return,2.36%,11.51%,-0.85%,-5.10%,2.24%,-4.38%,1.84%,-10.78%,-31.71%,-35.52%,-33.91%,-18.48%,-2.29%,-,-,-,-
