,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,114.94,112.13,124.36,192.92,218.65,270.11,332.14,416.02,349.59,504.56,-,86.27,-,-,-
1,Trading Asset Securities,-,-,-,-,-,50,64,-,-,142,147,-,-,-,-,-
2,Cash & Short-Term Investments,114.94,114.94,112.13,124.36,192.92,268.65,334.11,332.14,416.02,491.59,651.56,86.27,86.27,-,-,89.02
3,Cash Growth,-40.42%,-57.21%,-66.44%,-62.56%,-53.63%,-45.35%,-48.72%,285.01%,382.24%,-,-,-3.09%,-,-,-,-
4,Accounts Receivable,-,727.46,713.83,663.28,716.74,742.68,695.18,717.51,619.54,571.42,489.45,-,376.69,-,-,-
5,Other Receivables,-,2.37,7.7,8.81,9.27,5.58,15.26,3.75,3.17,6.8,2.6,-,2.31,-,-,-
6,Receivables,-,729.83,721.53,672.09,726.01,748.26,710.44,721.26,622.71,578.22,492.05,-,379,-,-,-
7,Inventory,-,464.39,433.86,456.13,457.33,470.05,470.86,510.01,477.65,477.88,389.62,-,234.23,-,-,-
8,Prepaid Expenses,-,-,3.61,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Other Current Assets,-,65.9,61.35,74.27,73.97,87.55,104.09,80.36,94.44,116.81,77.59,-,40.06,-,-,-
10,Total Current Assets,-,1375,1332,1327,1450,1575,1619,1644,1611,1664,1611,-,739.56,-,-,-
11,"Property, Plant & Equipment",-,613.71,615.1,608.63,569.89,518.56,496.1,448.55,393.69,304.46,254.48,-,157.21,-,-,-
12,Long-Term Investments,-,29.74,27.33,31.81,27.66,26.94,27.55,28.07,28.54,16.91,17.25,-,1.5,-,-,-
13,Goodwill,-,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,-,3.26,-,-,-
14,Other Intangible Assets,-,69.22,69.7,70.28,70.94,70.88,50.58,49.98,50.57,50.86,50.73,-,49.79,-,-,-
15,Long-Term Deferred Tax Assets,-,18.7,17.88,16.08,14.62,12.66,12.73,10.92,10.98,12.17,11.97,-,10.81,-,-,-
16,Long-Term Deferred Charges,-,11.27,11.59,11.59,11.69,10.56,11.77,13.08,13.81,12.23,8.6,-,6.49,-,-,-
17,Other Long-Term Assets,-,9.8,9.28,15.67,8.14,17.47,8.04,9.77,9.07,4.16,19.07,-,3.63,-,-,-
18,Total Assets,-,2131,2087,2084,2156,2235,2230,2207,2121,2069,1976,-,972.24,-,-,-
19,Accounts Payable,-,303.07,229.26,220.94,318.88,360.65,368.81,384.85,412.59,441.23,389.73,-,219.28,-,-,-
20,Accrued Expenses,-,31.07,35.74,28.69,45.43,37.27,33.37,26.58,40.05,27.32,32.64,-,38.37,-,-,-
21,Short-Term Debt,-,312.09,255.31,206.1,161.08,196.75,197.22,148.21,60.53,0.36,0.28,-,21.11,-,-,-
22,Current Portion of Leases,-,4.12,7.16,5.7,7.56,0.89,2.43,2.04,3.98,0.59,0.61,-,1.32,-,-,-
23,Current Income Taxes Payable,-,4.8,0.03,3.28,0.03,1.13,-0.14,2.41,0.11,5.25,0.09,-,3.56,-,-,-
24,Current Unearned Revenue,-,19.44,13.34,11.49,4.88,11.1,10,34.22,17.02,12.48,8.27,-,6.29,-,-,-
25,Other Current Liabilities,-,8.16,5.98,7.48,2.9,3.21,5.33,4.11,3.49,4.74,2.01,-,2.41,-,-,-
26,Total Current Liabilities,-,682.75,546.83,483.68,540.76,611.01,617.01,602.43,537.77,491.98,433.64,-,292.34,-,-,-
27,Long-Term Leases,-,6.45,4.26,8.6,7.18,5.81,5.39,6.87,5.27,2.94,2.07,-,2.07,-,-,-
28,Long-Term Unearned Revenue,-,33.09,33.56,21.14,21.34,22.36,22.6,22.83,23.07,23.3,23.53,-,24,-,-,-
29,Long-Term Deferred Tax Liabilities,-,0.03,0.03,1.54,0.03,-,-,-,-,-,-,-,-,-,-,-
30,Other Long-Term Liabilities,-,14.39,16.82,20.03,22.55,21.61,23.76,19.8,20.56,18.65,17.7,-,20.22,-,-,-
31,Total Liabilities,-,736.72,601.51,535,591.87,660.79,668.76,651.93,586.66,536.88,476.94,-,338.63,-,-,-
32,Common Stock,-,151.01,151.01,151.01,151.01,151.01,151.01,151.01,151.01,151.01,151.01,-,113.25,-,-,-
33,Additional Paid-In Capital,-,945.2,955.65,954.02,952.55,950.02,950.02,947.02,947.02,944.03,944.03,-,172.29,-,-,-
34,Retained Earnings,-,367.93,419.37,450.15,465.16,474.74,461.62,460.28,438.79,438.24,405.02,-,348.41,-,-,-
35,Treasury Stock,-,-62.13,-32.16,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-,0.02,-0.1,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Total Common Equity,1402,1402,1494,1555,1569,1576,1563,1558,1537,1533,1500,633.96,633.96,-,-,517.95
38,Minority Interest,-,-7.98,-8.65,-6.02,-4.16,-1.72,-1.88,-2.84,-2.74,-1.6,-0.84,-,-0.34,-,-,-
39,Shareholders' Equity,1394,1394,1485,1549,1565,1574,1561,1555,1534,1532,1499,633.62,633.62,-,-,518.51
40,Total Liabilities & Equity,-,2131,2087,2084,2156,2235,2230,2207,2121,2069,1976,-,972.24,-,-,-
41,Total Debt,322.66,322.66,266.74,220.4,175.82,203.45,205.04,157.13,69.78,3.9,2.96,24.49,24.49,-,-,7.46
42,Net Cash (Debt),-207.72,-207.72,-154.61,-96.04,17.1,65.19,129.08,175.02,346.24,487.69,648.6,61.78,61.78,-,-,81.56
43,Net Cash Growth,-,-,-,-,-95.06%,-86.63%,-80.10%,183.31%,460.48%,-,-,-24.25%,-,-,-,-
44,Net Cash Per Share,-1.46,-1.39,-0.98,-0.64,0.11,0.44,0.86,1.14,2.25,3.24,4.80,0.53,0.55,-,-,0.72
45,Filing Date Shares Outstanding,142.55,149.11,157.22,150.98,151.01,151.01,151.01,151.01,151.01,151.01,151.01,116.57,113.25,112.47,113.97,113.97
46,Total Common Shares Outstanding,142.55,149.11,157.22,151.01,151.01,151.01,151.01,151.01,151.01,151.01,151.01,116.57,113.25,112.47,113.97,113.97
