,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,898,1098,4021,4573,7878,-,-,-
1,Market Cap Growth,-75.99%,-75.99%,-48.96%,-,-,-,-,-
2,Enterprise Value,786,720,3476,3889,19263,-,-,-
3,Last Close Price,1.39,1.87,6.85,7.79,13.42,-,-,-
4,Forward PE,-,11.01,130.90,-,-,-,-,-
5,PS Ratio,0.18,0.25,0.99,1.24,2.33,-,-,-
6,PB Ratio,0.43,0.59,2.07,2.35,3.70,-,-,-
7,P/TBV Ratio,0.71,0.71,2.45,3.01,4.85,-,-,-
8,EV/Sales Ratio,0.18,0.17,0.85,1.06,5.70,-,-,-
9,Debt / Equity Ratio,0.35,0.35,0.27,0.16,0.12,-1.19,-1.26,-
10,Earnings Yield,-33.87%,-27.69%,-8.85%,-14.51%,-24.24%,-,-,-
11,FCF Yield,-48.16%,-39.38%,-7.22%,-10.84%,-11.62%,-,-,-
12,Buyback Yield / Dilution,-8.99%,-7.64%,-10.43%,-416.43%,-393.29%,-11.77%,-,-
13,Total Shareholder Return,-8.99%,-7.64%,-10.43%,-416.43%,-393.29%,-11.77%,-,-
