,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,224.18,243.38,194.41,249.67,522.34,1091,-
1,Short-Term Investments,171.91,162.87,204.8,192.17,152.51,139.54,-
2,Trading Asset Securities,254.08,346.72,424.99,423.5,57.02,28,-
3,Cash & Short-Term Investments,650.17,752.96,824.2,865.34,731.87,1258,-
4,Cash Growth,-21.12%,-12.99%,12.62%,-31.22%,-,-,-
5,Accounts Receivable,845.87,814.75,789.92,758.53,831.72,497.27,-
6,Other Receivables,49.53,62.46,26.95,30.05,72.46,57.61,-
7,Receivables,895.4,877.21,816.87,788.58,904.19,554.88,-
8,Inventory,738.72,560.32,504.59,455.5,298.68,275.6,-
9,Restricted Cash,43.33,23.7,-,74.37,43.98,134.92,-
10,Other Current Assets,87.44,89.12,61.6,64.67,112.76,58.22,-
11,Total Current Assets,2415,2303,2207,2248,2091,2282,-
12,"Property, Plant & Equipment",230.04,207.96,133.43,137.38,56.5,36.21,-
13,Long-Term Investments,40,40,-,-,-,-,-
14,Goodwill,86.62,86.47,86.47,85.98,50.79,25.63,-
15,Other Intangible Assets,248.45,250.53,288.52,327.29,181.91,164.58,-
16,Other Long-Term Assets,37.71,56.8,88.22,35.32,-,-,-
17,Total Assets,3058,2945,2804,2834,2381,2508,-
18,Accounts Payable,212.48,233.25,246.86,120.8,145.16,67.76,-
19,Accrued Expenses,251.28,244.47,232.95,346.27,270.67,355.09,-
20,Short-Term Debt,0.05,221.07,1.25,197.83,59.25,115.38,-
21,Current Portion of Long-Term Debt,550.47,201.59,254.11,-,10379,8908,-
22,Current Portion of Leases,9.25,13.68,11.81,11.23,6.83,4.12,-
23,Current Income Taxes Payable,-,-,-,-,27.75,-,-
24,Current Unearned Revenue,84.17,71.41,81.57,99.58,80.39,93.59,-
25,Other Current Liabilities,140.48,116,96.65,108.31,161.39,100.46,-
26,Total Current Liabilities,1248,1101,925.2,884.02,11130,9644,-
27,Long-Term Debt,23.57,15,15,-,-,-,-
28,Long-Term Leases,18.81,18.35,12.85,19.61,13.77,4.8,-
29,Long-Term Deferred Tax Liabilities,42.61,44.94,46.17,49.43,19.31,14.36,-
30,Total Liabilities,1333,1180,999.22,953.05,11163,9663,-
31,Common Stock,0.39,0.39,0.39,0.39,0.11,0.11,-
32,Retained Earnings,-10031,-9915,-9748,-9592,-9134,-7903,-
33,Treasury Stock,-19.42,-14.16,-47.59,-40.33,-0.05,-0.05,-
34,Comprehensive Income & Other,11830,11754,11576,11481,358.53,764.96,-
35,Total Common Equity,1780,1825,1780,1849,-8775,-7138,-
36,Minority Interest,-55.45,-60.02,24.27,32.03,-7.22,-17.18,-
37,Shareholders' Equity,1725,1765,1805,1881,-8782,-7155,-
38,Total Liabilities & Equity,3058,2945,2804,2834,2381,2508,-
39,Total Debt,602.14,469.69,295.02,228.67,10458,9032,-
40,Net Cash (Debt),48.03,283.27,529.18,636.67,-9727,-7774,-
41,Net Cash Growth,-90.92%,-55.51%,-,-,-,-,-
42,Net Cash Per Share,0.08,0.52,0.99,1.28,-94.38,-77.08,-
43,Filing Date Shares Outstanding,587.04,587.04,587.04,587.04,587.04,96.76,92.21
44,Total Common Shares Outstanding,587.04,587.04,587.04,587.04,587.04,96.76,92.21
45,Working Capital,1167,1202,1282,1364,-9039,-7362,-
46,Book Value Per Share,3.03,3.11,3.03,3.15,-14.95,-73.77,-
47,Tangible Book Value,1445,1488,1405,1436,-9008,-7328,-
48,Tangible Book Value Per Share,2.46,2.54,2.39,2.45,-15.34,-75.74,-
49,Machinery,-,184.66,-,100.31,-,29.06,-
50,Construction In Progress,-,1.12,-,-,-,1.02,-
51,Leasehold Improvements,-,22.17,-,14.22,-,7.01,-
