,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Total Interest Expense,0.52,0.46,1.48,0.2,0.22,0.65,0.04,0.24,0.18,0.18,Upgrade
1,Net Interest Income,-0.52,-0.46,-1.48,-0.2,-0.22,-0.65,-0.04,-0.24,-0.18,-0.18,Upgrade
2,Other Revenue,42.4,35.08,29.91,56.61,33.05,45.01,16.11,59.07,20.96,71.3,Upgrade
3,Revenue Before Loan Losses,41.88,34.62,28.44,56.42,32.83,44.36,16.07,58.82,20.77,71.11,Upgrade
4,Provision for Loan Losses,-,3.27,-,-11.08,-,-21.47,-,17.09,-,-,Upgrade
5,Revenue,41.88,31.35,28.44,67.5,32.83,65.82,16.07,41.74,20.77,71.11,Upgrade
6,Revenue Growth (YoY),47.28%,-53.55%,-13.40%,2.54%,104.33%,57.71%,-22.64%,-41.31%,-71.99%,23.04%,Upgrade
7,Cost of Services Provided,41.52,41.64,42.32,23.12,26.67,21.14,34.57,16.42,19.97,25.75,Upgrade
8,Other Operating Expenses,-,-,-,-,-,-,-,-0.12,0.12,921.73,Upgrade
9,Total Operating Expenses,41.52,41.66,42.32,23.13,26.67,21.15,34.57,21.85,20.09,947.48,Upgrade
10,Operating Income,0.36,-10.31,-13.89,44.37,6.16,44.68,-18.5,19.89,0.69,-876.36,Upgrade
11,Earnings From Equity Investments,-,-0.08,-,-1.45,-0.18,4.1,-3.2,-1.4,0.25,1.04,Upgrade
12,Currency Exchange Gain (Loss),-,0.08,0.12,-0.37,-,0.01,-,-,-,-,Upgrade
13,EBT Excluding Unusual Items,0.75,-1.64,5.31,3.69,6.15,32.81,-20.85,-31.63,16.74,-874.35,Upgrade
14,Gain (Loss) on Sale of Investments,-,-,-,-0.2,-,-,-,-,-,0.31,Upgrade
15,Other Unusual Items,-,-,-,-,-,-,-,-,-,12.01,Upgrade
16,Pretax Income,0.75,-0.57,5.31,3.17,6.15,27.81,-20.85,-25.92,16.74,-862.28,Upgrade
17,Income Tax Expense,1.67,-1.15,3.37,8.91,-0.29,0.76,-,0.82,0.7,2.06,Upgrade
18,Earnings From Continuing Ops.,-0.92,0.59,1.94,-5.74,6.44,27.05,-20.85,-26.74,16.04,-864.33,Upgrade
19,Minority Interest in Earnings,-0.1,-0.05,-0.16,-1.44,-0.16,-0.2,0.05,-0.55,-0.24,0.84,Upgrade
20,Net Income,-1.02,0.53,1.78,-7.18,6.27,26.86,-20.8,-27.28,15.8,-863.5,Upgrade
21,Net Income to Common,-1.02,0.53,1.78,-7.18,6.27,26.86,-20.8,-27.28,15.8,-863.5,Upgrade
22,Net Income Growth,-,-,-71.59%,-,-,-,-,-,-58.23%,-,Upgrade
23,Shares Outstanding (Basic),468,455,455,464,387,387,387,387,387,387,Upgrade
24,Shares Outstanding (Diluted),468,1547,1547,1556,1478,2569,387,387,1478,387,Upgrade
25,Shares Change (YoY),-69.74%,-0.58%,4.63%,-39.46%,281.96%,563.91%,-73.82%,-,-,-,Upgrade
26,EPS (Basic),-0.00,0.00,0.00,-0.02,0.02,0.07,-0.05,-0.07,0.04,-2.23,Upgrade
27,EPS (Diluted),-0.00,0.00,0.00,-0.02,0.00,0.01,-0.05,-0.07,0.01,-2.23,Upgrade
28,EPS Growth,-,-,-75.00%,-,-,-,-,-,-57.69%,-,Upgrade
29,Free Cash Flow,-0.02,31.58,-15.85,13.82,-2.89,-29.25,-12.85,-110.46,-89.59,-3.7,Upgrade
30,Free Cash Flow Per Share,-0.00,0.02,-0.01,0.01,-0.00,-0.01,-0.03,-0.29,-0.06,-0.01,Upgrade
31,Operating Margin,0.85%,-32.90%,-48.83%,65.74%,18.77%,67.87%,-115.13%,47.64%,3.30%,-1232.33%,Upgrade
32,Profit Margin,-2.44%,1.69%,6.27%,-10.63%,19.11%,40.80%,-129.45%,-65.37%,76.05%,-1214.24%,Upgrade
33,Free Cash Flow Margin,-0.04%,100.73%,-55.74%,20.47%,-8.79%,-44.44%,-79.95%,-264.66%,-431.30%,-5.21%,Upgrade
