,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,null null,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+6 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+6 Quarters
0,Revenue,2.46,2.46,3.61,2.86,2.74,1.81,3.61,2.28,2.24,2.09,3.2,1.74,1.78,2.13,4.14,2.11,1.44,1.64,4.39,2.57,Upgrade
1,Revenue Growth (YoY),-10.45%,35.66%,-0.19%,25.53%,22.47%,-13.36%,13.05%,31.19%,25.57%,-1.88%,-22.71%,-17.55%,23.99%,29.66%,-5.83%,-18.04%,-59.63%,-32.54%,40.85%,-17.50%,Upgrade
2,Cost of Revenue,2.07,2.07,2.36,2.09,2.05,2.07,2.32,2.1,2.09,2.23,2.58,1.78,1.89,1.83,2.66,1.85,2.04,2.08,1.76,1.64,Upgrade
3,Gross Profit,0.39,0.39,1.25,0.77,0.69,-0.26,1.29,0.18,0.15,-0.14,0.62,-0.04,-0.11,0.3,1.48,0.26,-0.61,-0.43,2.63,0.93,Upgrade
4,"Selling, General & Admin",0.73,0.73,1.19,0.51,0.87,0.75,1.36,0.53,0.6,0.69,1.67,0.71,0.65,0.61,2.31,0.75,0.77,1.05,1.66,0.52,Upgrade
5,Research & Development,0.06,0.06,-0.38,0.23,0.09,0.06,-0.34,0.09,0.18,0.07,-0.19,0.07,0.07,0.06,-0.41,0.14,0.27,-,-0.16,0.05,Upgrade
6,Other Operating Expenses,-,-,-,-,-,-,-,-,0,-0,-,-,-,-,-,-,-,-,-,-,Upgrade
7,Operating Expenses,0.85,0.85,0.55,0.79,1.01,0.84,1.37,0.62,0.74,0.82,1.61,0.82,0.77,0.72,1.71,0.98,1.2,1.05,1.3,0.63,Upgrade
8,Operating Income,-0.46,-0.46,0.7,-0.02,-0.32,-1.1,-0.09,-0.44,-0.6,-0.96,-0.99,-0.87,-0.88,-0.43,-0.23,-0.72,-1.81,-1.48,1.33,0.3,Upgrade
9,Interest Expense,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.02,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02,-0.01,Upgrade
10,Interest & Investment Income,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,Upgrade
11,Earnings From Equity Investments,-,-,-,-,-,-,-0.1,0.07,-,0.03,0.01,-0.12,-,-,-,-,-,-,-,-,Upgrade
12,Currency Exchange Gain (Loss),-0,-0,-0,-,0,-0,-0.01,-0,0.02,-0,-0.01,0.01,-0.01,0.02,-0.06,-0.04,0.15,-0,0.02,0,Upgrade
13,Other Non Operating Income (Expenses),0.05,0.05,0.11,-0.04,0.12,0.05,0.26,-0.04,0.13,0.03,-0.28,0.16,0.17,0.33,0.03,0.05,0.05,0.05,-1.26,0.01,Upgrade
14,EBT Excluding Unusual Items,-0.43,-0.43,0.8,-0.07,-0.22,-1.07,0.05,-0.43,-0.45,-0.91,-1.29,-0.82,-0.72,-0.08,-0.26,-0.72,-1.61,-1.43,0.07,0.3,Upgrade
15,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-0.02,-,-,-,-7.9,-,-,-,-,-,-,-,-,-,Upgrade
16,Gain (Loss) on Sale of Assets,-,-,-0.06,-,0.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Asset Writedown,-,-,-,-,-,-,-,-,-,-,-0.33,-,-,-,-,-,-,-,-,-,Upgrade
18,Other Unusual Items,-,-,-0.08,0.08,-0.05,0.05,-0.12,0.12,-0.1,0.1,0.36,-,-,-,-0.08,0.24,0.57,-,-,-0.01,Upgrade
19,Pretax Income,-0.43,-0.43,0.67,0,0.23,-1.02,-0.1,-0.3,-0.55,-0.82,-9.16,-0.82,-0.72,-0.08,-0.34,-0.48,-1.04,-1.43,0.07,0.3,Upgrade
20,Income Tax Expense,-,-,-,-,-,-,-0.03,-,-,-,-,-,-0.03,0.03,0.03,-,-,0.01,0.27,0.06,Upgrade
21,Net Income,-0.43,-0.43,0.67,0,0.23,-1.02,-0.07,-0.3,-0.55,-0.82,-9.16,-0.82,-0.69,-0.11,-0.37,-0.48,-1.04,-1.44,-0.2,0.24,Upgrade
22,Net Income to Common,-0.43,-0.43,0.67,0,0.23,-1.02,-0.07,-0.3,-0.55,-0.82,-9.16,-0.82,-0.69,-0.11,-0.37,-0.48,-1.04,-1.44,-0.2,0.24,Upgrade
23,Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-32.57%,Upgrade
24,Shares Outstanding (Basic),720,720,720,720,720,720,720,847,593,720,466,960,600,600,600,600,750,450,503,450,Upgrade
25,Shares Outstanding (Diluted),720,720,720,720,720,720,720,847,593,720,466,960,600,600,600,600,750,450,503,450,Upgrade
26,Shares Change (YoY),-,-,-,-14.98%,21.40%,-,54.44%,-11.78%,-1.15%,20.00%,-22.30%,60.00%,-20.00%,33.33%,19.38%,33.33%,66.67%,-,11.69%,-,Upgrade
27,EPS (Basic),-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.02,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,Upgrade
28,EPS (Diluted),-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.02,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,Upgrade
29,Free Cash Flow,-0.49,-0.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
30,Free Cash Flow Per Share,-0.00,-0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
31,Gross Margin,15.82%,15.82%,34.69%,26.97%,25.24%,-14.59%,35.68%,7.98%,6.57%,-6.70%,19.37%,-2.47%,-6.23%,13.95%,35.72%,12.24%,-42.14%,-26.37%,59.87%,36.16%,Upgrade
32,Operating Margin,-18.90%,-18.90%,19.44%,-0.70%,-11.52%,-60.88%,-2.35%,-19.34%,-26.57%,-46.10%,-31.04%,-49.83%,-49.19%,-20.06%,-5.51%,-34.20%,-125.80%,-90.13%,30.22%,11.59%,Upgrade
33,Profit Margin,-17.65%,-17.65%,18.52%,0.07%,8.35%,-56.52%,-1.85%,-13.25%,-24.34%,-39.06%,-286.67%,-46.89%,-38.70%,-4.98%,-8.88%,-22.77%,-72.39%,-87.76%,-4.60%,9.21%,Upgrade
34,Free Cash Flow Margin,-19.93%,-19.93%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
35,EBITDA,-0.45,-0.45,0.71,-0.01,-0.3,-1.09,-0.07,-0.42,-0.57,-0.94,-0.97,-0.83,-0.84,-0.39,-0.19,-0.68,-1.73,-1.43,1.37,0.34,Upgrade
36,EBITDA Margin,-18.39%,-18.39%,19.79%,-0.24%,-11.07%,-60.17%,-1.99%,-18.22%,-25.64%,-44.88%,-30.24%,-47.90%,-47.17%,-18.48%,-4.70%,-32.04%,-119.99%,-87.36%,31.26%,13.22%,Upgrade
37,D&A For EBITDA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.03,0.03,0.03,0.04,0.03,0.03,0.05,0.08,0.05,0.05,0.04,Upgrade
38,EBIT,-0.46,-0.46,0.7,-0.02,-0.32,-1.1,-0.09,-0.44,-0.6,-0.96,-0.99,-0.87,-0.88,-0.43,-0.23,-0.72,-1.81,-1.48,1.33,0.3,Upgrade
39,EBIT Margin,-18.90%,-18.90%,19.44%,-0.70%,-11.52%,-60.88%,-2.35%,-19.34%,-26.57%,-46.10%,-31.04%,-49.83%,-49.19%,-20.06%,-5.51%,-34.20%,-125.80%,-90.13%,30.22%,11.59%,Upgrade
40,Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,401.49%,20.74%,Upgrade
