,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q4 2023,null null,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+6 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+6 Quarters
0,Market Capitalization,29,32,27,28,28,59,24,28,30,41,49,63,102,174,81,90,444,186,198,216,-,Upgrade
1,Market Cap Growth,-46.34%,-46.34%,11.76%,0%,-4.88%,43.86%,-50.00%,-55.68%,-70.92%,-76.41%,-39.56%,-29.60%,-77.14%,-6.45%,-59.09%,-58.33%,-,-,-,-,-,Upgrade
2,Enterprise Value,32,28,24,26,26,54,19,20,21,26,34,45,83,153,60,66,420,152,162,222,-,Upgrade
3,Last Close Price,0.04,0.04,0.04,0.04,0.04,0.08,0.03,0.04,0.04,0.06,0.07,0.09,0.14,0.29,0.14,0.15,0.74,0.31,0.33,0.36,-,Upgrade
4,PE Ratio,-,-,-,-38.26,-5.70,-8.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
5,PS Ratio,0.44,0.48,0.40,0.43,0.44,0.98,0.42,0.47,0.55,0.79,0.96,1.24,1.81,2.97,1.43,1.65,8.16,3.33,2.99,2.88,-,Upgrade
6,PB Ratio,1.75,1.93,1.65,1.28,1.58,3.29,1.07,1.24,-,1.70,1.50,1.94,-,3.98,-,1.84,-,3.61,3.12,3.20,-,Upgrade
7,P/TBV Ratio,1.93,1.93,1.65,1.28,1.58,3.29,1.07,1.24,-,1.70,1.50,1.94,-,3.98,-,1.84,-,3.61,3.12,3.20,-,Upgrade
8,EV/Sales Ratio,0.49,0.43,0.36,0.40,0.42,0.88,0.32,0.34,0.39,0.49,0.66,0.87,1.47,2.61,1.05,1.20,7.73,2.73,2.45,2.96,-,Upgrade
9,EV/EBITDA Ratio,-,-,-,-6.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.38,-,Upgrade
10,EV/EBIT Ratio,-,-,-,-6.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.08,-,Upgrade
11,Debt / Equity Ratio,0.55,0.55,0.55,0.33,0.45,0.45,0.32,0.32,-,0.27,0.22,0.22,-,0.15,-,0.14,-,0.13,0.11,0.11,-,Upgrade
12,Debt / EBITDA Ratio,-,-,-,0.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.23,-,Upgrade
13,Asset Turnover,1.85,1.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
14,Quick Ratio,2.06,2.06,2.06,3.04,-,2.59,-,2.73,-,3.60,-,3.76,-,5.76,-,4.63,-,3.96,-,5.13,-,Upgrade
15,Current Ratio,2.18,2.18,2.18,3.13,-,2.87,-,2.87,-,3.79,-,3.84,-,5.94,-,4.75,-,4.47,-,5.35,-,Upgrade
16,Return on Equity (ROE),-60.84%,-52.78%,78.37%,0.26%,26.22%,-105.22%,-,-,-43.88%,-57.77%,-,-,-,-,-,-,-39.82%,-49.49%,-,-,Upgrade,
17,Return on Assets (ROA),-21.89%,-20.73%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
18,Return on Capital (ROIC),-26.18%,-24.69%,37.09%,-1.12%,-16.46%,-53.84%,-,-,-24.13%,-34.98%,-,-,-,-,-,-,-38.76%,-28.72%,-,-,Upgrade,
19,Return on Capital Employed (ROCE),-,-,-,-16.50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.48%,-,Upgrade
20,Earnings Yield,-3.94%,-3.58%,9.88%,-2.61%,-17.54%,-11.41%,-46.71%,-35.83%,-200.61%,-155.84%,-135.67%,-98.34%,-11.18%,-5.45%,-14.23%,-21.70%,-4.05%,-7.31%,-5.48%,-2.22%,-,Upgrade
21,FCF Yield,-14.24%,-17.80%,-10.39%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
22,Buyback Yield / Dilution,4.22%,-,-,-,14.98%,-21.40%,-,-54.44%,11.78%,1.15%,-20.00%,22.30%,-60.00%,20.00%,-33.33%,-19.38%,-33.33%,-66.67%,-,-11.69%,-,Upgrade
23,Total Shareholder Return,4.22%,-,-,-,14.98%,-21.40%,-,-54.44%,11.78%,1.15%,-20.00%,22.30%,-60.00%,20.00%,-33.33%,-19.38%,-33.33%,-66.67%,-,-11.69%,-,Upgrade
