,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,232.57,260.31,152.41,153.06,140.86,266.37,134.28,135.65,113.31,151.69,153.34,85.7
1,Other Revenue,-,-8.36,8.36,-,24.13,-7.38,7.38,-,17.08,-5.61,5.61,-
2,Revenue,232.57,251.95,160.77,153.06,165,258.99,141.67,135.65,130.39,146.08,158.95,85.7
3,Revenue Growth (YoY),40.96%,-2.71%,13.49%,12.84%,26.54%,77.29%,-10.87%,58.28%,-,-,-,-
4,Cost of Revenue,-273.76,119.49,79.69,74.59,95.95,124.59,68.98,76.95,68.52,77.97,124.85,-
5,Gross Profit,506.33,132.47,81.09,78.47,69.05,134.39,72.69,58.69,61.87,68.12,34.09,85.7
6,"Selling, General & Admin",-72.78,29.03,23.72,20.03,34.81,25.42,22.9,19.1,26.86,22.8,39.83,-
7,Research & Development,-56.38,20.88,17.21,18.3,16.27,27.49,10.35,9.09,8.47,16.23,25.09,-
8,Other Operating Expenses,519.68,-7.41,6.58,-1.21,19.33,-2.73,-2.43,-3.46,19.82,-2.77,-80.01,73.39
9,Operating Expenses,391.21,39.92,49.38,37.11,70.51,48.78,31.15,24.76,53.82,36.36,-13.97,73.39
10,Operating Income,115.12,92.54,31.7,41.36,-1.47,85.61,41.54,33.94,8.05,31.76,48.07,12.31
11,Interest Expense,-37.92,-0.12,-0.23,-0.05,-0.52,-0.06,-0.06,-0.06,-0.54,-0.18,-0.15,-
12,Interest & Investment Income,0.4,11.12,13.41,13.39,15.7,10.84,7.92,7.05,6.99,6.26,9.55,-
13,Currency Exchange Gain (Loss),-,-,-,-,-0,-,-,-,0,-0,0,-
14,Other Non Operating Income (Expenses),0.17,1.03,-0.07,-0.1,-0.2,-0.21,0.04,0.06,6.99,-6.99,-0.52,-0.02
15,EBT Excluding Unusual Items,77.77,104.58,44.81,54.59,13.5,96.18,49.44,40.98,21.49,30.84,56.95,12.29
16,Impairment of Goodwill,-,0.46,-0.46,-,-0.69,0.33,-0.33,-,-1.14,0.6,-0.6,-
17,Gain (Loss) on Sale of Investments,-4.67,1.42,3.26,-,-,-,0.4,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,-0.18,0.27,-0.11,0.02,-0.07,-,-,-,-0.01,0.24,-0.14,-
19,Asset Writedown,-1.64,1.64,-0.06,0.06,0.38,-0.38,-,-,0.46,-0.46,-,-
20,Other Unusual Items,-,-10.54,10.52,0.02,29.05,-1.23,1.23,-,20.32,8.24,-8.24,-
21,Pretax Income,71.27,97.82,57.96,54.7,42.18,94.9,50.75,40.98,41.11,39.46,47.97,12.29
22,Income Tax Expense,19.39,20.45,5.13,8.1,3.86,10.94,4.52,6.15,-3.7,5.81,5.92,2.45
23,Earnings From Continuing Operations,51.88,77.37,52.83,46.6,38.32,83.96,46.23,34.83,44.81,33.65,42.05,9.84
24,Minority Interest in Earnings,13.93,-13.93,-,-,-,-18.43,-,-,-,-,-,-
25,Net Income,65.82,63.43,52.83,46.6,38.32,65.52,46.23,34.83,44.81,33.65,42.05,9.84
26,Net Income to Common,65.82,63.43,52.83,46.6,38.32,65.52,46.23,34.83,44.81,33.65,42.05,9.84
27,Net Income Growth,71.76%,-3.19%,14.27%,33.79%,-14.48%,94.71%,9.93%,253.85%,-,-,-,-
28,Shares Outstanding (Basic),308,317,325,317,316,308,239,237,237,241,236,-
29,Shares Outstanding (Diluted),308,317,325,317,316,308,239,237,237,241,236,-
30,Shares Change (YoY),-2.45%,2.63%,35.71%,33.34%,33.45%,27.92%,1.49%,-,-,-,-,-
31,EPS (Basic),0.21,0.20,0.16,0.15,0.12,0.21,0.19,0.15,0.19,0.14,0.18,-
32,EPS (Diluted),0.21,0.20,0.16,0.15,0.12,0.21,0.19,0.15,0.19,0.14,0.18,-
33,EPS Growth,76.08%,-5.66%,-15.80%,0.34%,-35.92%,52.21%,8.32%,-,-,-,-,-
34,Free Cash Flow,-,76.06,95.66,78.78,37.96,79.98,39.75,72.24,-25.5,46.51,-,-
35,Free Cash Flow Per Share,-,0.24,0.29,0.25,0.12,0.26,0.17,0.30,-0.11,0.19,-,-
36,Dividend Per Share,-,-,0.158,-,0.257,-,-,-,-,-,-,-
37,Gross Margin,217.71%,52.58%,50.44%,51.27%,41.85%,51.89%,51.31%,43.27%,47.45%,46.63%,21.45%,100.00%
38,Operating Margin,49.50%,36.73%,19.72%,27.02%,-0.89%,33.06%,29.32%,25.02%,6.17%,21.74%,30.24%,14.37%
39,Profit Margin,28.30%,25.18%,32.86%,30.44%,23.22%,25.30%,32.63%,25.67%,34.37%,23.04%,26.46%,11.48%
40,Free Cash Flow Margin,-,30.19%,59.50%,51.47%,23.01%,30.88%,28.06%,53.26%,-19.56%,31.84%,-,-
41,EBITDA,141.57,119,57.18,67.81,24.99,114.82,68.89,63.15,37.26,58.59,77.65,39.15
42,EBITDA Margin,60.87%,47.23%,35.56%,44.31%,15.14%,44.33%,48.63%,46.55%,28.57%,40.11%,48.85%,45.68%
43,D&A For EBITDA,26.46,26.46,25.47,26.46,26.46,29.21,27.35,29.21,29.21,26.83,29.58,26.83
44,EBIT,115.12,92.54,31.7,41.36,-1.47,85.61,41.54,33.94,8.05,31.76,48.07,12.31
45,EBIT Margin,49.50%,36.73%,19.72%,27.02%,-0.89%,33.06%,29.32%,25.02%,6.17%,21.74%,30.24%,14.37%
46,Effective Tax Rate,27.21%,20.91%,8.85%,14.81%,9.15%,11.53%,8.90%,15.01%,-,14.72%,12.33%,19.95%
47,Revenue as Reported,-,251.95,160.77,153.06,165,258.99,141.67,135.65,130.39,146.08,244.65,-
