,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,5632,5170,5591,5097,4685,5486,5423,5686,-,-,-,-,-
1,Market Cap Growth,-5.77%,-5.77%,3.09%,-10.36%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4568,4106,4144,3745,3645,4446,4210,5430,-,-,-,-,-
3,Last Close Price,17.79,16.23,17.39,15.85,14.34,16.79,16.59,17.40,-,-,-,-,-
4,PE Ratio,24.63,22.61,27.79,25.08,23.82,29.67,28.34,35.64,-,-,-,-,-
5,PS Ratio,7.05,6.48,7.65,6.91,6.52,7.82,8.13,10.27,-,-,-,-,-
6,PB Ratio,2.02,1.76,1.91,1.68,1.53,1.82,1.82,1.94,-,-,-,-,-
7,P/TBV Ratio,1.95,1.95,2.11,1.75,1.60,1.90,1.90,2.03,-,-,-,-,-
8,P/FCF Ratio,-,-,19.38,17.43,19.81,23.86,32.58,42.75,-,-,-,-,-
9,P/OCF Ratio,-,-,14.54,13.37,14.64,17.89,20.61,24.79,-,-,-,-,-
10,EV/Sales Ratio,5.72,5.14,5.67,5.08,5.07,6.34,6.32,9.81,-,-,-,-,-
11,EV/EBITDA Ratio,11.82,10.65,15.41,14.14,13.18,16.36,14.82,23.83,-,-,-,-,-
12,EV/EBIT Ratio,16.27,14.63,25.25,23.83,21.82,-,24.89,47.10,-,-,-,-,-
13,EV/FCF Ratio,-,-,14.37,12.81,15.42,19.34,25.29,40.83,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,-,-,0.02
15,Debt / EBITDA Ratio,0.06,0.04,0.05,0.10,0.09,0.23,0.06,0.10,0.12,0.19,-,-,0.24
16,Debt / FCF Ratio,-,-,0.08,0.08,0.11,0.11,0.18,0.22,0.33,-,-,-,-
17,Asset Turnover,-,0.29,0.18,0.18,0.19,0.31,-,-,-,-,-,-,
18,Inventory Turnover,-,-,10.54,7.39,6.06,6.75,7.88,-,-,-,-,-,-
19,Quick Ratio,-,-,2.99,4.95,5.12,5.23,4.60,6.00,-,1.63,-,-,-
20,Current Ratio,-,-,3.15,5.12,5.34,5.49,4.92,6.42,-,2.13,-,-,-
21,Return on Equity (ROE),7.07%,10.38%,6.94%,6.14%,5.12%,11.37%,7.73%,7.53%,-,-,-,-,
22,Return on Assets (ROA),-,6.57%,2.27%,2.98%,-0.11%,6.39%,-,-,-,-,-,-,
23,Return on Capital (ROIC),9.74%,7.70%,2.58%,3.38%,-0.12%,7.17%,4.29%,4.51%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,5.35%,4.96%,5.21%,-,5.41%,3.73%,-,4.96%,-,-,-
25,Earnings Yield,4.06%,4.42%,3.60%,3.99%,4.20%,3.37%,3.53%,2.81%,-,-,-,-,-
26,FCF Yield,-,5.16%,5.74%,5.05%,4.19%,3.07%,2.34%,-,-,-,-,-,
27,Dividend Yield,1.77%,-,-,2.62%,-,1.53%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,0.08%,154.21%,-,0.17%,0.10%,128.27%,-,0.17%,-,-,-
29,Buyback Yield / Dilution,-25.30%,2.45%,-2.63%,-35.71%,-33.34%,-33.45%,-27.92%,-1.49%,-,-,-,-,-
30,Total Shareholder Return,-23.52%,2.45%,-2.63%,-33.10%,-33.34%,-31.92%,-27.92%,-1.49%,-,-,-,-,-
