,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,501.47,955.52,663.62,863.75,769.49,1242,-,286.27,-,-,-
1,Short-Term Investments,-,178.05,513.85,433.49,430.14,-,-,-,-,-,-,-
2,Trading Asset Securities,-,545,-,280,-,300,-,-,-,-,-,-
3,Cash & Short-Term Investments,1225,1225,1469,1377,1294,1069,1242,286.27,286.27,-,-,455.41
4,Cash Growth,-5.36%,14.50%,18.29%,381.05%,351.97%,-,-,-37.14%,-,-,-,-
5,Accounts Receivable,-,229.72,123.68,148.6,140.9,149.05,77.22,-,92.34,-,-,-
6,Other Receivables,-,0.98,0.77,1.17,0.5,1.57,0.82,-,6.66,-,-,-
7,Receivables,-,230.7,124.45,149.77,141.4,150.61,78.05,-,99.01,-,-,-
8,Inventory,-,48.84,41.86,44.39,54.02,59.77,66.7,-,79.22,-,-,-
9,Prepaid Expenses,-,-,8.5,-,11.08,-,6.51,-,16.57,-,-,-
10,Other Current Assets,-,28.57,3.22,18.75,5.37,24.75,19.91,-,21.83,-,-,-
11,Total Current Assets,-,1533,1647,1590,1506,1305,1413,-,502.9,-,-,-
12,"Property, Plant & Equipment",-,1081,835.6,819.65,840.41,825.29,845.12,-,883.99,-,-,-
13,Long-Term Investments,-,771.01,866.01,934.5,927.9,1109,895.17,-,720.7,-,-,-
14,Goodwill,-,23.23,23.26,23.72,23.72,23.91,24.08,-,24.4,-,-,-
15,Other Intangible Assets,-,126.89,100.69,100.91,102.75,100.14,100.91,-,104.17,-,-,-
16,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,0.02,-,-,-
17,Long-Term Deferred Tax Assets,-,3.49,2.45,2.67,2.67,1.46,1.49,-,1.81,-,-,-
18,Other Long-Term Assets,-,15.63,16.78,31.31,32.98,27.91,28.79,-,16.86,-,-,-
19,Total Assets,-,3554,3492,3503,3436,3392,3309,-,2255,-,-,-
20,Accounts Payable,-,212.79,48.52,42.59,38.51,54.45,43.85,-,44.53,-,-,-
21,Accrued Expenses,-,27.8,23.83,8.97,7.33,19.68,21.39,-,7.51,-,-,-
22,Current Portion of Long-Term Debt,-,7.6,3.8,7.44,3.8,7.01,3.8,-,3.8,-,-,-
23,Current Portion of Leases,-,-,3.73,-,3.64,-,3.21,-,3.13,-,-,-
24,Current Income Taxes Payable,-,26.39,12.41,12.53,6.55,9.81,0.61,-,-,-,-,-
25,Current Unearned Revenue,-,193.61,221.6,199.51,201.8,146.55,136.66,-,171.5,-,-,-
26,Other Current Liabilities,-,17.87,8.12,26.97,12.55,27.45,10.51,-,5.86,-,-,-
