,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,4126,3865,4005,5227,-,-,-
1,Enterprise Value,3426,2971,3090,5096,-,-,-
2,Last Close Price,40.99,38.39,39.33,51.34,-,-,-
3,PE Ratio,40.82,78.02,42.22,-,-,-,-
4,PS Ratio,6.15,7.69,6.48,8.31,-,-,-
5,PB Ratio,2.63,2.49,2.59,3.32,-,-,-
6,P/TBV Ratio,2.57,2.57,2.68,3.43,-,-,-
7,EV/Sales Ratio,5.48,5.91,5.00,8.10,-,-,-
8,EV/EBITDA Ratio,32.22,60.11,30.20,-,-,-,-
9,EV/EBIT Ratio,40.03,80.28,34.45,-,-,-,-
10,Debt / Equity Ratio,0.00,0.00,0.00,0.00,-,0.01,0.02
11,Debt / EBITDA Ratio,0.03,0.11,0.09,-,-,0.03,0.07
12,Debt / FCF Ratio,-,-,-,-,-,-0.12,-
13,Asset Turnover,0.26,0.31,-,-,-,-,
14,Inventory Turnover,-,1.22,1.55,-,-,-,-
15,Quick Ratio,9.14,9.14,5.18,5.96,-,2.01,-
16,Current Ratio,11.24,11.24,6.14,7.03,-,2.73,-
17,Return on Equity (ROE),1.90%,2.39%,-,-,36.69%,-,
18,Return on Assets (ROA),0.44%,1.25%,-,-,-,-,
19,Return on Capital (ROIC),0.50%,1.45%,-,-,24.09%,-,
20,Return on Capital Employed (ROCE),5.50%,2.38%,5.79%,-,-,14.98%,-
21,Earnings Yield,2.28%,1.28%,2.37%,2.20%,-,-,-
22,FCF Yield,-4.67%,-6.47%,-2.49%,-2.92%,-,-,-
23,Payout Ratio,42.79%,406.61%,-,-,0.01%,-,-
24,Buyback Yield / Dilution,-24.14%,-23.77%,-39.53%,-,-,-,-
25,Total Shareholder Return,-23.21%,-23.77%,-39.53%,-,-,-,-
