,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Other Revenue,-13.8,13.8,-,-2.15,2.15,-
1,Revenue,114.39,140.59,88.66,158.99,229.66,151.85
2,Revenue Growth (YoY),-50.19%,-7.42%,-,-,-,-
3,Cost of Revenue,76.48,92.88,52.78,92.14,127.53,79.79
4,Gross Profit,37.91,47.71,35.88,66.85,102.13,72.06
5,"Selling, General & Admin",17.6,16.92,21.31,17.11,20.55,16.01
6,Research & Development,20.85,21.5,21.88,19.42,22.29,16.31
7,Other Operating Expenses,-5.9,0.46,-0.17,-4.68,2.49,0.3
8,Operating Expenses,34.79,38.62,42.69,35.23,46.33,34.95
9,Operating Income,3.12,9.08,-6.82,31.62,55.79,37.12
10,Interest Expense,-0.09,-0.08,-0.04,-0.09,-0.1,-0.11
11,Interest & Investment Income,1.81,1.85,1.06,0.41,0.22,0.26
12,Currency Exchange Gain (Loss),-0.07,0.07,-,-0.02,0.02,-
13,Other Non Operating Income (Expenses),-0.06,-0.24,-0.14,0.75,-1.36,-0.15
14,EBT Excluding Unusual Items,4.71,10.69,-5.94,32.68,54.57,37.11
15,Gain (Loss) on Sale of Investments,1.37,1.82,0.75,0.28,0.2,0.17
16,Gain (Loss) on Sale of Assets,0.16,0,-,-0.22,-0,-0.15
17,Asset Writedown,0.01,-0.01,-,0.1,-0.1,-
18,Other Unusual Items,0.65,-0.66,-0.22,-2.59,2.59,-
19,Pretax Income,6.9,11.84,-5.4,30.25,57.26,37.14
20,Income Tax Expense,-0.45,2.53,-0.69,1.46,5.04,3.23
21,Earnings From Continuing Operations,7.35,9.32,-4.71,28.79,52.22,33.91
22,Minority Interest in Earnings,2.56,4.52,-,1.72,3.01,-
23,Net Income,9.9,13.83,-4.71,30.51,55.23,33.91
24,Net Income to Common,9.9,13.83,-4.71,30.51,55.23,33.91
25,Net Income Growth,-82.07%,-59.20%,-,-,-,-
26,Shares Outstanding (Basic),98,101,101,76,79,72
27,Shares Outstanding (Diluted),98,101,101,76,79,72
28,Shares Change (YoY),23.77%,39.53%,-,-,-,-
29,EPS (Basic),0.10,0.14,-0.05,0.40,0.70,0.47
30,EPS (Diluted),0.10,0.14,-0.05,0.40,0.70,0.47
31,EPS Growth,-85.51%,-70.76%,-,-,-,-
32,Free Cash Flow,-149.32,-20.27,-36.57,-43.88,0.83,-72.91
33,Free Cash Flow Per Share,-1.53,-0.20,-0.36,-0.58,0.01,-1.01
34,Gross Margin,33.14%,33.94%,40.47%,42.05%,44.47%,47.45%
35,Operating Margin,2.73%,6.46%,-7.69%,19.89%,24.29%,24.44%
36,Profit Margin,8.66%,9.84%,-5.32%,19.19%,24.05%,22.33%
37,Free Cash Flow Margin,-130.54%,-14.42%,-41.24%,-27.60%,0.36%,-48.01%
38,EBITDA,6.27,13.34,-3.67,33.48,59.16,38.98
39,EBITDA Margin,5.48%,9.49%,-4.14%,21.06%,25.76%,25.67%
40,D&A For EBITDA,3.15,4.26,3.15,1.86,3.37,1.86
41,EBIT,3.12,9.08,-6.82,31.62,55.79,37.12
42,EBIT Margin,2.73%,6.46%,-7.69%,19.89%,24.29%,24.44%
43,Effective Tax Rate,-,21.35%,-,4.82%,8.81%,8.69%
44,Revenue as Reported,114.39,140.59,88.66,158.99,229.66,151.85
