,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,142.74,292.67,367.23,-,103.62,-
1,Trading Asset Securities,544.42,592.9,541.47,-,30.98,-
2,Cash & Short-Term Investments,687.16,885.57,908.7,-,134.6,179.44
3,Cash Growth,410.52%,393.51%,-,-,-,-
4,Accounts Receivable,500.01,503.3,491.59,-,400.94,-
5,Other Receivables,17.51,31.4,29.83,-,29.89,-
6,Receivables,517.53,534.69,521.43,-,430.83,-
7,Inventory,248.52,251.06,229.57,-,187.09,-
8,Other Current Assets,28.45,12.74,28.89,-,12.96,-
9,Total Current Assets,1482,1684,1689,-,765.48,-
10,"Property, Plant & Equipment",115.66,48.6,41.63,-,42.73,-
11,Goodwill,34.68,33.77,33.77,-,37.95,-
12,Other Intangible Assets,28.3,29.92,32.03,-,24.31,-
13,Long-Term Deferred Tax Assets,16.29,13.77,14.21,-,15.61,-
14,Long-Term Deferred Charges,8.99,7.94,8.1,-,9.81,-
15,Other Long-Term Assets,2.94,5.84,1.2,-,5.18,-
16,Total Assets,1689,1824,1820,-,901.07,-
17,Accounts Payable,69.2,147.05,151.82,-,147.4,-
18,Accrued Expenses,7.95,37.69,8.31,-,65.3,-
19,Current Portion of Leases,1.84,3.82,3.92,-,4.22,-
20,Current Income Taxes Payable,3.29,1.07,0.21,-,6.57,-
21,Current Unearned Revenue,0.95,0.25,0.28,-,1.39,-
22,Other Current Liabilities,48.57,84.54,75.62,-,55.81,-
23,Total Current Liabilities,131.8,274.42,240.15,-,280.69,-
24,Long-Term Leases,0.97,1.84,1.25,-,4.3,-
25,Long-Term Unearned Revenue,0.19,0.21,0.24,-,0.31,-
26,Long-Term Deferred Tax Liabilities,1.87,1.92,1.67,-,2.48,-
27,Total Liabilities,134.83,278.39,243.31,-,287.78,-
28,Common Stock,100.67,100.67,100.67,-,75.5,-
29,Additional Paid-In Capital,981.87,981.62,981.37,-,140.13,-
30,Retained Earnings,486.71,476.8,505.67,-,402.28,-
31,Total Common Equity,1569,1559,1588,-,617.91,527.02
32,Minority Interest,-15.55,-13.58,-11.49,-,-4.62,-
33,Shareholders' Equity,1554,1546,1576,-,613.29,525.41
34,Total Liabilities & Equity,1689,1824,1820,-,901.07,-
35,Total Debt,2.81,5.66,5.17,-,8.51,10.95
36,Net Cash (Debt),684.35,879.91,903.53,-,126.09,168.5
37,Net Cash Growth,442.76%,422.21%,-,-,-,-
38,Net Cash Per Share,7.00,8.74,8.98,-,1.60,2.34
39,Filing Date Shares Outstanding,100.67,100.67,100.67,76.1,75.5,72.15
40,Total Common Shares Outstanding,100.67,100.67,100.67,76.1,75.5,72.15
41,Working Capital,1350,1410,1448,-,484.79,-
42,Book Value Per Share,15.59,15.49,15.77,-,8.18,6.98
43,Tangible Book Value,1506,1495,1522,-,555.65,461.91
44,Tangible Book Value Per Share,14.96,14.85,15.12,-,7.36,6.12
45,Machinery,-,59.08,-,-,42.55,-
46,Construction In Progress,-,0.22,-,-,0.22,-
