,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,6028,5180,4943,4555,5215,7590,7589,8460,9207,7341,11075,-,-,-,-,-,-
1,Market Cap Growth,-31.76%,-31.76%,-34.86%,-46.17%,-43.36%,3.39%,-31.48%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5492,4644,4344,4023,4048,6423,6480,7245,7827,5960,11142,-,-,-,-,-,-
3,Last Close Price,42.77,36.75,34.98,32.22,36.40,52.98,52.97,59.06,63.93,50.97,76.89,-,-,-,-,-,-
4,PE Ratio,61.99,53.33,62.26,52.83,56.27,73.73,61.18,65.19,70.88,59.68,101.65,-,-,-,-,-,-
5,Forward PE,40.93,38.53,22.79,28.39,35.08,36.52,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,5.16,4.44,4.64,4.55,5.43,8.14,8.02,8.93,9.92,7.91,13.41,-,-,-,-,-,-
7,PB Ratio,2.66,2.27,2.17,2.02,2.30,3.32,3.35,3.83,4.14,3.34,5.12,-,-,-,-,-,-
8,P/TBV Ratio,2.44,2.44,2.32,2.17,2.47,3.57,3.59,4.03,4.35,3.51,5.40,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,153.77,-54.48,-,-42.89,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,18.60,36.08,-,112.82,-109.30,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,4.71,3.98,4.08,4.02,4.21,6.89,6.85,7.65,8.44,6.42,13.49,-,-,-,-,-,-
12,EV/EBITDA Ratio,41.50,33.90,43.32,37.25,35.94,53.58,50.87,53.21,55.20,42.21,84.91,-,-,-,-,-,-
13,EV/EBIT Ratio,52.72,44.58,64.38,52.52,46.82,67.54,62.30,63.72,64.91,49.30,99.63,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,135.83,-42.29,-,-36.63,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.05,0.05,0.05,0.06,0.09,0.06,0.03,0.04,0.04,0.04,0.07,0.21,0.13,0.13,-,0.01,0.01
16,Debt / EBITDA Ratio,0.92,0.52,0.93,1.26,2.56,1.27,0.45,0.64,0.84,0.78,0.77,0.87,0.70,0.98,-,0.12,0.12
17,Debt / FCF Ratio,-,-,-,4.80,-2.12,-,-0.42,-,-,-,-,-,-,-0.47,-,-,-
18,Asset Turnover,-,0.47,0.38,0.30,0.42,0.41,0.35,0.27,0.46,0.60,-,-,-,-,0.66,-,
19,Inventory Turnover,-,-,5.93,4.84,3.66,4.97,4.45,3.78,3.17,6.17,5.35,-,-,-,-,3.99,-
20,Quick Ratio,-,-,2.60,2.98,2.81,3.24,6.99,7.99,7.13,5.91,7.64,1.83,-,1.57,-,1.77,1.77
21,Current Ratio,-,-,3.09,3.42,3.29,3.72,7.82,8.96,7.97,6.42,8.33,2.71,-,2.46,-,2.43,2.43
22,Return on Equity (ROE),6.62%,4.65%,3.46%,2.35%,3.15%,5.81%,4.74%,4.27%,7.17%,10.90%,17.47%,11.64%,-,-,8.82%,-,
23,Return on Assets (ROA),-,2.37%,1.34%,1.16%,1.34%,3.46%,2.45%,2.09%,2.28%,6.51%,-,-,-,-,4.85%,-,
24,Return on Capital (ROIC),5.30%,2.69%,1.50%,1.30%,1.50%,3.77%,2.66%,2.32%,2.52%,7.24%,10.93%,8.14%,-,-,6.30%,-,
25,Return on Capital Employed (ROCE),-,-,2.89%,3.31%,3.68%,4.02%,4.44%,5.02%,5.27%,5.33%,4.93%,13.38%,-,11.23%,-,4.81%,2.41%
26,Earnings Yield,1.61%,1.87%,1.61%,1.89%,1.78%,1.36%,1.63%,1.53%,1.41%,1.68%,0.98%,-,-,-,-,-,-
27,FCF Yield,-,-1.46%,0.65%,-1.84%,-2.67%,-2.33%,-3.37%,-2.71%,-2.94%,-0.92%,-,-,-,-,-,-,
28,Dividend Yield,0.57%,-,-,-,-,0.47%,-,-,-,0.59%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,6.16%,175.36%,5.57%,2.26%,15.20%,147.55%,3.67%,3.12%,3.94%,4.83%,2.28%,1.12%,0.45%,0.33%,0.33%
30,Buyback Yield / Dilution,1.56%,2.48%,-1.46%,2.53%,2.58%,0.17%,-30.89%,-38.80%,-31.89%,-36.08%,0.64%,-2.34%,-3.82%,-,-,-,-
31,Total Shareholder Return,2.13%,2.48%,-1.46%,2.53%,2.58%,0.64%,-30.89%,-38.80%,-31.89%,-35.50%,0.64%,-2.34%,-3.82%,-,-,-,-
