,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,476.03,588.66,632.24,376.39,943.11,1046,1122,688.22,1530,62.22,-,85.51,-,54.64,54.64
1,Short-Term Investments,-,-,85.06,-,22.04,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,196.66,83.11,117.7,332.3,314.59,140.12,179.47,713.43,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,672.69,672.69,756.83,749.94,730.72,1258,1186,1301,1402,1530,62.22,85.51,85.51,-,54.64,54.64
4,Cash Growth,-7.94%,-46.51%,-36.20%,-42.37%,-47.87%,-17.82%,1806.67%,1421.94%,1539.24%,-,13.87%,56.50%,-,-,-,-
5,Accounts Receivable,-,398.29,309.44,404.87,473.93,359.03,399.04,429.54,445.89,319.85,240.41,-,164.51,-,174.9,174.9
6,Other Receivables,-,13.48,23.54,15.4,21.07,20.43,20.97,11.46,27.02,1.53,13.09,-,9.72,-,15.14,15.14
7,Receivables,-,411.78,332.98,420.27,495,379.46,420.01,441,472.91,321.38,253.5,-,174.23,-,190.04,190.04
8,Inventory,-,159.28,153.34,162.29,171.78,157.69,165.34,164.75,146.19,132.46,125.47,-,133.44,-,80.09,80.09
9,Prepaid Expenses,-,-,0.01,-,0.04,-,-,-,0.04,-,0.16,-,0.11,-,0.34,0.34
10,Other Current Assets,-,42.8,10.01,37.09,8.91,37.04,30.63,41.6,15.6,34.21,25.69,-,14.55,-,10.2,10.2
11,Total Current Assets,-,1287,1253,1370,1406,1832,1802,1949,2036,2019,467.04,-,407.84,-,335.3,335.3
12,"Property, Plant & Equipment",-,791.8,744.02,697.53,664.74,556.25,489.98,424.18,406.05,358.34,317.22,-,298.76,-,254.63,254.63
13,Long-Term Investments,-,-,488.88,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Goodwill,-,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,-,7.1,-,7.1,7.1
15,Other Intangible Assets,-,132.62,133.67,133.56,134.6,131.41,106.07,103.97,104.78,105.26,105.95,-,95.59,-,96.44,96.44
16,Long-Term Deferred Tax Assets,-,21.97,22.37,21.4,21.46,17.68,14.59,12.62,13.31,7.77,6.75,-,7.07,-,5.97,5.97
17,Long-Term Deferred Charges,-,16.98,16.83,14.43,13.98,14.19,10.92,9.98,8.41,8.06,6.28,-,6.82,-,5.38,5.38
18,Other Long-Term Assets,-,498.65,17.32,519.98,492.36,16.56,37.12,24.55,7.65,5.01,5.31,-,1.1,-,6.5,6.5
19,Total Assets,-,2756,2683,2764,2741,2575,2468,2531,2584,2510,915.65,-,824.28,-,711.31,711.31
20,Accounts Payable,-,230.04,184.12,178.92,201.44,116.45,91.84,114.51,138.19,105.96,66.2,-,72.25,-,107.78,107.78
21,Accrued Expenses,-,8.97,20.11,7.79,32.84,7.44,15.66,7.41,46.81,6.29,17.63,-,27.47,-,9.9,9.9
22,Short-Term Debt,-,114.39,134.39,164.39,89.54,29.54,36.56,48.1,54.3,79.48,57.28,-,30,-,-,-
23,Current Portion of Long-Term Debt,-,3.21,-,15.09,13.57,17.92,15.83,12.21,7.91,-,-,-,-,-,-,-
