,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,382.72,321.54,259.34,203.14,277.59,259.18,217.24,174.32,289.57,258.98,198.9,175.01,190.57,158,116.79,116.79
1,Other Revenue,-,-0.49,0.49,-,3.65,-3.09,3.09,-,6.05,-1.92,1.92,-,2.19,-1.78,0.89,0.89
2,Revenue,382.72,321.05,259.83,203.14,281.24,256.09,220.33,174.32,295.62,257.06,200.83,175.01,192.76,156.22,117.68,117.68
3,Revenue Growth (YoY),36.09%,25.37%,17.93%,16.53%,-4.87%,-0.38%,9.71%,-0.39%,53.36%,64.55%,70.66%,48.72%,-,-,-,-
4,Cost of Revenue,-575.24,231.54,190.99,152.71,204.64,179.83,156.14,123.3,215.04,172.54,138.79,123.59,127.78,97.82,79.9,79.9
5,Gross Profit,957.96,89.51,68.84,50.44,76.6,76.25,64.19,51.02,80.58,84.52,62.04,51.42,64.98,58.4,37.78,37.78
6,"Selling, General & Admin",-112.37,41.51,39.06,31.8,43.94,31.1,26.62,22.46,37.86,26.5,23.27,19.75,33.42,21.39,18.46,18.46
7,Research & Development,-41.68,15.31,13.28,13.09,24.48,15.62,11.93,9.93,19.78,10.95,8.27,7.68,12.08,6.22,6.18,6.18
8,Other Operating Expenses,1065,-0.69,0.62,-2.34,-7.88,-6.41,1.28,-0.54,-1.7,-0.04,-1.95,0.58,3,-0.05,-0.95,-0.95
9,Operating Expenses,906.97,63.71,54.21,37.7,62.3,41.32,39.7,29.65,57.37,39.88,30.69,29.71,50.84,26.15,23.99,23.99
10,Operating Income,50.99,25.81,14.63,12.74,14.3,34.93,24.49,21.38,23.21,44.63,31.35,21.71,14.14,32.26,13.79,13.79
11,Interest Expense,-20.47,-,-4.74,-0.82,-4.29,-,-2.15,-0.88,-3.2,-0.45,-1.66,-0.5,-2.65,-,-0.34,-0.34
12,Interest & Investment Income,2.48,9.64,7.03,6.89,8.03,8.14,8.36,8.06,5.82,0.68,0.12,0.19,0.53,0.68,0.3,0.3
13,Currency Exchange Gain (Loss),-,-0.35,0.35,-,0.06,-0.51,0.51,-,0.37,-0.18,0.18,-,0.03,-0.02,0.01,0.01
14,Other Non Operating Income (Expenses),11.71,-4.63,1.23,-1.93,1.63,-2.35,0.24,-0.35,-1,-0.56,1.91,-0.64,2.97,-1.91,0.12,0.12
15,EBT Excluding Unusual Items,44.71,30.45,18.5,16.87,19.72,40.22,31.45,28.2,25.2,44.11,31.89,20.76,15.02,31,13.88,13.88
16,Gain (Loss) on Sale of Investments,-0.16,0.05,-0.13,0.24,-0.21,0.47,-0.35,0.47,2.53,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.09,0.02,-0.11,0,-0.12,0.07,-0.11,-0,-0.04,0,-0.07,-0,-0.31,-0.02,-0.01,-0.01
18,Asset Writedown,0.41,-0.41,-0.24,0.24,2.1,-2.1,0.59,-0.59,1.35,-1.35,0.07,-0.07,2.55,-2.37,-0.09,-0.09
19,Other Unusual Items,-3.74,1.19,2.57,-0.03,-2.58,1.81,-1.81,-,11.24,-0.06,0.06,-,11.98,-1.56,0.78,0.78
20,Pretax Income,41.32,31.3,20.6,17.33,18.91,40.47,29.77,28.08,40.28,42.7,31.95,20.68,29.25,27.05,14.56,14.56
21,Income Tax Expense,3.54,4.91,1.04,3.93,1,7.95,3.49,4.48,1.16,4.58,5.12,3.45,3.06,0.94,2.65,2.65
