,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Interest Income on Loans,13518376,12922067,12474712,11987594,12515015,13023905,13583597,13224279,11905432,10320044,9419513,9053845,8455034,8290513,8653369,8314894,8461611,7930860,7612667,7850610,Upgrade
1,Interest Paid on Deposits,6438085,6040680,5363206,5266076,6225399,6814777,7337925,7009125,5451215,4287794,3813123,3613173,3660712,3770002,3662982,3675322,4045879,4295859,4500721,4431166,Upgrade
2,Net Interest Income,7080291,6881387,7111506,6721518,6289616,6209128,6245672,6215154,6454217,6032250,5606390,5440672,4794322,4520511,4990387,4639572,4415732,3635001,3111946,3419444,Upgrade
3,Net Interest Income Growth (YoY),12.57%,10.83%,13.86%,8.15%,-2.55%,2.93%,11.40%,14.24%,34.62%,33.44%,12.34%,17.27%,8.57%,24.36%,60.36%,35.68%,32.62%,20.24%,7.20%,19.71%,Upgrade
4,Income From Trading Activities,-26090,71287,-41231,196391,-1302637,67760,71566,42982,-133388,-41466,-201795,-11224,61319,183481,91668,113492,63524,17433,70908,14638,Upgrade
5,Gain (Loss) on Sale of Investments,213050,47199,-69990,257688,2647816,881942,401747,-2442,17675,-,-9877,-16331,-570478,92038,69355,632516,-142810,37526,329164,508314,Upgrade
6,Gain (Loss) on Sale of Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1526,-,-,-,Upgrade
7,Other Non-Interest Income,1291045,1136128,1595741,1046474,744344,1265552,1298480,1663047,1584519,1100177,1525257,1413810,1058982,894152,1100453,873374,682212,795620,605855,595355,Upgrade
8,Total Non-Interest Income,1478005,1254614,1484520,1500553,2089523,2215254,1771793,1703587,1468806,1058711,1313585,1386255,549823,1169671,1261476,1619382,604452,850579,1005927,1118307,Upgrade
9,Non-Interest Income Growth (YoY),-29.27%,-43.36%,-16.21%,-11.92%,42.26%,109.24%,34.88%,22.89%,167.14%,-9.49%,4.13%,-14.40%,-9.04%,37.51%,25.40%,44.81%,-66.10%,3.00%,-5.92%,264.41%,Upgrade
10,Revenues Before Loan Losses,8558296,8136001,8596026,8222071,8379139,8424382,8017465,7918741,7923023,7090961,6919975,6826927,5344145,5690182,6251863,6258954,5020184,4485580,4117873,4537751,Upgrade
11,Provision for Loan Losses,147675,358243,588150,512217,321641,520683,705893,256014,250585,90436,-267364,-2843,524017,820086,1386245,605761,246961,161996,439530,92666,Upgrade
12,Revenue,8410621,7777758,8007876,7709854,8057498,7903699,7311572,7662727,7672438,7000525,7187339,6829770,4820128,4870096,4865618,5653193,4773223,4323584,3678343,4445085,Upgrade
13,Revenue Growth (YoY),4.38%,-1.59%,9.52%,0.62%,5.02%,12.90%,1.73%,12.20%,59.17%,43.75%,47.72%,20.81%,0.98%,12.64%,32.28%,27.18%,-4.55%,14.31%,-4.73%,39.82%,Upgrade
14,Salaries and Employee Benefits,-,-,1774110,3141862,1705818,-,1600037,2909352,1791110,-,1458998,2819186,1486598,-,2507815,1134371,1155376,-,798634,2383099,Upgrade
15,Occupancy Expenses,-,-,420659,809298,499800,-,470905,809684,455075,-,428842,849807,440246,-,405326,846787,470265,-,417750,862396,Upgrade
16,Federal Deposit Insurance,-,-,146468,276962,131767,-,129305,243432,115976,-,115771,223735,106914,-,107390,205235,97534,-,95294,181459,Upgrade
17,"Selling, General & Administrative",-,-,533149,1045082,667841,-,657547,1020804,1679485,-,1607423,-,1736532,-,-3935,3935,1793343,-,-,-,Upgrade
18,Other Non-Interest Expense,2739350,2933714,-464753,-2455663,8698,2868218,-378669,-2477042,19709,2525765,-1338055,-1176963,-1979922,2254497,-1399412,358546,-1928024,1732012,472001,-906792,Upgrade
19,Total Non-Interest Expense,2739350,2933714,2409633,2817541,3013924,2868218,2479125,2506230,4061355,2525765,2272979,2715765,1790368,2254497,1617184,2548874,1588494,1732012,1783679,2520162,Upgrade
20,EBT Excluding Unusual Items,5671271,4844044,5598243,4892313,5043574,5035481,4832447,5156497,3611083,4474760,4914360,4114005,3029760,2615599,3248434,3104319,3184729,2591572,1894664,1924923,Upgrade
21,Pretax Income,5671271,4844044,5598243,4892313,5043574,5035481,4832447,5156497,3611083,4474760,4914360,4114005,3029760,2615599,3248434,3104319,3184729,2591572,1894664,1924923,Upgrade
22,Income Tax Expense,1125907,973649,1129653,986894,1037295,997902,966601,1021468,740565,887768,971212,826470,601265,512984,660199,620918,635186,517000,373009,387870,Upgrade
23,Net Income,4545364,3870395,4468590,3905419,4006279,4037579,3865846,4135029,2870518,3586992,3943148,3287535,2428495,2102615,2588235,2483401,2549543,2074572,1521655,1537053,Upgrade
24,Preferred Dividends & Other Adjustments,-,-,-,-,150000,-,-,-,150000,-,-,-,150000,-,-,-,100000,-,-,-,Upgrade
25,Net Income to Common,4545364,3870395,4468590,3905419,3856279,4037579,3865846,4135029,2720518,3586992,3943148,3287535,2278495,2102615,2588235,2483401,2449543,2074572,1521655,1537053,Upgrade
26,Net Income Growth,13.46%,-4.14%,15.59%,-5.55%,39.57%,12.56%,-1.96%,25.78%,18.20%,70.60%,52.35%,32.38%,-4.75%,1.35%,70.09%,61.57%,63.21%,33.91%,-0.72%,12.53%,Upgrade
27,Basic Shares Outstanding,4453,4617,4543,4691,4298,4522,4494,4551,4281,4529,4496,4561,4182,4562,4520,4603,4199,4553,4608,4610,Upgrade
28,Diluted Shares Outstanding,4453,4617,4543,4691,4298,4522,4494,4551,4281,4529,4496,4561,4182,4562,4520,4603,4199,4553,4608,4610,Upgrade
29,Shares Change (YoY),3.61%,2.09%,1.10%,3.08%,0.41%,-0.14%,-0.06%,-0.22%,2.35%,-0.72%,-0.52%,-0.92%,-0.40%,0.20%,-1.93%,-0.15%,1.65%,1.59%,3.53%,2.19%,Upgrade
30,EPS (Basic),1020.67,838.28,983.67,832.48,897.16,892.81,860.31,908.57,635.55,792.06,877.02,720.74,544.82,460.95,572.67,539.46,583.38,455.69,330.19,333.41,Upgrade
31,EPS (Diluted),1020.67,838.28,983.67,832.48,897.16,892.81,860.31,908.57,635.55,792.06,877.02,720.74,544.82,460.95,572.67,539.46,583.38,455.69,330.19,333.41,Upgrade
32,EPS Growth,13.77%,-6.11%,14.34%,-8.38%,41.16%,12.72%,-1.91%,26.06%,16.65%,71.83%,53.15%,33.60%,-6.61%,1.15%,73.43%,61.80%,64.82%,31.81%,-4.11%,10.12%,Upgrade
33,Dividend Per Share,-,-,-,-,-,-,-,-,756.144,-,-,-,-,-,-,-,-,-,-,-,Upgrade
34,Effective Tax Rate,19.85%,20.10%,20.18%,20.17%,20.57%,19.82%,20.00%,19.81%,20.51%,19.84%,19.76%,20.09%,19.85%,19.61%,20.32%,20.00%,19.94%,19.95%,19.69%,20.15%,Upgrade
