,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2714,2520,2909,1746,2392,2509,2495,2639,2412,2862,3592,2725,3244,2652,2489,2654,-,-,-,-,-
1,Market Cap Growth,0.44%,0.44%,16.59%,-33.84%,-0.83%,-12.33%,-30.54%,-3.16%,-25.65%,7.92%,44.31%,2.68%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2842,2540,2871,1672,2318,2385,2266,2289,2062,2518,3277,2397,2916,2332,2186,2619,-,-,-,-,-
3,Last Close Price,27.14,25.20,29.09,17.37,23.79,24.96,24.82,26.15,23.90,28.36,35.59,26.89,32.01,26.17,24.56,26.08,-,-,-,-,-
4,PE Ratio,57.02,53.46,60.10,37.68,47.36,38.97,35.79,33.55,26.34,29.46,35.32,26.02,33.72,29.54,29.30,35.07,-,-,-,-,-
5,Forward PE,-,18.54,18.54,18.54,18.54,18.54,18.54,21.95,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,6.11,5.73,6.85,4.34,6.08,6.34,6.59,6.99,6.23,6.82,7.70,5.37,6.21,5.25,5.25,6.50,-,-,-,-,-
7,PB Ratio,3.12,2.90,3.39,2.05,2.85,-,3.04,3.24,3.02,3.67,4.72,3.65,4.52,3.83,3.72,4.08,-,-,-,-,-
8,P/TBV Ratio,3.33,3.33,3.91,2.37,3.30,-,3.55,3.78,3.53,4.02,5.18,4.01,4.72,4.01,3.90,4.28,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-13.38,-,-,-,-,152.00,164.76,66.64,111.21,87.03,155.07,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-258.01,-,-,19.33,22.74,29.41,32.25,56.61,65.21,94.56,112.87,-,-,-,-,-
11,EV/Sales Ratio,6.46,5.78,6.76,4.16,5.89,6.03,5.99,6.07,5.33,6.00,7.03,4.72,5.59,4.62,4.61,6.42,-,-,-,-,-
12,EV/EBITDA Ratio,41.87,38.25,44.01,28.45,38.18,33.71,30.99,27.40,21.98,24.92,29.84,21.08,26.56,22.29,21.82,29.19,-,-,-,-,-
13,EV/EBIT Ratio,53.62,48.82,55.24,34.42,44.88,37.98,34.76,29.91,23.76,26.77,31.88,22.47,28.41,23.94,23.49,31.74,-,-,-,-,-
14,EV/FCF Ratio,-15.16,-,-,-,-12.96,-,-,-,-,133.74,150.33,58.62,99.97,76.54,136.20,-,-,-,-,-,-
15,Debt / Equity Ratio,0.18,0.18,0.13,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,0.14,0.14
16,Debt / EBITDA Ratio,2.36,2.36,1.13,0.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.12,1.04,0.73
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.05,-,-
18,Asset Turnover,0.40,0.50,-,0.39,-,0.48,0.45,0.45,0.39,0.54,0.55,0.67,0.70,0.85,0.89,1.16,1.07,-,-,-,
19,Inventory Turnover,-,4.16,5.63,-,4.38,-,9.71,11.38,10.17,7.35,8.81,9.07,13.14,16.89,17.54,12.02,-,-,-,-,-
20,Quick Ratio,0.89,0.89,1.08,1.59,2.92,-,4.44,5.75,10.91,19.39,19.04,15.27,9.80,15.13,13.54,13.41,4.94,-,4.68,-,2.52
21,Current Ratio,1.57,1.57,1.65,2.33,4.16,-,5.04,6.45,11.86,20.85,20.45,16.38,10.34,15.81,14.08,14.33,5.64,-,5.49,-,2.71
22,Return on Equity (ROE),5.49%,8.42%,-,3.43%,-,7.79%,7.07%,10.68%,9.59%,13.21%,14.84%,15.12%,13.53%,16.91%,14.87%,23.69%,22.56%,24.78%,9.24%,-,
23,Return on Assets (ROA),3.13%,4.39%,-,2.12%,-,4.23%,4.15%,5.79%,5.09%,8.39%,7.91%,8.80%,8.75%,10.85%,9.48%,14.06%,14.57%,-,-,-,
24,Return on Capital (ROIC),3.53%,4.96%,-,2.40%,-,4.63%,4.45%,6.09%,5.34%,8.79%,8.42%,9.39%,9.25%,11.51%,10.29%,15.57%,15.88%,15.20%,6.18%,-,
25,Return on Capital Employed (ROCE),5.60%,5.49%,5.80%,5.47%,5.88%,-,7.84%,9.28%,10.70%,11.91%,13.32%,14.29%,14.28%,14.07%,13.90%,12.67%,19.88%,17.03%,12.81%,-,4.24%
26,Earnings Yield,1.74%,1.87%,1.66%,2.65%,2.11%,2.57%,2.79%,2.98%,3.80%,3.39%,2.83%,3.84%,2.97%,3.38%,3.41%,2.85%,-,-,-,-,-
27,FCF Yield,-6.91%,-7.44%,-4.31%,-9.86%,-7.48%,-10.47%,-8.61%,-4.26%,-2.32%,0.66%,0.61%,1.50%,0.90%,1.15%,0.64%,0.36%,-,-,-,-,-
28,Dividend Yield,0.37%,-,-,-,0.42%,-,-,-,0.42%,-,-,-,0.31%,-,-,-,-,-,-,-,-
29,Payout Ratio,24.66%,7.48%,57.95%,3.14%,-,-,62.80%,-,-,-,40.20%,-,-,-,35.97%,-,-,0.16%,0.66%,3.74%,6.91%
30,Buyback Yield / Dilution,0.00%,0.04%,-0.94%,0.87%,-0.15%,1.90%,1.30%,-1.27%,6.70%,-2.12%,-8.22%,-2.57%,-37.34%,-31.16%,-22.81%,-32.70%,0.10%,-,-,-,-
31,Total Shareholder Return,0.37%,0.04%,-0.94%,0.87%,0.27%,1.90%,1.30%,-1.27%,7.12%,-2.12%,-8.22%,-2.57%,-37.03%,-31.16%,-22.81%,-32.70%,0.10%,-,-,-,-
