,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,31.67,89.63,88.25,82.85,-,124.36,229.31,280.19,242.53,73.03,82.58,38.92,44.92,29.36,25.34,31.18,-,44.62,-,59.11
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,-,-,-,-,-,-,107.5,270.9,232,264,283,290.58,277.58,-,-,-,-,-
3,Cash & Short-Term Investments,31.67,89.63,88.25,82.85,-,124.36,229.31,280.19,350.03,343.93,314.58,332.92,327.92,319.94,302.92,31.18,-,44.62,59.11,59.11
4,Cash Growth,-,-27.93%,-61.52%,-70.43%,-,-63.84%,-27.10%,-15.84%,6.74%,7.50%,3.85%,967.67%,-,616.98%,412.51%,-47.24%,-,-,-,-
5,Accounts Receivable,160.01,117.31,130.01,131.77,-,169.51,122.42,111.67,125.15,175.13,206.79,232.89,229.62,222,211.2,194.91,-,147.77,-,172.68
6,Other Receivables,0.17,0.18,0.17,1.13,-,19.43,0.19,0.01,0.01,0.01,-,0.16,0.21,-,0.09,-,-,-,-,-
7,Receivables,160.19,117.49,130.19,132.9,-,188.95,122.61,111.68,125.17,175.13,206.79,233.05,229.82,222,211.29,194.91,-,147.77,-,172.68
8,Inventory,94.92,77.02,70.35,65.51,-,41.76,28.77,23.95,28.57,35.9,36.21,30.9,24.2,20.58,30.91,30.75,-,32.27,-,17.37
9,Other Current Assets,51.22,32.64,30.62,26.12,-,0.74,14.01,10.24,7.24,2.57,1.71,0.6,0.93,0.94,4.59,1.7,-,0.77,-,0.11
10,Total Current Assets,337.99,316.77,319.4,307.38,-,355.81,394.7,426.05,511.01,557.54,559.28,597.47,582.88,563.46,549.72,258.54,-,225.43,-,249.28
11,"Property, Plant & Equipment",667.87,613.73,548.71,487.32,-,400.93,336.15,272.12,211.42,148.85,128.31,122.9,89.71,89.1,83.15,82.63,-,72.21,-,73.67
12,Long-Term Investments,35.41,35.41,35.41,35.41,-,25.53,25.53,25.53,25.53,25.53,25.53,25.53,25.53,25.53,25.53,25.53,-,25.53,-,25.53
13,Other Intangible Assets,113.28,113.88,114.48,115.08,-,116.34,116.94,116.01,66.23,66.57,66.92,30.7,30.88,31.05,31.22,31.39,-,31.74,-,32.08
14,Long-Term Deferred Tax Assets,5.48,5.6,5.58,5.45,-,1.52,1.53,1.2,0.26,0.27,0.35,0.2,0.17,0.17,0.12,0.04,-,0.35,-,0.33
15,Long-Term Deferred Charges,0.32,0.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Other Long-Term Assets,1.34,1.36,1.38,1.4,-,1.43,11.48,5.9,-,-,-,-,-,-,-,-,358.3,-,-,-
17,Total Assets,1162,1087,1025,952.04,-,901.55,886.33,846.8,814.44,798.76,780.4,776.79,729.16,709.3,689.74,398.13,358.3,355.25,-,380.88
18,Accounts Payable,85.86,75.08,78.36,58.13,-,66.89,56.57,26.65,18.24,21.33,23.61,38.46,19.69,28.64,25.03,32.9,-,23.73,-,46.25
19,Accrued Expenses,2.9,4.61,2.44,8.88,-,2.63,2.18,4.94,1.79,1.97,1.77,4.67,1.5,3.58,1.56,3.4,-,2.8,-,1.77
20,Short-Term Debt,120,110,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.01,-,41.05
21,Current Income Taxes Payable,3.95,1.17,5.41,4.17,-,0.43,1.38,2.25,2.63,3.2,6.98,9.86,13.24,3.48,2.99,2.65,-,2.3,-,2.17
22,Current Unearned Revenue,1.45,0.36,0.6,1.61,-,0.51,0.95,0.81,1.61,0.61,1.55,4.17,2.12,3.76,7.75,6.03,-,2.19,-,-
23,Other Current Liabilities,0.51,0.37,0.26,1.11,-,0.14,0.16,1.25,0.24,0.15,0.24,0.62,0.31,0.55,1.02,0.83,-,0.04,-,0.74
24,Total Current Liabilities,214.67,191.58,137.07,73.9,-,70.6,61.24,35.91,24.51,27.27,34.14,57.77,36.86,40.01,38.35,45.81,-,41.08,-,91.98
25,Long-Term Debt,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Long-Term Unearned Revenue,36.66,37,37.35,37.68,-,10.84,10.87,10.9,11.04,11.04,0.6,0.6,0.6,0.6,0.6,0.6,-,0.6,-,0.6
27,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.26,-,0.29
28,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.82,-,-,-
29,Total Liabilities,291.33,228.58,174.42,111.59,-,81.43,72.1,46.81,35.55,38.31,34.74,58.37,37.46,40.61,38.95,46.41,26.82,41.94,-,92.87
30,Common Stock,100,100,100,100,-,100,100,100,100,100,100,100,100,100,100,75,331.48,75,-,75
31,Additional Paid-In Capital,395.25,395.25,395.25,395.25,-,395.25,395.25,395.25,395.25,395.25,395.25,395.25,395.25,395.25,395.25,139.82,-,139.82,-,139.82
32,Retained Earnings,375.05,363.19,355.21,345.11,-,324.79,318.87,304.6,283.53,265.08,250.21,223.04,196.38,173.37,155.48,136.84,-,98.43,-,73.15
33,Comprehensive Income & Other,0.07,0.08,0.08,0.09,-,0.08,0.11,0.14,0.11,0.13,0.2,0.13,0.07,0.06,0.06,0.06,-,0.06,-,0.04
34,Shareholders' Equity,870.37,858.52,850.54,840.45,-,820.12,814.22,799.99,778.89,760.46,745.66,718.42,691.7,668.68,650.79,351.72,331.48,313.31,288.01,288.01
35,Total Liabilities & Equity,1162,1087,1025,952.04,-,901.55,886.33,846.8,814.44,798.76,780.4,776.79,729.16,709.3,689.74,398.13,358.3,355.25,-,380.88
36,Total Debt,160,110,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.01,41.05,41.05
37,Net Cash (Debt),-128.33,-20.37,38.25,82.85,-,124.36,229.31,280.19,350.03,343.93,314.58,332.92,327.92,319.94,302.92,31.18,-,34.61,18.05,18.05
38,Net Cash Growth,-,-,-83.32%,-70.43%,-,-63.84%,-27.10%,-15.84%,6.74%,7.50%,3.85%,967.67%,-,824.39%,1578.15%,72.74%,-,-,-,-
39,Net Cash Per Share,-1.28,-0.21,0.38,0.86,-,1.27,2.25,2.92,3.43,3.46,3.13,3.24,3.28,3.48,3.09,0.42,-,0.46,0.24,0.24
40,Filing Date Shares Outstanding,100,100,100,100,100.01,100,100,100,100,100,100,100,100,100,100,100,75,75,73.91,75
41,Total Common Shares Outstanding,100,100,100,100,100.01,100,100,100,100,100,100,100,100,100,100,75,75,75,73.91,75
42,Working Capital,123.32,125.19,182.33,233.48,-,285.21,333.47,390.14,486.5,530.28,525.14,539.7,546.02,523.44,511.37,212.73,-,184.34,-,157.3
43,Book Value Per Share,8.70,8.59,8.51,8.40,-,8.20,8.14,8.00,7.79,7.60,7.46,7.18,6.92,6.69,6.51,4.69,4.42,4.18,3.84,3.84
44,Tangible Book Value,757.08,744.64,736.06,725.37,-,703.78,697.28,683.98,712.67,693.89,678.74,687.72,660.83,637.64,619.57,320.33,331.48,281.57,255.93,255.93
45,Tangible Book Value Per Share,7.57,7.45,7.36,7.25,-,7.04,6.97,6.84,7.13,6.94,6.79,6.88,6.61,6.38,6.20,4.27,4.42,3.75,3.41,3.41
46,Buildings,-,160.49,-,127.05,-,129.22,-,69.74,-,41.5,-,41.5,-,35.55,-,35.55,-,35.55,-,35.55
47,Machinery,-,179.66,-,172.36,-,79.39,-,71.41,-,65.35,-,70.63,-,72.83,-,72.3,-,72.09,-,71.89
48,Construction In Progress,-,343.88,-,250.81,-,257.43,-,196.17,-,104.17,-,71.11,-,40.15,-,30.76,-,17.05,-,15.11
