,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,111.41,130.7,105.49,91.93,96.54,108,96.56,94.08,79.36,107.09,106.11,126.58,126.44,148.06,120.54,108.89,96.17,81.77,51.73,102.09
1,Other Revenue,-0.12,0.12,-,0.36,-0.18,0.18,-,0.3,-0.1,0.1,-,0.36,-0.21,0.21,-,0.78,-0.46,0.46,-,1.11
2,Revenue,111.29,130.82,105.49,92.29,96.36,108.18,96.56,94.38,79.26,107.19,106.11,126.94,126.22,148.27,120.54,109.67,95.71,82.23,51.73,103.2
3,Revenue Growth (YoY),15.49%,20.93%,9.25%,-2.21%,21.58%,0.92%,-9.00%,-25.65%,-37.21%,-27.71%,-11.97%,15.74%,31.88%,80.32%,133.01%,6.27%,-,-,-,-
4,Cost of Revenue,89.4,103.76,85.4,71.74,75.08,85.61,75,66.79,59.22,79.37,76.05,90.52,94.56,112.87,92.64,82.83,70.78,59.43,40.66,67.97
5,Gross Profit,21.89,27.06,20.08,20.55,21.28,22.57,21.55,27.59,20.03,27.82,30.07,36.42,31.66,35.41,27.9,26.84,24.93,22.79,11.07,35.23
6,"Selling, General & Admin",2.91,3.09,3.15,2.36,3.45,3.72,2.68,3.57,2.29,2.69,2.21,3.47,2.04,2.5,3.93,2.11,1.53,1.71,1.61,15.71
7,Research & Development,4.92,4.7,3.95,5.27,4.02,4.05,3.97,5.49,3.51,4.21,3.94,5.92,4.37,4.05,3.44,4.1,2.89,2.68,2.39,10.78
8,Other Operating Expenses,0.58,0.41,0.68,4.35,0.16,-0.17,-1.01,-0.62,-2.06,-4.99,-1.58,0.52,0.19,-1.84,-0.49,0.57,-0.87,-1.47,-1.13,-3
