,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1875,1752,1472,1795,2304,2500,2012,2068,1992,2168,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-29.94%,-29.94%,-26.83%,-13.19%,15.67%,15.34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1505,1399,1106,1463,1971,2179,1664,1654,1578,1717,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,27.58,25.76,21.65,25.89,33.22,36.05,29.01,29.30,28.23,30.72,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,46.24,43.19,32.12,31.39,38.23,32.89,26.60,29.08,28.08,33.17,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,4.06,3.79,3.14,3.55,4.32,4.42,3.50,3.80,3.64,3.98,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,2.48,2.31,1.98,2.36,3.07,3.36,2.77,2.81,2.75,3.09,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.33,2.33,2.00,2.39,3.10,3.40,2.80,2.84,2.78,3.13,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,31.05,29.00,26.98,38.41,211.06,-88.77,-26.45,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,16.86,16.86,13.73,18.01,28.17,30.51,25.54,18.33,17.87,23.87,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.26,3.03,2.36,2.89,3.69,3.85,2.89,3.04,2.88,3.15,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,23.64,22.77,16.32,18.82,23.37,26.59,20.54,21.53,20.94,19.33,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,53.42,46.60,29.01,28.70,33.19,37.07,28.25,29.74,28.57,24.61,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,24.92,23.15,20.27,31.29,180.58,-77.36,-21.87,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.05,-,-,0.17,0.17,0.17,0.10,0.10
15,Debt / EBITDA Ratio,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.29,0.15,0.16,-,-,0.38,0.41,0.40,0.22,0.22
16,Debt / FCF Ratio,0.01,0.01,0.01,0.00,0.02,-0.02,0.00,-,-,-,1.42,1.58,-,-,-,-,-,-,0.44,0.88
17,Asset Turnover,0.62,0.58,0.43,0.56,0.65,0.76,0.56,0.72,0.71,-,-,-,-,-,-,1.55,1.63,1.46,-,
18,Inventory Turnover,8.15,9.36,9.15,6.51,8.28,8.76,10.21,7.49,9.09,8.87,-,-,-,-,-,-,8.91,10.35,10.38,-
19,Quick Ratio,5.33,5.33,5.58,6.91,5.07,5.16,4.09,5.45,4.28,4.14,3.95,-,1.29,-,-,-,1.13,1.13,1.11,1.11
20,Current Ratio,5.89,5.89,6.20,7.71,5.70,5.80,4.62,6.23,4.88,4.61,4.37,-,1.86,-,-,-,1.55,1.55,1.41,1.41
21,Return on Equity (ROE),6.70%,6.32%,5.24%,3.33%,9.72%,12.71%,7.11%,12.34%,10.09%,15.79%,19.46%,-,-,-,28.75%,30.90%,33.48%,32.51%,-,
22,Return on Assets (ROA),3.86%,2.19%,2.43%,0.41%,6.26%,6.01%,4.97%,0.24%,6.39%,-,-,-,-,-,-,12.51%,13.11%,12.92%,-,
