,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,170.26,333.53,314.53,271.32,287.13,160.78,268.11,104.17,413.57,476.87,-,43.33,-,-,-,49.26,49.25,49.84,49.84
1,Trading Asset Securities,200.31,20,52.02,75.24,46.03,160.68,80.7,260.66,0.23,0.01,-,-,-,-,-,5.84,5.84,0.02,0.02
2,Cash & Short-Term Investments,370.57,353.53,366.55,346.56,333.16,321.46,348.81,364.82,413.8,476.88,43.33,43.33,-,-,55.11,55.11,55.09,49.86,49.86
3,Cash Growth,11.23%,9.98%,5.09%,-5.00%,-19.49%,-32.59%,705.02%,741.98%,-,-,-21.37%,-21.37%,-,-,10.53%,-,-,-,-
4,Accounts Receivable,97.81,90.45,68.19,93.55,109.85,120.26,77.26,93.24,85.63,77.2,-,90.21,-,-,-,75.41,75.41,80.22,80.22
5,Other Receivables,12.8,8.17,9.09,11.41,13.79,14.31,8.49,7.67,7.42,6.12,-,9.54,-,-,-,8.12,8.29,7.99,7.99
6,Receivables,110.61,98.62,77.28,104.96,123.64,134.57,85.75,100.91,93.05,83.32,-,99.75,-,-,-,83.53,83.71,88.2,88.2
7,Inventory,46.36,43.94,45.37,47.19,47.09,50.2,48.03,51.53,51.07,50.15,-,51.58,-,-,-,45.88,45.88,33.16,33.16
8,Other Current Assets,4.58,6.4,6.07,9.02,10.08,9.31,14.34,13.59,7.47,10.05,-,11.01,-,-,-,5.94,5.78,3.96,3.96
9,Total Current Assets,532.11,502.49,495.27,507.73,513.97,515.54,496.93,530.85,565.39,620.4,-,205.67,-,-,-,190.45,190.45,175.18,175.18
10,"Property, Plant & Equipment",312.87,319.41,324.15,326.76,322.12,320.98,312.99,287.4,216.3,191.93,-,162.06,-,-,-,125.63,125.63,111.56,111.56
11,Other Intangible Assets,6.63,6.79,7.01,7.22,7.41,7.62,7.82,7.78,7.98,8.05,-,8.4,-,-,-,6.87,6.87,7.07,7.07
12,Long-Term Deferred Tax Assets,1.07,0.88,0.64,0.91,0.93,1.02,3.43,5.22,3.64,3.14,-,2.74,-,-,-,2.33,2.33,2.59,2.59
13,Long-Term Deferred Charges,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.12,0.14,-,0.18,-,-,-,-,-,-,-
14,Other Long-Term Assets,6.05,6.71,6.5,5.49,1.06,3.68,6.77,13.24,38.82,10.8,-,4.02,-,-,-,1.9,1.9,1.23,1.23
15,Total Assets,858.77,836.33,833.62,848.18,845.55,848.92,828.03,844.6,832.25,834.46,-,383.07,-,-,-,327.19,327.19,297.63,297.63
16,Accounts Payable,67.81,61.61,45.61,60.48,62.33,83.46,57.66,78.51,84.13,80.67,-,64.98,-,-,-,62.12,62.12,65.5,65.5
17,Accrued Expenses,8.77,7.9,6.49,15.34,7.22,7.02,7.07,13.73,8.99,7.95,-,11.17,-,-,-,17.16,17.16,15.69,15.69
