,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,2403,2914,3605,2500,2602,2330,2776,2413,2537,2138,1914,2212,2174,2080,2072,2446,976.5,1167,-,929.02
1,Trading Asset Securities,25.08,25.09,25.09,-,25.05,78.27,30.09,-,129.4,150.16,50.2,-,596.06,596.44,450,-,-,-,-,-
2,Cash & Short-Term Investments,2428,2939,3630,2500,2627,2408,2806,2413,2666,2288,1964,2212,2770,2677,2522,2446,976.5,1167,929.02,929.02
3,Cash Growth,-7.58%,22.03%,29.36%,3.60%,-1.49%,5.24%,42.86%,9.12%,-3.74%,-14.52%,-22.11%,-9.58%,183.67%,129.30%,171.44%,163.29%,-,-,-,-
4,Accounts Receivable,136.52,121.05,213.28,216.26,225.8,197.79,168.75,200.59,266.59,435.21,169.76,415.14,377.46,261.07,180.6,237.43,213.01,201.29,-,219.96
5,Other Receivables,112.41,97.97,72.81,72.62,23.5,28.81,17.12,19.44,19.55,14.63,15.29,32.06,20.32,12,81.19,79.88,-,-,-,9.25
6,Receivables,248.93,219.02,286.09,288.88,249.3,226.59,185.86,220.04,286.14,449.84,185.05,447.2,397.78,273.08,261.79,317.31,213.01,201.29,-,229.21
7,Inventory,679.56,625.26,664.01,651.56,706.83,722.98,780.09,661.69,612.01,638.15,647.32,601.11,601.87,598.25,493.52,409.42,365.22,355.91,-,373.62
8,Prepaid Expenses,-,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Other Current Assets,628.2,497.82,634.49,580.19,659.9,484.23,539.39,402.54,214.73,221.22,207.05,93.99,200.6,123.25,184.62,123.93,152.77,64.23,-,46.33
10,Total Current Assets,3984,4281,5215,4021,4243,3842,4311,3698,3779,3597,3004,3354,3970,3671,3462,3297,1707,1789,-,1578
11,"Property, Plant & Equipment",11428,11112,10401,10359,9461,9440,8797,8695,8036,7753,7607,7548,7443,7377,5245,5344,5313,5299,-,5339
12,Long-Term Investments,34.24,32.87,32.93,32.99,33.15,30.62,30.63,30.64,30.6,30.65,30.75,30.86,31.49,151.36,232.4,259.59,292.48,298.2,-,308.74
13,Goodwill,65.74,65.74,71.15,71.15,71.15,71.15,71.15,71.15,71.27,71.27,50.13,50.13,50.13,12.37,5.41,43.17,5.41,5.41,-,5.41
14,Other Intangible Assets,1639,1608,1637,1645,1586,1178,1192,1207,1057,1050,1054,1004,1017,940.35,576.7,674.49,587.62,576.15,-,588.65
15,Long-Term Deferred Tax Assets,89.26,88.31,90.09,106.66,104.79,110.02,145.61,173.21,21.5,12.3,5.03,4.7,4.19,12.14,3.37,3.54,3.66,3.73,-,3.77
16,Long-Term Deferred Charges,115.85,104.64,79.41,84.43,28.86,33.84,24.16,29.35,34.33,39.64,45.18,47.24,53.03,-,35.26,5.2,1.69,3.52,-,10.3
17,Other Long-Term Assets,1347,1150,925.55,704.07,637.77,221.19,242.08,150.07,50.94,53.12,52.07,52.34,50.9,145.42,100.01,132.59,140.5,131.15,-,69.6
18,Total Assets,18703,18442,18452,17024,16166,14926,14814,14054,13081,12608,11848,12092,12619,12310,9660,9759,8052,8106,-,7903
19,Accounts Payable,934.88,1183,1114,1324,1063,831.08,811.33,811.94,509.82,498.35,461.4,501.19,641.04,626.97,192.56,250.9,258.29,222.12,-,169.69
20,Accrued Expenses,61.96,74.16,78.61,90.01,76.02,60.32,44.73,92.49,68.52,129.16,39.73,154.21,123.54,141.86,29.39,100.67,77.17,47.37,-,73.28
21,Short-Term Debt,2977,2955,3261,3210,2834,2207,2348,2015,2319,2225,2314,2418,2784,3024,1301,1324,1643,1866,-,1997
22,Current Portion of Long-Term Debt,1429,1084,1122,975.61,861.83,967.33,409.67,420.78,336.92,156.43,181.29,125.43,164.89,399.43,227.82,525,471.09,604.2,-,203.2
23,Current Portion of Leases,-,2.58,-,-,-,1.28,-,-,-,4.99,-,4.22,-,40.47,-,-,-,-,-,-
24,Current Income Taxes Payable,15.41,0.16,-,12.22,11.38,1.99,12.85,17.1,60.65,69.63,21.94,60.22,69.89,41.63,59.37,20.18,37.43,21.24,-,13.34
25,Current Unearned Revenue,106.13,42.9,67.77,45.82,94.21,103.86,62.55,59.62,100.21,183.95,183.81,118.97,200.48,70.88,111.53,162.26,122.46,59.65,-,-
26,Other Current Liabilities,182.93,149.27,115.51,89.96,102.96,85.13,90.37,87.77,86.75,115.17,96.53,117.56,151.66,76.15,61.64,95.25,74.48,57.79,-,160.29
27,Total Current Liabilities,5708,5491,5758,5748,5043,4258,3780,3504,3482,3383,3299,3499,4136,4421,1984,2479,2684,2878,-,2617
28,Long-Term Debt,4676,4658,4272,2900,2850,2681,2966,2630,1961,1933,1403,1583,1735,1555,1461,1160,1267,1321,-,1606
29,Long-Term Leases,2.81,3.46,4.11,4.77,0.11,0.14,0.21,0.24,0.36,1.25,2.55,2.83,14.83,23.87,4.19,-,-,-,-,-
30,Long-Term Unearned Revenue,344.83,350.56,352.08,341.62,348.54,325.19,331.75,337.72,344.88,351.44,358,364.56,370.34,376.86,376.19,382.66,389.11,395.54,-,408.37
31,Long-Term Deferred Tax Liabilities,198.49,198.91,199.79,200.11,200.11,202.72,207.64,207.96,59.44,59.95,58.81,58.95,55.74,42.86,17.43,31.21,0.84,1.01,-,1.41
32,Other Long-Term Liabilities,-,-,-,-,-,-,-,0.6,-,-,-,3.27,0.79,0.83,-,-,-,-,-,-
33,Total Liabilities,10929,10702,10586,9195,8442,7467,7285,6681,5847,5728,5121,5512,6312,6420,3842,4053,4341,4595,-,4632
34,Common Stock,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1027,1027,880,880,-,880
35,Additional Paid-In Capital,2722,-,2722,2722,2722,2722,2722,2722,2721,2721,2721,2721,2721,2722,3030,3131,1567,1567,-,1567
36,Retained Earnings,3081,3044,3061,3010,2968,2890,2978,2831,2742,2421,2339,2232,1963,1682,1616,1346,1129,935.39,-,705.88
37,Comprehensive Income & Other,52.04,2777,57.07,54.11,57.08,53.66,53.92,48.54,48.68,51.85,49.34,47.71,47.71,47.82,45.95,43.47,41.79,39.8,-,36.58
38,Total Common Equity,7191,7156,7176,7122,7083,7001,7089,6936,6848,6530,6445,6336,6068,5787,5719,5549,3618,3422,3190,3190
39,Minority Interest,582.52,584.14,689.71,708.18,640.95,457.95,439.78,436.89,385.5,349.64,281.74,243.29,239.53,102.5,98.55,157.51,92.97,88.66,-,81.61
40,Shareholders' Equity,7773,7740,7866,7830,7724,7459,7529,7373,7233,6880,6727,6580,6307,5890,5818,5706,3711,3511,3271,3271
41,Total Liabilities & Equity,18703,18442,18452,17024,16166,14926,14814,14054,13081,12608,11848,12092,12619,12310,9660,9759,8052,8106,-,7903
42,Total Debt,9085,8703,8659,7091,6546,5857,5724,5066,4617,4321,3901,4133,4699,5042,2994,3010,3381,3791,3806,3806
43,Net Cash (Debt),-6657,-5765,-5029,-4591,-3919,-3449,-2918,-2652,-1951,-2033,-1937,-1921,-1929,-2366,-472.55,-563.6,-2405,-2623,-2877,-2877
44,Net Cash Per Share,-4.28,-4.53,-3.91,-3.37,-2.95,-2.50,-2.18,-2.03,-1.46,-1.51,-1.44,-1.43,-1.44,-1.83,-0.35,-0.49,-2.12,-2.32,-2.47,-2.43
45,Filing Date Shares Outstanding,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1144,1144,1165,1144
46,Total Common Shares Outstanding,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1144,1144,1165,1144
47,Working Capital,-1723,-1210,-543.83,-1727,-800.35,-416.06,531.78,-,297.13,214.84,-295.22,-145.37,-165.48,-750.13,1478,818.15,-976.45,-1089,-,-1039
48,Book Value Per Share,5.38,5.36,5.37,5.33,5.30,5.24,5.31,5.19,5.13,4.89,4.83,4.74,4.54,4.33,4.28,4.15,3.16,2.99,2.79,2.79
49,Tangible Book Value,5486,5483,5468,5405,5426,5752,5826,-,5720,5409,5341,5282,5001,4834,5137,4831,3025,2841,2596,2596
50,Tangible Book Value Per Share,4.11,4.11,4.09,4.05,4.06,4.31,4.36,4.24,4.28,4.05,4.00,3.95,3.74,3.62,3.85,3.62,2.64,2.48,2.27,2.27
51,Buildings,-,2620,-,-,-,2602,-,-,-,2456,-,2432,-,2378,-,1410,1306,1278,-,1280
52,Machinery,-,9723,-,-,-,9632,-,-,-,8614,-,8597,-,8494,-,5392,5336,5165,-,5164
53,Construction In Progress,-,4074,-,-,-,1994,-,-,-,953.7,-,539.34,-,272.46,-,156.67,197.62,304.58,-,188.4
