,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,2326,1154,1487,1842,2159,1201,1576,1740,3193,1668,1556,739.88,2544,1319,1803,808.87,1703,1085,1173,1216
1,Other Revenue,-672.24,672.24,-,-,-429.95,429.95,-,-,-714.47,714.47,-,1175,-703.67,703.67,-,1161,-350.95,350.95,-,323.2
2,Revenue,1653,1826,1487,1842,1729,1631,1576,1740,2479,2382,1556,1915,1840,2023,1803,1970,1352,1436,1173,1539
3,Revenue Growth (YoY),-4.35%,11.95%,-5.64%,5.83%,-30.26%,-31.53%,1.31%,-9.12%,34.72%,17.77%,-13.73%,-2.79%,36.05%,40.86%,53.70%,27.95%,-,-,-,-
4,Cost of Revenue,1402,1558,1245,1610,1335,1416,1321,1563,1847,1800,1297,1580,1324,1537,1327,1504,930.06,1157,952.81,1274
5,Gross Profit,251.44,267.96,242.24,231.74,393.55,215.33,254.6,176.7,632.18,581.85,258.76,335.21,515.62,486.03,476.31,465.74,422.43,278.74,220.34,265.24
6,"Selling, General & Admin",145.64,55.17,117.41,126.78,179.8,54.22,96.1,132.97,173.22,42.25,110.61,-4.75,163.86,68.61,90.33,122.95,86.45,45,49.66,91
7,Research & Development,78.33,91.47,87.71,80.1,81.29,73.54,73.75,78.28,95.34,94.36,63.38,89.17,75.84,61.86,45.91,56.39,58.34,36.32,12.29,8.71
8,Other Operating Expenses,-101.21,43.74,-8.12,-353.24,-16.99,-156.28,-127.75,-23.78,-31.66,-8.93,-65.7,99.34,-43.77,3.79,-4.31,33.62,4.04,1.08,-0.05,8.15
9,Operating Expenses,124.16,191.14,196.75,-147.54,245.11,-25.79,39.55,189.1,237.04,128.98,105.21,183.74,197.3,135.32,131.78,213.25,148.75,82.48,61.89,108.38
10,Operating Income,127.28,76.82,45.5,379.28,148.44,241.12,215.05,-12.4,395.14,452.86,153.55,151.47,318.32,350.71,344.53,252.49,273.67,196.26,158.45,156.86
11,Interest Expense,-25.03,-28.68,-34.42,-30.3,-44.2,-45.23,-36.15,-27.01,-30.3,-53.44,-28.62,-66.54,-,-76.82,-22.07,-28.58,-25.52,-38.82,-33.38,-50.92
12,Interest & Investment Income,6.27,10.15,5.97,125.59,5.64,16.54,8.11,112.36,7.55,8.39,12.69,7.23,17.03,34.88,7.02,6.92,2.02,3.21,2.21,13.75
13,Earnings From Equity Investments,-,0.05,-0.05,-,-,0.01,-0.01,-,-,0.12,-0.12,-,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),-0.7,0.7,-,-,-1.3,1.3,-,-,0.4,-0.4,-,0.38,-0.23,0.23,-,2.2,0.01,-0.01,-,0.11
15,Other Non Operating Income (Expenses),-22.2,-2.03,-0.82,-85.48,-1.93,-1.41,-0.94,-112.83,-6.41,5.09,-7.67,36.99,-41.47,5.33,-12.46,-13.46,-8.91,5.75,-6.5,-0.85
16,EBT Excluding Unusual Items,85.63,57.01,16.16,389.1,106.65,212.33,186.07,-39.89,366.38,412.62,129.83,129.54,293.65,314.33,317.02,219.57,241.27,166.39,120.78,118.95
17,Gain (Loss) on Sale of Investments,0.22,-21.42,0.09,-2.69,0.03,0.27,0.09,0.21,0.4,0.16,0.2,1.66,4.64,6.44,-,4.37,-6.13,-8.1,-,-
18,Gain (Loss) on Sale of Assets,-,54.38,-0,-0.15,-0.01,0.01,0.03,0.07,0.11,0.01,0.05,1.39,22.13,-0.01,-,0.16,-,-,-,0
19,Asset Writedown,6.18,0.3,-0.83,-15.42,-22,1.77,-6.24,-10.44,-1.1,0.32,-1.05,0.05,-1.4,-,-,-0.25,-0.04,-0.03,-,-3.92
20,Other Unusual Items,-56.54,2.15,54.39,-328.95,-0.45,0.45,-,-,-0.13,0.13,-,180.63,0.09,-0.09,-,30.49,-0.14,0.14,-,10.58
21,Pretax Income,35.48,92.42,69.81,41.89,84.22,214.83,179.95,-50.06,365.66,413.23,129.03,313.27,319.11,320.67,317.02,254.33,234.97,158.4,120.78,125.62
22,Income Tax Expense,-0.48,6.27,17.46,-1.99,2.84,33.75,30.04,-140.86,42.45,61.85,20.54,41.32,33.35,44.97,44.67,33.85,37.31,23.38,19.22,12.75
23,Earnings From Continuing Operations,35.96,86.15,52.35,43.88,81.38,181.08,149.9,90.81,323.22,351.38,108.49,271.94,285.76,275.7,272.35,220.48,197.65,135.02,101.55,112.86
24,Minority Interest in Earnings,1.62,3.16,-0.92,-2.13,-3.01,-2.23,-2.74,-2.35,-2.21,-2.03,-1.06,-3.43,-4.96,-3.96,-2.83,-2.74,-4.31,-4.08,-2.97,-2.56
25,Net Income,37.58,89.32,51.44,41.75,78.37,178.84,147.16,88.46,321.01,349.35,107.43,268.52,280.8,271.74,269.52,217.74,193.35,130.94,98.58,110.3
26,Net Income to Common,37.58,89.32,51.44,41.75,78.37,178.84,147.16,88.46,321.01,349.35,107.43,268.52,280.8,271.74,269.52,217.74,193.35,130.94,98.58,110.3
27,Net Income Growth,-52.05%,-50.06%,-65.05%,-52.80%,-75.59%,-48.81%,36.98%,-67.06%,14.32%,28.56%,-60.14%,23.32%,45.23%,107.53%,173.40%,97.40%,-,-,-,-
28,Shares Outstanding (Basic),1556,1273,1286,1364,1327,1379,1338,1308,1336,1344,1343,1342,1337,1293,1348,1147,1133,1130,1165,1184
29,Shares Outstanding (Diluted),1556,1273,1286,1364,1327,1379,1338,1308,1336,1344,1343,1342,1337,1293,1348,1147,1133,1130,1165,1184
