,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,20528,21703,18311,21957,24454,26097,33256,38090,40534,53396,44381,34297,48668,73229,41002,31930,15904,-,-,-,-
1,Market Cap Growth,-16.84%,-16.84%,-44.94%,-42.36%,-39.67%,-51.13%,-25.07%,11.06%,-16.71%,-27.08%,8.24%,7.41%,206.02%,-,-,-,-,-,-,-,-
2,Enterprise Value,27767,28052,24029,27252,29014,30004,36613,40427,42871,55778,46600,36462,50836,75697,41573,32590,18401,-,-,-,-
3,Last Close Price,15.37,16.25,13.71,16.36,18.22,19.44,24.77,28.17,29.97,39.48,32.82,25.10,35.62,53.60,30.01,23.24,11.58,-,-,-,-
4,PE Ratio,95.66,98.61,70.19,62.66,54.82,52.95,45.22,42.04,46.79,51.03,44.11,36.94,44.63,70.43,43.05,39.35,24.83,-,-,-,-
5,Forward PE,-,39.63,33.44,24.91,22.09,21.56,23.79,24.03,24.92,34.92,33.61,26.89,31.12,50.61,33.30,-,-,-,-,-,-
6,PS Ratio,3.09,3.19,2.66,3.28,3.61,3.91,4.48,4.66,4.97,6.41,5.77,4.68,6.42,9.59,5.74,4.87,2.68,-,-,-,-
7,PB Ratio,2.85,2.79,2.37,2.79,3.12,3.38,4.46,5.06,5.50,7.38,6.45,5.10,7.40,11.61,6.96,5.49,2.79,-,-,-,-
8,P/TBV Ratio,3.96,3.96,3.34,4.02,4.52,4.81,5.78,6.54,-,9.34,8.21,6.42,9.21,14.64,8.48,6.22,3.29,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,186.82,106.68,-,58.93,69.59,38.48,31.42,20.13,-,-,-,-
10,P/OCF Ratio,23.23,23.23,28.50,27.32,27.93,-,27.63,31.27,30.81,37.05,36.47,28.52,38.38,54.83,30.53,24.22,14.18,-,-,-,-
11,EV/Sales Ratio,4.08,4.12,3.49,4.07,4.28,4.49,4.93,4.94,5.26,6.69,6.06,4.97,6.71,9.91,5.82,4.97,3.10,-,-,-,-
12,EV/EBITDA Ratio,47.62,22.71,19.31,19.38,18.55,25.85,26.38,25.54,28.54,33.87,30.35,26.05,32.67,46.59,26.32,23.18,15.10,-,-,-,-
13,EV/EBIT Ratio,-,44.61,36.97,33.46,29.49,50.66,43.64,38.48,-,48.38,43.30,37.43,43.63,59.79,34.04,30.54,20.89,-,-,-,-
14,EV/FCF Ratio,-11.71,-,-,-,-,-,-,-,-,195.16,112.02,-,61.56,71.93,39.02,32.07,23.30,-,-,-,-
