,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,1925,2424,2392,2676,2553,3140,3356,3827,1317,1680,-,964.79,805.31,-,921.13
1,Trading Asset Securities,-,115.01,80.58,24.24,29.48,39.96,46.49,598.34,46.11,1530,1600,-,-,-,-,-
2,Cash & Short-Term Investments,2040,2040,2505,2416,2705,2593,3187,3954,3873,2846,3280,964.79,964.79,805.31,921.13,921.13
3,Cash Growth,-24.58%,-21.32%,-21.39%,-38.91%,-30.16%,-8.91%,-2.85%,309.87%,301.48%,253.45%,256.11%,4.74%,-,-,-,-
4,Accounts Receivable,-,1022,782.07,560.24,535.63,491.06,214.86,204.29,291.77,133.74,131.51,-,113.27,133.88,-,78.42
5,Other Receivables,-,21.28,7.43,8.17,7.92,14.09,10.67,10.77,6.09,3.17,8.53,-,1.73,68.37,-,3.34
6,Receivables,-,1043,789.5,568.42,543.56,505.15,225.53,215.06,297.87,136.91,140.04,-,114.99,202.24,-,81.76
7,Inventory,-,7077,6455,5613,4556,3870,3288,2717,2297,2090,1563,-,953.16,978.39,-,648.17
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,0.69,-,2.43,-,-,0.02
9,Other Current Assets,-,842.57,832.27,745.62,652.03,764.3,559.66,414.2,352.45,341.79,231.11,-,139.24,50.91,-,40.45
10,Total Current Assets,-,11003,10582,9343,8457,7733,7260,7301,6820,5415,5215,-,2175,2037,-,1692
11,"Property, Plant & Equipment",-,1247,1091,807.75,735.55,626.48,529.35,422.25,395.23,374.89,319.2,-,290.74,260.47,-,161.77
12,Long-Term Investments,-,655.75,552.5,486.78,488.81,289.14,60,20,20,-,-,-,-,-,-,-
13,Other Intangible Assets,-,163.4,161.15,90.21,91.68,92.7,90.39,42.84,43.88,43.73,44.1,-,42.65,36.76,-,37.54
14,Long-Term Accounts Receivable,-,-,-,-,1.45,-,1.45,-,0.98,-,-,-,-,-,-,1.87
15,Long-Term Deferred Tax Assets,-,21.95,14.72,10.95,10.79,0.29,0.29,-,0.45,-,-,-,-,1.4,-,-
16,Long-Term Deferred Charges,-,13.66,10.06,8.48,6.42,3.33,3.87,1.39,1.78,1.66,1.45,-,1.35,-,-,-
17,Other Long-Term Assets,-,60.19,62.3,181.35,177.79,48.31,55.63,62.4,31.04,40.23,21.18,-,8.38,9.81,-,5.45
18,Total Assets,-,13165,12473,10928,9969,8793,8001,7849,7314,5876,5601,-,2518,2345,-,1898
19,Accounts Payable,-,1976,1905,1599,1070,1057,937.55,806.45,871.42,840.97,602.89,-,393.85,385.27,-,237.3
20,Accrued Expenses,-,103.58,75.38,58.31,149.37,90.1,82.39,36.04,79.49,32.21,28.03,-,42.02,21.54,-,17.69
21,Short-Term Debt,-,151.61,158.68,105.42,69.98,407.32,400.26,400.27,400.27,-,-,-,-,-,-,-
22,Current Portion of Long-Term Debt,-,204.72,194.16,49.57,63.33,32.31,20.39,1.26,0.26,-,-,-,-,-,-,-
23,Current Portion of Leases,-,-,7.69,-,3.71,-,1.02,-,1.34,0.62,0.81,-,0.63,-,-,-
24,Current Income Taxes Payable,-,4,-,46.49,43.83,2.68,-,24.47,-,3.07,-,-,0.43,1.74,-,-
25,Current Unearned Revenue,-,2512,2038,1386,1382,1497,1506,1633,1397,922.17,1087,-,487.55,445.14,-,218.02
26,Other Current Liabilities,-,324.56,268.41,182.45,199.62,246.13,256.9,212.64,197.51,119.9,159.98,-,91.34,58.86,-,29.39
27,Total Current Liabilities,-,5276,4647,3427,2982,3332,3205,3114,2947,1919,1878,-,1016,912.55,-,502.41
28,Long-Term Debt,-,2716,2856,2424,1871,840,550,570,270,-,-,-,-,-,-,-
29,Long-Term Leases,-,8.8,9.46,9.68,2.41,-,0.7,0.7,1,1.73,0.7,-,0.88,0.9,-,-
30,Long-Term Unearned Revenue,-,293.44,305.5,352.35,400.57,429.96,239.47,259.01,289.15,313.92,228.86,-,258.25,216.23,-,257.93
31,Long-Term Deferred Tax Liabilities,-,9.66,9.31,6.33,6.2,0.3,0.36,-,0.49,-,-,-,-,0,-,-
32,Other Long-Term Liabilities,-,114.74,94.05,93.31,115.99,116.58,117.46,102.93,98.36,81.8,64.17,-,49.43,35.35,-,25.28
33,Total Liabilities,-,8419,7921,6313,5378,4719,4113,4047,3606,2316,2172,-,1324,1165,-,785.62
34,Common Stock,-,278.32,278.32,188.19,188.19,187.19,126.48,126.48,126.48,126.48,126.48,-,94.86,94.86,-,94.86
35,Additional Paid-In Capital,-,3380,3324,3364,3313,3190,3209,3164,3122,3102,3100,-,1003,1002,-,1001
36,Retained Earnings,-,1299,1157,1104,1093,701.6,555.14,517.23,463.46,332.48,203.11,-,94.99,84.47,-,16.18
37,Treasury Stock,-,-197.26,-197.26,-35.88,-,-,-,-,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,-,0.23,-0.64,-0.01,-0.01,-0,0,-,-,-,-,-,-,-,-,-
39,Total Common Equity,4760,4760,4561,4620,4594,4079,3891,3808,3711,3561,3430,1193,1193,1181,1113,1113
40,Minority Interest,-,-13.59,-8.97,-4.91,-2.22,-5,-2.69,-5.1,-3.64,-2.02,-0.8,-,0.73,-0.63,-,0.03
41,Shareholders' Equity,4746,4746,4552,4615,4592,4074,3888,3803,3708,3559,3429,1193,1193,1180,1113,1113
42,Total Liabilities & Equity,-,13165,12473,10928,9969,8793,8001,7849,7314,5876,5601,-,2518,2345,-,1898
43,Total Debt,3081,3081,3226,2588,2010,1280,972.37,972.23,672.86,2.36,1.51,1.51,1.51,0.9,-,-
44,Net Cash (Debt),-1041,-1041,-720.76,-172.58,694.9,1313,2214,2982,3201,2844,3279,963.28,963.28,804.41,921.13,921.13
45,Net Cash Growth,-,-,-,-,-78.29%,-53.82%,-32.47%,209.59%,232.26%,253.55%,255.95%,4.58%,-,-,-,-
46,Net Cash Per Share,-3.72,-3.75,-2.38,-0.67,2.44,4.61,7.92,10.88,11.34,10.26,12.62,4.82,4.61,3.89,4.39,4.43
47,Filing Date Shares Outstanding,277.05,277.05,277.05,278.24,278.24,277.04,277.04,277.04,277.04,277.04,277.04,199.97,277.04,207.78,209.97,207.78
48,Total Common Shares Outstanding,277.05,277.05,277.05,278.24,278.52,277.04,277.04,277.04,277.04,277.04,277.04,199.97,207.78,207.78,209.97,207.78
49,Working Capital,-,5726,5934,5915,5475,4400,4055,4187,3873,3496,3337,-,1159,1124,-,1189
50,Book Value Per Share,17.18,17.18,16.46,16.61,16.49,14.72,14.04,13.75,13.40,12.86,12.38,5.74,5.74,5.68,5.35,5.35
51,Tangible Book Value,4596,4596,4400,4530,4502,3986,3801,3765,3668,3518,3386,1150,1150,1144,1075,1075
52,Tangible Book Value Per Share,16.59,16.59,15.88,16.28,16.16,14.39,13.72,13.59,13.24,12.70,12.22,5.53,5.53,5.51,5.17,5.17
53,Buildings,-,-,385.97,-,266.62,-,263.92,-,262.44,-,162.47,-,160.71,141.08,-,140.9
54,Machinery,-,-,527.29,-,482.6,-,313.18,-,211.86,-,136.22,-,124.81,83.32,-,79.75
55,Construction In Progress,-,-,329.85,-,116.54,-,61.1,-,10.6,-,98.98,-,73.32,100.39,-,-
