,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,49566,42575,39896,33395,35475,43297,44590,53876,35661,27414,37754,19617,-,-,-,-,-
1,Market Cap Growth,-1.67%,-1.67%,-10.53%,-38.02%,-0.52%,57.93%,18.11%,174.64%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,50594,43602,40607,33563,34157,41978,42373,50889,32815,24568,34474,18654,-,-,-,-,-
3,Last Close Price,178.00,153.67,144.00,120.11,127.15,156.02,160.68,193.98,128.39,98.70,135.93,70.63,-,-,-,-,-
4,PE Ratio,71.77,61.84,60.19,50.06,57.28,65.35,110.89,139.97,82.15,74.40,152.30,99.77,-,-,-,-,-
5,Forward PE,48.44,45.97,40.99,34.33,37.57,58.77,66.81,89.50,83.17,74.20,186.02,134.52,-,-,-,-,-
6,PS Ratio,12.04,10.38,12.16,11.25,12.79,16.01,18.45,24.65,17.83,16.07,27.45,16.79,-,-,-,-,-
7,PB Ratio,10.36,8.97,8.41,7.34,7.69,9.43,10.95,13.86,9.38,7.39,10.61,5.72,-,-,-,-,-
8,P/TBV Ratio,9.26,9.26,8.68,7.59,7.83,9.62,11.19,14.18,9.47,7.47,10.73,5.79,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,200.76,-,80.15,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-,-,-,-,110.71,-,45.44,-,-,-,-,-
11,EV/Sales Ratio,12.33,10.63,12.38,11.31,12.31,15.52,17.53,23.28,16.40,14.40,25.06,15.96,-,-,-,-,-
12,EV/EBITDA Ratio,69.91,59.78,139.75,126.23,-,128.38,177.50,261.11,132.13,-,438.13,588.49,-,-,-,-,-
13,EV/EBIT Ratio,74.61,64.30,169.71,153.05,-,143.91,203.59,305.40,146.21,-,575.79,1438.37,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,179.92,-,76.22,-,-,-,-,-
15,Debt / Equity Ratio,0.65,0.65,0.65,0.71,0.56,0.44,0.31,0.25,0.26,0.18,0.00,0.00,0.00,0.00,0.00,-,-
16,Debt / EBITDA Ratio,4.26,1.64,3.96,8.73,-,15.91,1.88,4.01,3.60,-,0.00,0.00,-,-,0.00,-,-
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,4.93,-,0.01,0.01,-0.12,-,-,-
18,Asset Turnover,-,0.32,0.27,0.18,0.43,0.33,0.30,0.21,0.43,0.33,-,-,0.63,-,-,-,
19,Inventory Turnover,-,-,0.36,0.28,0.20,0.47,0.36,0.42,0.32,0.69,0.51,-,-,0.94,-,-,-
20,Quick Ratio,-,-,0.58,0.71,0.87,1.09,0.93,1.06,1.34,1.42,1.55,1.82,-,1.06,1.10,-,2.00
21,Current Ratio,-,-,2.09,2.28,2.73,2.84,2.32,2.27,2.34,2.31,2.82,2.78,-,2.14,2.23,-,3.37
22,Return on Equity (ROE),36.12%,11.84%,10.00%,0.68%,36.41%,14.47%,7.62%,5.57%,14.25%,14.66%,20.62%,-4.22%,3.33%,27.07%,-3.57%,-,
23,Return on Assets (ROA),-,3.57%,1.55%,-0.83%,0.49%,4.86%,1.56%,2.00%,-2.47%,5.30%,-,-,-15.48%,-,-,-,
24,Return on Capital (ROIC),14.60%,5.87%,2.42%,-1.26%,0.77%,7.99%,2.57%,3.32%,-4.10%,8.70%,11.59%,-3.85%,-31.69%,16.29%,-3.73%,-,
25,Return on Capital Employed (ROCE),-,-,3.03%,2.80%,-,4.17%,3.81%,3.47%,4.74%,-,1.51%,0.35%,-,-,2.99%,-,-
26,Earnings Yield,1.39%,1.62%,1.66%,2.00%,1.75%,1.53%,0.90%,0.71%,1.22%,1.34%,0.66%,1.00%,-,-,-,-,-
27,FCF Yield,-,-5.20%,-7.26%,-7.64%,-4.94%,-2.84%,-1.89%,-0.51%,0.50%,-0.10%,1.25%,-,-,-,-,-,
28,Dividend Yield,0.13%,-,-,-,-,0.15%,-,-,-,0.12%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,14.11%,70.66%,131.69%,2.72%,27.33%,16.78%,-,1.13%,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,0.35%,1.57%,2.40%,-8.34%,5.71%,-0.75%,-2.67%,-7.51%,-37.13%,-35.05%,-34.14%,-23.77%,3.76%,-,-,-,-
31,Total Shareholder Return,0.48%,1.57%,2.40%,-8.34%,5.71%,-0.60%,-2.67%,-7.51%,-37.13%,-34.93%,-34.14%,-23.77%,3.76%,-,-,-,-
