,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,1826,1062,743.94,471.79,931.99,712.67,587.46,402.38,693.77,474.86,409.15,107.52,384.07,269,51.95,52.94
1,Other Revenue,-,-51.16,51.16,-,70.47,-13.88,13.88,-,20.27,-6.55,6.55,-,-,-7.66,2.86,4.8
2,Revenue,1826,1011,795.1,471.79,1002,698.8,601.33,402.38,714.04,468.31,415.7,107.52,384.07,261.34,54.81,57.74
3,Revenue Growth (YoY),82.11%,44.67%,32.22%,17.25%,40.39%,49.22%,44.66%,274.24%,85.92%,79.19%,658.42%,86.21%,-,-,-,-
4,Cost of Revenue,-1285,612.11,424.14,248.59,496.78,325.61,317.67,202.08,376.18,233.45,222.42,56.51,228.1,133,29.13,40.58
5,Gross Profit,3110,398.81,370.96,223.2,505.68,373.19,283.67,200.3,337.86,234.86,193.28,51,155.96,128.34,25.68,17.16
6,"Selling, General & Admin",-390.92,164.52,130.84,95.56,157.81,103.17,121.13,88.24,117.56,70.97,55.11,29.66,65.09,35.07,22.13,19.21
7,Research & Development,-480.53,166.22,161.1,153.21,221.92,143.94,124.05,86.03,157.92,103.3,70.65,46.87,158.75,48.88,53.53,27.15
8,Other Operating Expenses,3544,-122.66,2.41,1.81,104.47,-40.48,-12.27,-34.45,125.96,-61.49,-40.56,-6.75,82.62,-30.5,-31.89,-13.68
9,Operating Expenses,2653,215.7,298.38,258.03,487.27,210.07,234.22,139.58,403.01,113.24,86.04,69.42,306.54,53.63,42.3,32.38
10,Operating Income,457.26,183.11,72.58,-34.82,18.41,163.12,49.45,60.72,-65.16,121.62,107.25,-18.42,-150.58,74.71,-16.61,-15.22
11,Interest Expense,-25.72,-20.01,-18.3,-14.2,-11.7,-7.34,-7.09,-4.91,-2.01,-,-,-,-0.04,-,-,-
12,Interest & Investment Income,52.51,5.77,7.65,12.3,22.13,8.65,20.39,13.73,20.05,14.1,5.61,4.91,3.59,5.58,5.46,4.07
13,Earnings From Equity Investments,-,-,2.03,-2.03,-,-,-,-,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),-,12.46,-12.46,-,-17.75,6.44,-6.44,-,-9.47,0.18,-0.18,-,1.13,-0.61,-0.03,0.64
15,Other Non Operating Income (Expenses),15.71,-13.6,4.2,-6.48,4.84,-5.88,-4.14,3.48,-1.45,-7.04,6.24,1.15,-1.4,0.01,1.25,-0.08
16,EBT Excluding Unusual Items,499.75,167.73,55.71,-45.23,15.93,165,52.16,73.01,-58.04,128.86,118.91,-12.36,-147.3,79.7,-9.94,-10.59
17,Gain (Loss) on Sale of Investments,-79.55,77.85,5.2,-3.5,100.18,-6.53,-1.86,2.23,16.26,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,-0.01,0.02,-0.03,0.01,0.01,0.05,-0.04,0.01,0.02,0.01,0.03,0.02,-0.01,-0.01,-,-
19,Asset Writedown,3.6,-3.6,1.69,-1.69,14.58,-14.58,2.2,-2.2,0.59,-0.72,0.24,-0.24,1.77,-1.77,-,-
20,Other Unusual Items,0.17,-107.13,48.79,58.17,328.74,-,-,-,170.58,-,-,-,155.53,-,-,-
21,Pretax Income,423.97,134.87,111.36,7.76,459.43,143.95,52.47,73.06,129.41,128.15,119.17,-12.58,10,77.91,-9.94,-10.59
22,Income Tax Expense,-4.58,-2.7,-3.2,-0.02,65.08,-0.07,-20.78,20.81,-0.07,0.11,0.01,-,0.12,0.33,-,-
23,Earnings From Continuing Operations,428.55,137.57,114.56,7.78,394.35,144.02,73.25,52.25,129.48,128.04,119.16,-12.58,9.88,77.58,-9.94,-10.59
24,Minority Interest in Earnings,-11.37,4.62,4.06,2.69,-2.79,2.44,-2.41,1.47,1.61,1.22,0.83,0.71,0.64,0.42,0.24,0.26
25,Net Income,417.17,142.19,118.62,10.47,391.57,146.45,70.85,53.72,131.09,129.26,119.99,-11.88,10.52,77.99,-9.7,-10.33
26,Net Income to Common,417.17,142.19,118.62,10.47,391.57,146.45,70.85,53.72,131.09,129.26,119.99,-11.88,10.52,77.99,-9.7,-10.33
27,Net Income Growth,6.54%,-2.91%,67.43%,-80.51%,198.69%,13.30%,-40.96%,-,1145.82%,65.73%,-,-,-,-,-,-
28,Shares Outstanding (Basic),280,269,303,259,278,276,279,274,278,277,260,200,209,207,210,208
29,Shares Outstanding (Diluted),280,278,303,259,284,285,279,274,282,277,260,200,209,207,210,208
30,Shares Change (YoY),-1.57%,-2.40%,8.34%,-5.71%,0.75%,2.67%,7.51%,37.13%,35.05%,34.14%,23.77%,-3.76%,-,-,-,-
31,EPS (Basic),1.49,0.53,0.39,0.04,1.41,0.53,0.25,0.20,0.47,0.47,0.46,-0.06,0.05,0.38,-0.05,-0.05
32,EPS (Diluted),1.49,0.51,0.39,0.04,1.38,0.51,0.25,0.20,0.46,0.47,0.46,-0.06,0.05,0.38,-0.05,-0.05
33,EPS Growth,8.24%,-0.52%,54.54%,-79.33%,196.46%,10.35%,-45.08%,-,822.48%,23.55%,-,-,-,-,-,-
34,Free Cash Flow,-,-307.99,-397.2,-840.14,-529.74,-657.7,-683.23,-267.49,340.73,-406.84,153,49.66,168.08,-125.98,25.41,-79.67
35,Free Cash Flow Per Share,-,-1.11,-1.31,-3.25,-1.86,-2.31,-2.45,-0.98,1.21,-1.47,0.59,0.25,0.80,-0.61,0.12,-0.38
36,Dividend Per Share,-,-,-,-,0.236,-,-,-,0.119,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-,99.24%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,170.38%,39.45%,46.66%,47.31%,50.44%,53.40%,47.17%,49.78%,47.32%,50.15%,46.50%,47.44%,40.61%,49.11%,46.86%,29.72%
39,Operating Margin,25.05%,18.11%,9.13%,-7.38%,1.84%,23.34%,8.22%,15.09%,-9.12%,25.97%,25.80%,-17.13%,-39.21%,28.59%,-30.31%,-26.37%
40,Profit Margin,22.85%,14.07%,14.92%,2.22%,39.06%,20.96%,11.78%,13.35%,18.36%,27.60%,28.86%,-11.05%,2.74%,29.84%,-17.71%,-17.88%
41,Free Cash Flow Margin,-,-30.47%,-49.96%,-178.07%,-52.84%,-94.12%,-113.62%,-66.48%,47.72%,-86.87%,36.81%,46.19%,43.76%,-48.20%,46.35%,-137.98%
42,EBITDA,468.66,194.52,89.65,-23.42,29.82,169.83,59.92,67.43,-58.45,126,113.37,-14.04,-146.65,79.01,-12.23,-11.06
43,EBITDA Margin,25.67%,19.24%,11.28%,-4.96%,2.97%,24.30%,9.97%,16.76%,-8.19%,26.91%,27.27%,-13.05%,-38.18%,30.23%,-22.31%,-19.15%
44,D&A For EBITDA,11.41,11.41,17.08,11.41,11.41,6.71,10.48,6.71,6.71,4.38,6.12,4.38,3.93,4.3,4.38,4.17
45,EBIT,457.26,183.11,72.58,-34.82,18.41,163.12,49.45,60.72,-65.16,121.62,107.25,-18.42,-150.58,74.71,-16.61,-15.22
46,EBIT Margin,25.05%,18.11%,9.13%,-7.38%,1.84%,23.34%,8.22%,15.09%,-9.12%,25.97%,25.80%,-17.13%,-39.21%,28.59%,-30.31%,-26.37%
47,Effective Tax Rate,-,-,-,-,14.17%,-,-,28.48%,-,0.08%,0.01%,-,1.17%,0.43%,-,-
48,Revenue as Reported,-,1011,795.1,471.79,1002,698.8,601.33,402.38,714.04,468.31,415.7,107.52,384.07,261.34,112.55,-
