,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,597.25,698.15,507.67,1116,863.19,892.11,559.02,827.18,713.21,717.12,1114,120.12,34.03,-,-,82.35,82.35,89.17,89.17
1,Trading Asset Securities,877.72,660.02,827,327,604,110,160,130,65,195,-,-,0.38,-,-,-,-,-,-
2,Cash & Short-Term Investments,1475,1358,1335,1443,1467,1002,719.02,957.18,778.21,912.12,1114,120.12,34.41,-,82.35,82.35,82.35,89.17,89.17
3,Cash Growth,0.53%,35.53%,85.62%,50.76%,88.53%,9.87%,-35.44%,696.82%,2161.83%,-,1252.45%,45.88%,-58.22%,-,-7.65%,-,-,-,-
4,Accounts Receivable,842.86,713.61,679.84,971.46,1113,986.12,1165,1047,841.3,686.61,661.05,601.94,502.83,-,-,468.55,468.55,352.09,352.09
5,Other Receivables,55.67,34.13,30.32,25.64,138.97,96.78,83.96,66.01,24.49,26.26,14.58,13.12,5.14,-,-,23.22,23.22,9.1,9.1
6,Receivables,898.53,780.36,710.16,997.1,1252,1083,1249,1113,865.78,712.87,675.62,615.06,507.98,-,-,491.78,491.78,361.19,361.19
7,Inventory,1001,991.57,820.55,803.53,861.47,816.97,854.61,737.41,606.32,466.82,439.34,348.55,305.53,-,-,187.49,187.49,190.9,190.9
8,Other Current Assets,179.97,140.86,195.74,143.13,90.25,93.42,114.26,94.53,73.07,66.07,36,19.3,20.39,-,-,8.96,8.96,27.5,27.5
9,Total Current Assets,3554,3271,3061,3387,3671,2995,2936,2902,2323,2158,2265,1103,868.3,-,-,770.57,770.57,668.75,668.75
10,"Property, Plant & Equipment",1815,1832,1827,1818,1730,1688,1572,1544,1070,970.85,869.38,846.54,776.69,-,-,690.62,690.62,700.68,700.68
11,Other Intangible Assets,203.23,156.17,157.62,159.06,126.47,127.75,128,110.56,111.01,111.12,110.74,111.77,112.68,-,-,131.41,131.41,106.45,106.45
12,Long-Term Deferred Tax Assets,70.07,66.08,69.23,59.01,74.27,65.41,55.5,51.53,20.38,18.48,15.02,15.02,11.08,-,-,10.71,10.71,14.07,14.07
13,Long-Term Deferred Charges,77.66,77.48,83.79,80.05,52.03,52.68,47.45,41.85,35.82,33.74,20.34,20.49,13.22,-,-,9.11,9.11,15.07,15.07
14,Other Long-Term Assets,334.62,223.25,180.26,137.02,55.69,59.63,53.47,39.87,265.83,143.55,66.49,46.44,16.5,-,-,12.42,12.42,10.57,10.57
15,Total Assets,6054,5626,5379,5640,5710,4988,4793,4690,3826,3436,3347,2143,1798,-,-,1625,1625,1516,1516
16,Accounts Payable,1275,1182,870.77,1159,1410,1445,1432,1522,900.89,756.54,613.16,676.74,415.88,-,-,415.4,415.4,254.22,254.22
17,Accrued Expenses,45.33,54.74,52.8,79.18,42,55.17,41.91,90.68,39.14,36.63,28.84,41.38,24.07,-,-,20.97,20.62,20.51,20.51
18,Short-Term Debt,985.71,589.67,449.54,453.56,404.85,689.34,588.18,495.56,389.47,273.18,300.72,162.82,111.47,-,-,66.39,66.39,112.63,112.63
19,Current Portion of Long-Term Debt,13.96,45,60.38,6.04,24.27,84.41,76.61,60.3,114.95,119.22,86.16,55.22,-,-,-,40,40,30.06,30.06
20,Current Portion of Leases,-,13.03,-,28.95,-,-,-,19.62,-,-,-,30.93,-,-,-,31.91,-,52.73,52.73
21,Current Income Taxes Payable,1.78,3.04,21.12,15.29,36.49,18.98,23.43,7.75,32.24,12.08,33.14,14.22,8.71,-,-,14.89,14.89,10.26,10.26
22,Current Unearned Revenue,7.56,29.16,5.92,41.35,8.49,7.55,7.29,5.65,6.83,4.28,3.72,3.46,1.94,-,-,1.83,1.83,21.76,21.76
23,Other Current Liabilities,131.17,22.27,61.3,52.29,54.76,47.61,39.08,35.05,76.69,27,49.75,48.14,162.17,-,-,23.12,55.36,46.42,46.42
24,Total Current Liabilities,2461,1939,1522,1836,1981,2348,2208,2237,1560,1229,1115,1033,724.25,-,-,614.51,614.51,548.58,548.58
25,Long-Term Debt,1074,1151,1136,1065,1052,95,100,50,80,80,110,110,135,-,-,165,165,215,215
26,Long-Term Leases,103.94,95.16,103.6,99,112.03,117.06,119.03,129.11,126.97,128.45,169.17,170.81,168.4,-,-,180.14,180.14,176.61,176.61
27,Long-Term Unearned Revenue,37.26,38.18,36.54,37.4,26.26,27.06,27.88,28.71,29.54,30.09,30.87,31.65,21.13,-,-,20.16,20.16,18.89,18.89
28,Long-Term Deferred Tax Liabilities,23.05,23.19,21.74,23.05,26.25,26.72,32.3,32.98,-,-,-,-,0.07,-,-,-,-,-,-
29,Total Liabilities,3699,3247,2820,3060,3198,2614,2487,2478,1797,1467,1426,1345,1049,-,-,979.81,979.81,959.08,959.08
