,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,821.44,508.62,555.28,906.51,1086,1084,971.38,1119,807.71,696.17,576.62,581.08,480.37,395.56,370.35,423.3,423.3,330.94,330.94
1,Other Revenue,-42.1,42.1,-,21.9,-13.16,13.16,-,19.89,-6.42,6.42,-,10.38,-3.2,3.2,-,2.85,2.85,1.15,1.15
2,Revenue,779.34,550.72,555.28,928.4,1073,1097,971.38,1138,801.3,702.58,576.62,591.46,477.16,398.77,370.35,426.15,426.15,332.09,332.09
3,Revenue Growth (YoY),-27.36%,-49.79%,-42.84%,-18.45%,33.90%,56.11%,68.46%,92.48%,67.93%,76.19%,55.70%,38.79%,11.97%,20.08%,11.52%,-,-,-,-
4,Cost of Revenue,649.38,488.8,495.35,809.89,833.29,915.29,766.15,887.1,618.48,572.13,460.63,493.46,373.37,327.66,299.41,343.72,343.72,254.79,254.79
5,Gross Profit,129.96,61.91,59.93,118.51,239.63,181.53,205.23,251.36,182.81,130.46,115.98,98,103.79,71.11,70.94,82.44,82.44,77.31,77.31
6,"Selling, General & Admin",75.14,68.54,53.68,60.54,49.79,45.96,37.43,36.14,31.17,24.52,21.2,23.71,21.7,19.7,17.91,18.01,19.68,20.23,20.23
7,Research & Development,34.3,35.45,32.7,51.53,50.32,49.31,45.9,46.32,37.92,28.34,19.93,21.68,17.91,15.73,14.03,13.51,13.51,15.62,15.62
8,Other Operating Expenses,-8.1,3.6,3.13,12.92,2.34,1.92,2.08,14.02,-0.68,0.51,2.79,9.39,-0.44,1.1,1.34,2.91,2.91,1.93,1.93
9,Operating Expenses,106.05,109.18,75.31,108.92,109.76,90.97,90.31,109.83,75.63,59.55,44.51,58.99,42.53,35,33.28,36.37,38.05,34.67,34.67
10,Operating Income,23.91,-47.27,-15.38,9.59,129.87,90.57,114.92,141.52,107.19,70.91,71.47,39.01,61.26,36.12,37.66,46.07,44.39,42.63,42.63
11,Interest Expense,-20.98,-43.26,-,-17.54,-14.46,-18.46,-,-10.24,-4.91,-5.7,-3.78,-4.71,-4.5,-2.85,-4.37,-3.8,-3.8,-5.85,-5.85
12,Interest & Investment Income,2.22,8.77,2.64,7.33,4.37,4.57,0.57,2.55,2.99,3.4,0.05,1.02,-,0.52,0.08,15.96,15.96,0.26,0.26
13,Currency Exchange Gain (Loss),2.84,-2.84,-,11.37,-11.1,11.1,-,1.18,-3.68,3.68,-,-6.1,3.02,-3.02,-,-7.27,-7.27,1.24,1.24
14,Other Non Operating Income (Expenses),-5.48,19.29,-19.58,-9.89,9.96,10.9,-10.45,-10.87,11.77,1.23,-1.01,3.21,-1.91,-0.73,0.88,-0.43,-0.43,0.58,0.58
15,EBT Excluding Unusual Items,2.52,-65.32,-32.32,0.87,118.64,98.68,105.05,124.14,113.36,73.51,66.74,32.44,57.87,30.04,34.25,50.53,48.85,38.87,38.87
