,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,8028,7460,6220,9780,11932,11196,16748,18084,20085,18448,15360,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-33.37%,-33.37%,-62.86%,-45.92%,-40.59%,-39.31%,9.04%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8730,7996,6635,9906,12058,11180,16913,17882,20018,18137,14913,-,-,-,-,-,-,-,-,-
3,Last Close Price,20.11,18.65,15.55,24.08,29.38,27.57,41.03,44.20,49.09,45.01,37.47,-,-,-,-,-,-,-,-,-
4,PE Ratio,-,-109.71,-,-,37.33,23.60,35.35,41.20,49.84,68.97,71.49,-,-,-,-,-,-,-,-,-
5,Forward PE,-,9.19,7.66,12.55,16.26,16.74,20.73,22.38,28.57,31.48,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.86,2.65,2.00,2.68,2.93,2.62,4.18,5.00,6.24,6.90,6.54,-,-,-,-,-,-,-,-,-
7,PB Ratio,3.41,3.17,2.61,3.82,4.63,4.46,7.05,7.84,9.08,9.09,7.80,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,3.47,3.47,2.80,4.07,4.93,4.69,7.45,8.30,9.55,9.62,8.27,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-106.64,-,-51.95,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-,46.30,-,863.18,-,-197.59,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,3.10,2.84,2.14,2.71,2.96,2.61,4.22,4.95,6.22,6.79,6.35,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,43.09,62.54,-,27.62,25.51,19.01,30.17,34.17,42.16,49.49,46.57,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-274.34,-,-,34.96,23.44,37.24,41.15,51.18,62.85,61.46,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-10.18,-,-,-,-,-,-107.69,-,-51.78,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.92,0.92,0.80,0.68,0.64,0.63,0.42,0.38,0.34,0.35,0.31,0.35,0.66,0.55,-,0.75,0.75,0.70,1.05,1.05
16,Debt / EBITDA Ratio,10.75,8.47,217.16,17.54,5.79,2.59,1.76,1.59,1.04,1.41,1.53,1.84,2.17,1.30,-,2.18,1.84,1.81,2.46,2.46
17,Debt / FCF Ratio,-,-,-,-,-,-,-6.28,-,-1.95,-,-,-,-9.06,-,-,-,3.92,5.09,10.81,21.62
18,Asset Turnover,0.53,0.40,0.40,0.65,0.80,0.90,0.82,1.07,0.88,0.83,0.84,1.20,-,-,-,1.05,1.09,0.88,-,
19,Inventory Turnover,2.62,2.61,2.16,2.44,3.89,3.97,4.38,3.85,5.28,4.61,5.05,4.68,6.04,-,-,-,7.33,7.27,5.34,-
20,Quick Ratio,0.96,0.96,1.09,1.34,1.33,1.37,0.89,0.89,0.93,1.05,1.32,1.60,0.71,0.75,-,-,0.93,0.93,0.82,0.82
21,Current Ratio,1.44,1.44,1.69,2.01,1.85,1.85,1.28,1.33,1.30,1.49,1.76,2.03,1.07,1.20,-,-,1.25,1.25,1.22,1.22
22,Return on Equity (ROE),0.17%,-12.60%,-3.01%,4.42%,15.90%,17.41%,16.38%,34.49%,19.31%,13.78%,16.64%,24.51%,-,-,19.23%,30.98%,32.14%,26.02%,-,
23,Return on Assets (ROA),1.02%,-2.15%,-0.70%,0.42%,6.07%,4.63%,6.06%,8.31%,7.38%,5.23%,6.51%,4.95%,-,-,-,7.09%,7.07%,7.03%,-,
24,Return on Capital (ROIC),1.36%,-2.75%,-0.90%,0.57%,8.70%,6.91%,9.33%,12.40%,10.09%,6.88%,9.13%,7.83%,-,-,8.34%,10.35%,9.91%,9.32%,-,
25,Return on Capital Employed (ROCE),-,-0.81%,-,-,9.07%,12.79%,17.20%,16.81%,15.94%,12.74%,11.00%,9.32%,15.67%,16.86%,-,-,17.39%,12.83%,8.82%,4.41%
26,Earnings Yield,-0.85%,-0.91%,0.45%,2.12%,2.68%,4.24%,2.83%,2.43%,2.01%,1.45%,1.40%,-,-,-,-,-,-,-,-,-
27,FCF Yield,-10.69%,-11.50%,-11.28%,-1.11%,-2.65%,-0.90%,-0.94%,-3.01%,-1.92%,-2.71%,-2.30%,-,-,-,-,-,-,-,-,-
28,Dividend Yield,1.21%,-,-,-,1.36%,-,0.61%,-,0.41%,-,0.27%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,919.60%,-,-,21.36%,64.16%,42.41%,2.90%,11.44%,5.22%,35.08%,3.85%,6.73%,6.34%,15.13%,9.07%,20.98%,21.70%,31.70%,31.70%
30,Buyback Yield / Dilution,0.19%,3.07%,-8.11%,3.95%,1.59%,1.15%,1.11%,-13.77%,-11.10%,-11.15%,-7.75%,-2.63%,-2.52%,-3.19%,-1.36%,4.85%,-,-,-,-
31,Total Shareholder Return,1.40%,3.07%,-8.11%,3.95%,2.95%,1.15%,1.72%,-13.77%,-10.69%,-11.15%,-7.49%,-2.63%,-2.52%,-3.19%,-1.36%,4.85%,-,-,-,-
