,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,1054,1241,2313,1947,1800,1777,1728,807.01,1177,1377,3248,320.4,-,341.42,-
1,Trading Asset Securities,-,812.35,625.56,-,300.17,-,150.25,280.6,1493,1102,1582,-,-,-,-,-
2,Cash & Short-Term Investments,1866,1866,1866,2313,2247,1800,1928,2008,2300,2279,2960,3248,320.4,-,341.42,148.22
3,Cash Growth,-16.95%,3.69%,-3.19%,15.16%,-2.31%,-21.05%,-34.87%,-38.17%,617.87%,-,766.86%,2091.16%,-,-,-,-
4,Accounts Receivable,-,648.13,650.12,914.84,837.03,802.91,474.74,358.7,117.59,93.98,42.1,39.91,18.88,-,23.63,-
5,Other Receivables,-,3.12,3.18,2.76,2.36,4.46,4.54,4.45,5.28,4.74,5.23,4.97,-,-,4.76,-
6,Receivables,-,651.25,653.3,917.6,839.38,807.37,479.29,363.15,122.87,98.71,47.32,44.88,19.38,-,28.39,-
7,Inventory,-,750.45,767.96,569.67,464.35,555.13,470.17,302.77,297.72,212,175.66,164.91,153.55,-,123.18,-
8,Other Current Assets,-,56.77,79.25,59.25,53.72,66.94,70.18,68.43,89.46,79.18,49.49,209.62,199.4,-,146.66,-
9,Total Current Assets,-,3325,3367,3859,3604,3229,2947,2742,2810,2669,3232,3667,692.72,-,639.65,-
10,"Property, Plant & Equipment",-,4998,5017,5046,5002,4829,4703,4400,4046,3552,3218,2817,2696,-,2137,-
11,Other Intangible Assets,-,402.82,405.05,406.49,410.11,412.18,415.82,185.12,184.87,186.75,188.87,190.29,189.53,-,163.39,-
12,Long-Term Deferred Tax Assets,-,86.4,86.4,82.02,82.02,44.29,42.61,23.4,24.42,-,-,-,-,-,-,-
