,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,19593,17937,20115,18270,27657,27279,27144,33012,34794,38853,34020,33741,-,-,-,-,-
1,Market Cap Growth,-34.25%,-34.25%,-25.90%,-44.66%,-20.51%,-29.79%,-20.21%,-2.16%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,20026,18370,20667,18547,27710,27562,26971,32416,33777,37735,32849,32748,-,-,-,-,-
3,Last Close Price,21.77,19.93,22.35,20.30,30.61,30.19,30.04,36.54,38.40,42.88,37.55,37.24,-,-,-,-,-
4,PE Ratio,-,-,-,-,120.94,85.79,57.19,54.46,56.27,64.21,67.69,89.29,-,-,-,-,-
5,Forward PE,141.89,120.82,94.27,49.01,79.06,36.10,27.99,30.36,36.68,45.52,48.61,55.35,-,-,-,-,-
6,PS Ratio,12.77,11.52,11.37,9.44,12.93,12.08,12.62,15.09,16.54,19.48,17.71,20.39,-,-,-,-,-
7,PB Ratio,4.13,3.78,4.24,3.83,5.66,5.63,5.63,6.95,7.33,8.42,7.67,7.97,-,-,-,-,-
8,P/TBV Ratio,4.13,4.13,4.64,4.18,6.17,6.15,6.16,7.62,7.63,8.77,8.01,8.35,-,-,-,-,-
9,P/FCF Ratio,-,-,-437.81,-,-,-28.81,-,-,-,-,-,-39.93,-,-,-,-,-
10,P/OCF Ratio,-,-,27.26,45.64,-,111.97,-,-,47.02,46.52,39.09,41.49,-,-,-,-,-
11,EV/Sales Ratio,12.86,11.80,11.68,9.58,12.95,12.20,12.54,14.82,16.06,18.92,17.10,19.79,-,-,-,-,-
12,EV/EBITDA Ratio,244.10,-,86.56,69.64,78.80,61.02,43.65,44.10,44.19,50.07,47.72,58.76,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-1064.44,-,201.67,-,60.81,55.90,54.18,59.74,56.09,70.59,-,-,-,-,-
14,EV/FCF Ratio,-,-,-449.83,-,-,-29.11,-,-,-,-,-,-38.75,-,-,-,-,-
15,Debt / Equity Ratio,0.48,0.48,0.48,0.51,0.53,0.47,0.43,0.37,0.30,0.28,0.26,0.42,0.55,1.32,-,0.98,0.62
16,Debt / EBITDA Ratio,28.02,-,6.16,14.55,7.68,24.37,4.31,3.47,1.92,1.71,1.22,2.89,3.25,3.35,-,2.59,2.78
17,Debt / FCF Ratio,-,-,-50.03,-,-,-2.43,-,-,-,-,-,-2.12,-,-,-,-,-
18,Asset Turnover,-,0.17,0.12,0.19,0.29,0.26,0.25,0.30,0.31,0.34,0.22,0.33,-,-,-,-,
19,Inventory Turnover,-,-,1.71,1.46,2.59,4.35,2.91,3.24,4.48,4.54,5.78,5.33,6.23,-,-,-,-
20,Quick Ratio,-,-,1.63,1.55,1.66,1.47,1.27,1.35,1.62,1.87,2.33,3.44,2.52,0.27,-,0.38,-
21,Current Ratio,-,-,2.16,2.07,1.98,1.72,1.58,1.66,1.88,2.17,2.61,3.70,2.80,0.56,-,0.65,-
22,Return on Equity (ROE),-9.31%,-2.80%,-1.39%,3.43%,2.05%,6.03%,7.58%,11.20%,16.03%,18.80%,9.77%,17.57%,-,-,32.10%,-,
23,Return on Assets (ROA),-,0.88%,-0.93%,0.61%,-1.09%,2.37%,2.32%,4.80%,5.23%,7.80%,4.08%,6.91%,-,-,-,-,
24,Return on Capital (ROIC),-6.45%,1.14%,-1.21%,0.80%,-1.41%,2.98%,2.91%,5.94%,6.37%,9.31%,4.72%,8.19%,-,-,11.80%,-,
25,Return on Capital Employed (ROCE),-,-,-0.25%,-,1.75%,-,6.68%,9.06%,10.02%,10.61%,10.22%,7.43%,7.29%,12.97%,-,6.34%,-
26,Earnings Yield,-0.61%,-0.66%,0.08%,0.67%,0.83%,1.17%,1.75%,1.84%,1.78%,1.56%,1.48%,1.12%,-,-,-,-,-
27,FCF Yield,-,-0.23%,-2.91%,-2.59%,-3.47%,-4.66%,-2.66%,-1.04%,-1.03%,-2.14%,-2.50%,-,-,-,-,-,
28,Dividend Yield,0.48%,-,-,-,-,0.35%,-,-,-,0.23%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,39.92%,66.94%,17.03%,114.25%,9.02%,6.24%,7.32%,18.44%,16.79%,16.72%,13.64%,10.30%,15.90%
30,Buyback Yield / Dilution,-0.53%,-18.92%,6.73%,7.30%,4.37%,-5.97%,0.52%,1.33%,-11.28%,-15.92%,-14.67%,-9.59%,-0.27%,-,-,-,-
31,Total Shareholder Return,-0.05%,-18.92%,6.73%,7.30%,4.37%,-5.62%,0.52%,1.33%,-11.28%,-15.69%,-14.67%,-9.59%,-0.27%,-,-,-,-
