,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,438.36,395.46,274.79,448.44,634.17,561.81,478.42,568.37,528.11,596.7,395.93,459.54,458.7,325.15,239.69,139.68
1,Other Revenue,-,-9.02,9.02,-,16.36,-9.03,9.03,-,14.52,-7.22,7.22,-,10.22,-1.7,1.7,-
2,Revenue,438.36,386.44,283.81,448.44,650.53,552.78,487.44,568.37,542.63,589.48,403.15,459.54,468.92,323.45,241.39,139.68
3,Revenue Growth (YoY),-32.62%,-30.09%,-41.78%,-21.10%,19.88%,-6.23%,20.91%,23.68%,15.72%,82.25%,67.01%,229.00%,-,-,-,-
4,Cost of Revenue,815.3,323.87,244.11,335.2,554.41,372.83,312.97,336.18,289.36,280.25,226.97,248.16,302.4,185.18,143.38,66.25
5,Gross Profit,-376.94,62.57,39.69,113.24,96.12,179.95,174.48,232.19,253.28,309.23,176.18,211.39,166.52,138.27,98.01,73.43
6,"Selling, General & Admin",-164.89,61.41,52.67,50.8,63.9,59.7,49.71,43.68,39.41,43.47,33.66,36.76,38.35,29.63,17.72,24.43
7,Research & Development,-92.61,26.48,31.22,34.92,58.52,44.89,54.04,48.3,48.06,52.61,30.94,23.16,24.92,18.24,7.6,8.37
8,Other Operating Expenses,60.71,-57.79,-7.04,4.12,9.53,-4.65,-3.55,-3.18,19.35,-3.21,-5.61,-0.21,2.86,-4.25,-13.99,0.05
9,Operating Expenses,-195.19,30.09,75.26,89.84,135.85,99.95,100.75,88.8,106.84,92.86,59,59.71,66.08,43.67,11.32,32.85
10,Operating Income,-181.75,32.47,-35.57,23.4,-39.73,80,73.72,143.39,146.44,216.37,117.19,151.68,100.44,94.6,86.68,40.58
11,Interest Expense,-25.72,-14.32,-14.86,-13.48,-12.98,-11.4,-7.48,-5.14,-10.21,-10.75,-7.24,-12.27,-9.49,-8.76,-2.81,-1.36
12,Interest & Investment Income,42.66,3.98,10.03,11.71,8.6,10.69,11.8,15.21,14.4,14.65,8.97,1.43,1.27,0.76,0.14,0.15
13,Currency Exchange Gain (Loss),-,-1.23,1.23,-,-1.11,-0.52,0.52,-,2.81,-2.65,2.65,-,-0.58,0.92,-0.92,-
14,Other Non Operating Income (Expenses),-1.05,1.14,-0.85,0.6,-0.41,-0.71,1.9,-0.08,-2.49,0.27,-7.36,-0.95,-1.39,-2.83,-0.56,-0.2
15,EBT Excluding Unusual Items,-165.85,22.05,-40.02,22.23,-45.62,78.06,80.45,153.4,150.94,217.89,114.2,139.88,90.25,84.69,82.53,39.16
16,Gain (Loss) on Sale of Investments,-3.26,2.71,0.56,-,0.17,-,0.25,0.6,3.06,2.01,2.35,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.36,-,-0.36,-,0.89,-,-,-,0.06,-,-,-,0.05,-,-,-
18,Asset Writedown,17.14,-17.14,-,-,-4.28,0.01,-0.01,-,-6.97,3.48,-3.48,-,-1.56,0.05,-0.05,-
19,Other Unusual Items,0.2,-39.53,10.93,28.4,60.83,-,-,-,37.47,-,-,-,-,-,-,-
