,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,2410,2515,2465,2440,2565,3380,2588,2002,1370,1322
1,Revenue Growth (YoY),-2.22%,3.08%,-3.91%,-27.82%,-0.89%,68.82%,88.97%,51.42%,36.24%,-
2,Cost of Revenue,1946,2150,1901,2175,1887,2375,1747,1426,936.57,964.21
3,Gross Profit,464.21,364.67,563.51,264.59,678.61,1005,841.41,576.26,433.03,358.14
4,"Selling, General & Admin",314.63,351.45,253.46,330.09,232.43,288.14,196.22,162.64,90.63,143.08
5,Other Operating Expenses,352.37,-149.3,134.78,-77.6,62.09,-19.81,-4.71,-22.26,-7.81,-23.74
6,Operating Expenses,667,546.43,388.24,1210,294.52,320.63,191.51,140.39,82.82,119.34
7,Operating Income,-202.79,-181.77,175.27,-945.42,384.09,684.39,649.9,435.87,350.22,238.8
8,Interest Expense,-5.9,-3.83,-5.3,-1.66,-6.73,-1.37,-0.22,-14.71,-62.28,-75.54
9,Interest & Investment Income,36.25,77.22,84.45,8.31,39.57,9.12,17.62,22.02,78.65,88.72
10,Earnings From Equity Investments,11.21,2.63,9.3,1.36,0.41,3.84,0.26,-0.77,-0.07,0.16
11,Currency Exchange Gain (Loss),-1.51,-4.29,1.79,1.73,26.62,-30.16,-47.37,-40.3,-,-
12,Other Non Operating Income (Expenses),-,-1133,-,-1180,-,-16.43,-,-,-,-
13,EBT Excluding Unusual Items,-162.73,-1243,265.51,-2115,443.95,649.39,620.19,402.11,366.52,252.14
14,Impairment of Goodwill,-14.71,-142.38,-,-288.13,-,-,-,-,-,-
15,Gain (Loss) on Sale of Investments,-16.83,-5.68,-,-,-2.7,16.23,33.57,2.33,-2.33,-0.73
16,Gain (Loss) on Sale of Assets,8.66,-0.02,-1.49,-4.63,-16.83,0.29,-0.83,-2.87,0.25,1.18
17,Asset Writedown,-,-3.47,-,-9.45,-,-,-,-,-,-
18,Other Unusual Items,0.96,8.51,2.24,-8.24,-,-,2.01,-,-,-1.46
19,Pretax Income,-184.65,-1386,266.25,-2426,424.41,665.91,654.94,401.57,364.44,251.12
20,Income Tax Expense,5.66,-188.05,50.17,-213.56,52.1,125.34,118.68,71.85,61.95,42.32
21,Earnings From Continuing Operations,-190.3,-1198,216.08,-2212,372.31,540.57,536.26,329.72,302.5,208.81
22,Minority Interest in Earnings,-4.13,57.23,-26.61,36.47,-15.08,-7.7,-11.95,-6.86,-8.74,-4.79
23,Net Income,-194.43,-1141,189.48,-2176,357.23,532.87,524.31,322.86,293.76,204.02
24,Net Income to Common,-194.43,-1141,189.48,-2176,357.23,532.87,524.31,322.86,293.76,204.02
25,Net Income Growth,-,-,-46.96%,-,-31.87%,65.05%,78.48%,58.25%,80.85%,-
26,Shares Outstanding (Basic),613,633,646,648,652,653,653,534,460,455
27,Shares Outstanding (Diluted),613,633,646,648,652,653,653,534,460,455
28,Shares Change (YoY),-5.09%,-2.35%,-0.91%,-0.68%,-0.15%,22.23%,41.95%,17.26%,0.98%,-
29,EPS (Basic),-0.32,-1.80,0.29,-3.36,0.55,0.82,0.80,0.60,0.64,0.45
30,EPS (Diluted),-0.32,-1.80,0.29,-3.36,0.55,0.82,0.80,0.60,0.64,0.45
31,EPS Growth,-,-,-46.47%,-,-31.76%,35.03%,25.74%,34.95%,79.10%,-
32,Free Cash Flow,-344.52,491.97,-88.67,680.27,-369.65,-257.07,648.27,111.91,8.1,325.13
33,Free Cash Flow Per Share,-0.56,0.78,-0.14,1.05,-0.57,-0.39,0.99,0.21,0.02,0.71
34,Operating Margin,-8.41%,-7.23%,7.11%,-38.75%,14.97%,20.25%,25.11%,21.77%,25.57%,18.06%
35,Profit Margin,-8.07%,-45.35%,7.69%,-89.18%,13.93%,15.76%,20.26%,16.12%,21.45%,15.43%
36,Free Cash Flow Margin,-14.29%,19.56%,-3.60%,27.88%,-14.41%,-7.61%,25.05%,5.59%,0.59%,24.59%
37,EBITDA,-172.7,-152.75,215.45,-926.56,399.98,688.45,656.14,440.45,355.05,242.27
38,D&A For EBITDA,30.09,29.02,40.17,18.86,15.89,4.06,6.24,4.58,4.83,3.48
39,EBIT,-202.79,-181.77,175.27,-945.42,384.09,684.39,649.9,435.87,350.22,238.8
40,Advertising Expenses,-,-,-,-,18.28,-,12.25,-,2.48,-
