,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,92,72,75,112,152,188,138,204,178,152,148
1,Market Cap Growth,-35.36%,-35.36%,-50.53%,-40.43%,10.14%,-7.84%,-22.47%,34.21%,20.27%,-33.33%,-58.89%
2,Enterprise Value,13,0,4,45,78,116,51,82,59,48,40
3,Last Close Price,0.23,0.18,0.19,0.28,0.38,0.44,0.29,0.41,0.28,0.24,0.24
4,PE Ratio,17.75,13.97,-,6.02,7.60,14.45,-,9.17,6.45,5.91,5.71
5,PS Ratio,0.82,0.65,0.60,0.85,1.18,1.43,1.08,1.56,1.32,1.08,1.01
6,PB Ratio,0.77,0.61,0.69,0.98,1.51,1.78,1.22,1.64,1.11,1.00,1.11
7,P/TBV Ratio,0.67,0.67,0.77,1.09,1.70,2.00,1.36,1.80,1.19,1.08,1.21
8,P/FCF Ratio,15.78,12.42,6.16,8.20,5.95,9.74,-,16.49,-,4.36,3.55
9,P/OCF Ratio,12.31,12.31,6.14,8.19,5.93,9.05,-,8.85,4.94,4.34,3.54
10,EV/Sales Ratio,0.12,0.00,0.03,0.35,0.60,0.88,0.40,0.63,0.44,0.34,0.27
11,EV/EBITDA Ratio,2.08,0.15,-,2.07,4.30,8.32,3.05,3.30,2.33,2.02,1.28
12,EV/EBIT Ratio,12.56,0.25,-,2.79,6.10,13.82,-,3.84,2.55,2.31,1.46
13,EV/FCF Ratio,2.22,0.04,0.35,3.31,3.04,5.99,-,6.64,-,1.38,0.96
14,Debt / Equity Ratio,0.03,0.03,0.06,0.07,0.02,0.04,0.06,0.07,0.07,0.08,0.01
15,Debt / FCF Ratio,0.67,0.67,0.50,0.61,0.07,0.21,-,0.69,-,0.36,0.04
16,Return on Capital Employed (ROCE),0.86%,0.86%,-,13.74%,12.64%,7.89%,-,16.60%,13.77%,13.00%,20.55%
17,Earnings Yield,5.63%,7.16%,11.45%,16.60%,13.15%,6.92%,8.52%,10.90%,15.50%,16.91%,17.51%
18,FCF Yield,6.34%,8.05%,16.23%,12.19%,16.80%,10.26%,7.76%,6.07%,14.22%,22.95%,28.15%
19,Dividend Yield,0.00%,-,-,-,-,18.07%,27.53%,6.15%,-,-,-
20,Total Shareholder Return,-,-,-,-,18.07%,27.53%,6.15%,-,-,-,
