,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,1811,1951,2164,1087,1655,2627,3280,2154,2183,3083,3113,2606,4975,4994,1206,1332,-,1608,-
1,Cash & Short-Term Investments,1811,1811,1951,2164,1087,1655,2627,3280,2154,2183,3083,3113,2606,4975,4994,1206,1332,-,1608,2367
2,Cash Growth,66.68%,9.46%,-25.76%,-34.03%,-49.56%,-24.21%,-14.76%,5.37%,-17.33%,-56.12%,-38.27%,158.20%,95.65%,-,210.54%,-49.07%,-,-,-,-
3,Accounts Receivable,-,9977,9743,9377,9037,9193,9029,8331,8189,9232,8384,8146,8040,8275,7646,6620,6365,-,5591,-
4,Other Receivables,-,43.42,37.86,58.95,37.85,58.85,46.75,47.45,51.83,54.33,39.52,33.47,43.43,36.34,65.81,38.32,32.75,-,42.06,-
5,Receivables,-,10021,9781,9435,9075,9251,9076,8378,8241,9287,8423,8179,8084,8311,7712,6659,6398,-,5633,-
6,Inventory,-,5688,5375,5249,4590,4501,3965,4584,4531,3786,3611,3908,3484,3520,2892,3026,2262,-,2664,-
7,Prepaid Expenses,-,-,79.67,-,-,-,-,-,-,-,-,-,-,37.59,-,70.22,-,-,27.35,-
8,Other Current Assets,-,168.01,128.5,182.11,146.98,172.47,195.17,220.29,175.87,151.71,133.53,166.06,162.76,143.89,118.64,135.12,123.5,-,119.87,-
9,Total Current Assets,-,17687,17315,17031,14898,15580,15863,16462,15101,15407,15251,15366,14336,16987,15716,11096,10115,-,10052,-
10,"Property, Plant & Equipment",-,7115,7093,7100,7304,6934,6536,5892,5585,5616,5573,5496,5462,5077,4905,4429,4337,-,3276,-
11,Long-Term Investments,-,2247,2210,2177,2168,2088,2100,2040,2010,1916,1856,1823,1769,1717,1720,1711,1644,-,1467,-
12,Other Intangible Assets,-,930.72,937.11,941.47,949.08,949.27,956.16,963.06,969.94,970.83,977.44,984.14,990.84,997.54,1004,741,746.16,-,723.59,-
13,Long-Term Deferred Tax Assets,-,85.1,84.98,76.6,77.58,78.03,84.36,85.79,85.93,82.82,80.72,84.89,86.98,88.56,88.91,84.83,83.52,-,92.69,-
14,Other Long-Term Assets,-,54.33,38.8,34.14,44.38,30.6,23.91,34.05,34.3,32.81,23.56,25.58,20.98,22.19,21.2,263.32,134.99,-,3.97,-
15,Total Assets,-,28120,27679,27360,25441,25661,25564,25476,23787,24026,23762,23780,22666,24890,23455,18325,17060,-,15616,-
16,Accounts Payable,-,7043,6697,6698,6134,6277,5833,5723,5608,5567,5137,5354,5598,6302,6157,5887,5150,-,4715,-
17,Accrued Expenses,-,-,65.17,0.02,50.5,0.75,143.65,4.8,55.83,4.85,98.99,0.06,95.67,0.19,58.56,51.96,124.31,-,120.62,-
18,Short-Term Debt,-,692.17,704.16,716.33,239.33,611.32,57.64,500,-,380,1290,1290,-,1350,1630,1623,1632,-,1643,-
19,Current Portion of Long-Term Debt,-,410.33,290.45,498.63,486.2,116.88,740.5,672.87,155,437.29,145,182.24,165,246.04,230,250,250,-,380,-
20,Current Portion of Leases,-,-,1.83,-,2.51,-,2.95,-,3.27,-,3.03,-,7.41,-,3.31,5.31,4.98,-,6.81,-
21,Current Income Taxes Payable,-,39.23,2.48,24.11,5.51,24.01,27.26,43.58,14.21,85.55,60.08,69.8,62.96,48.17,17.79,11.68,39.33,-,50.53,-
22,Current Unearned Revenue,-,1125,875.84,822.43,775.46,919.05,665.18,892.32,1070,1153,863.42,843.01,1060,806.65,677.02,706.18,728,-,456.08,-
23,Other Current Liabilities,-,75.08,541.33,75.73,56.9,85.18,607.37,71.69,70.61,106.73,69.22,91.95,80.67,200.01,172.76,177.46,196.94,-,262.29,-
24,Total Current Liabilities,-,9384,9178,8836,7751,8035,8077,7909,6977,7735,7667,7831,7070,8953,8946,8713,8125,-,7634,-
25,Long-Term Debt,-,1544,1614,1513,1013,1339,1344,1439,1094,1000,1190,1131,1131,1901,1370,650,300,-,200,-
26,Long-Term Leases,-,2.79,2.79,2.79,2.79,2.79,3.56,4.43,4.58,4.55,4.14,4.39,4.44,3.01,4.15,3.83,2.51,-,4.49,-
