,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,22081,23467,22507,19627,20694,21174,22347,25654,28108,21067,20001,21707,23574,27041,28481,32641,-,-,-,-,-
1,Market Cap Growth,10.83%,10.83%,0.72%,-23.49%,-26.38%,0.51%,11.73%,18.18%,19.23%,-22.09%,-29.78%,-33.50%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,22940,24327,23191,20216,21373,21611,21890,25013,27231,20727,19571,21224,22297,25587,26746,33989,-,-,-,-,-
3,Last Close Price,4.14,4.40,4.22,3.59,3.79,3.87,4.09,4.59,5.03,3.77,3.58,3.89,4.13,4.73,4.98,5.71,-,-,-,-,-
4,PE Ratio,14.79,15.56,15.99,15.20,13.39,13.29,13.49,13.83,14.92,11.42,10.83,11.83,13.31,15.58,16.16,18.43,-,-,-,-,-
5,Forward PE,8.63,9.31,12.06,10.82,6.69,7.22,8.22,10.13,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.22,2.34,2.39,2.12,2.06,2.11,2.31,2.49,2.72,2.09,1.97,2.17,2.41,2.84,2.93,3.50,-,-,-,-,-
7,PB Ratio,1.29,1.37,1.32,1.17,1.22,1.28,1.38,1.61,1.76,1.36,1.33,1.48,1.62,1.91,2.07,2.54,-,-,-,-,-
8,P/TBV Ratio,1.45,1.45,1.39,1.24,1.30,1.36,1.47,1.71,1.88,1.45,1.42,1.59,1.74,2.05,2.24,2.77,-,-,-,-,-
9,P/FCF Ratio,-,-,182.41,-,-34.59,-,-,-,-,118.52,-,-16.82,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,19.66,32.73,29.52,30.10,-,19.52,14.91,19.68,57.50,-40.44,-,-18.22,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.28,2.42,2.46,2.18,2.13,2.16,2.26,2.43,2.64,2.05,1.93,2.12,2.28,2.69,2.75,3.65,-,-,-,-,-
12,EV/EBITDA Ratio,9.36,9.87,10.82,10.33,9.28,9.41,10.05,10.72,11.52,9.00,7.87,8.42,8.99,10.73,12.36,16.39,-,-,-,-,-
13,EV/EBIT Ratio,13.87,14.71,17.39,17.24,13.97,13.94,15.02,15.25,16.08,12.48,10.45,11.28,12.04,14.19,16.33,20.95,-,-,-,-,-
