,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,3246,2025,2381,2395,2579,1866,3164,2365,2240,2474,3207,2136,2264,2350,2970,1863,2482,1937,2211,935.1
1,Other Revenue,-,-27.3,27.3,-,52.75,-34.49,34.49,-,44.86,-18.82,18.82,-,70.68,-32.71,32.71,-,46.64,-12.07,6.71,5.36
2,Revenue,3246,1997,2408,2395,2632,1832,3198,2365,2284,2455,3226,2136,2335,2317,3002,1863,2528,1925,2217,940.47
3,Revenue Growth (YoY),23.31%,9.05%,-24.71%,1.25%,15.21%,-25.40%,-0.86%,10.75%,-2.16%,5.95%,7.45%,14.67%,-7.64%,20.39%,35.41%,98.06%,-,-,-,-
4,Cost of Revenue,-4701,1368,1690,1643,1865,1240,2205,1575,1486,1622,2088,1466,1611,1608,2009,1212,1763,1223,1393,627.07
5,Gross Profit,7946,629.58,717.71,752.52,766.73,591.48,993.39,790.47,798.23,833.37,1138,669.95,724.12,708.89,993.59,650.98,764.74,701.94,823.92,313.4
6,"Selling, General & Admin",-447.05,139.09,130.39,177.56,175.98,218.31,158.66,166.57,189.89,187.37,190.8,153.02,176.64,193.59,159.02,162.38,170.68,182.14,141.24,130.62
7,Research & Development,-630.53,209.83,182.64,238.06,209.69,227.88,210.82,232.7,220.69,266.05,292.31,149.37,147.16,174.96,180.66,174.76,184.22,165.68,109.53,93.52
8,Other Operating Expenses,8422,-64.91,82.13,-46.51,23.48,-52.65,-33.64,-20.07,116.2,1.08,-14.56,-8.89,-57.84,-34.26,-3.5,-19.09,146.01,-22.61,-66.19,10.19
9,Operating Expenses,7291,284.07,447.08,369.85,431.86,407.11,364.87,388.41,555.85,465.99,456.61,300.26,270.41,332.92,341.19,330.4,475.86,341.01,217.41,231.53
10,Operating Income,654.85,345.51,270.63,382.67,334.86,184.36,628.52,402.05,242.38,367.37,681.77,369.69,453.71,375.97,652.4,320.58,288.88,360.93,606.51,81.87
