,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters
0,Revenue,208.33,-,510,700,500,277.78,-,-,8.75,283.7,74.16,212.3,257.86,1066,827.37,902.59,948.07,1662,1306,1844,Upgrade
1,Revenue Growth (YoY),-58.33%,-,-,-,5612.98%,-2.09%,-,-,-96.61%,-73.38%,-91.04%,-76.48%,-72.80%,-35.87%,-36.63%,-51.04%,-44.90%,-37.40%,-22.12%,-3.89%,Upgrade
2,Cost of Revenue,70,-,-,-,-,-,-,-,6.81,88.89,77.74,194.94,229.29,1036,803.47,912.18,1180,1563,1223,1358,Upgrade
3,Gross Profit,138.33,-,510,700,500,277.78,-,-,1.94,194.81,-3.59,17.36,28.57,29.86,23.9,-9.59,-232.1,99.08,82.37,485.75,Upgrade
4,"Selling, General & Admin",122.91,347.61,363.05,357.26,264.87,262.14,554.21,131.45,65.56,120.82,53.88,151.54,109.17,119.56,153.55,188.76,243.11,188.04,306.34,379.6,Upgrade
5,Operating Expenses,122.91,347.61,363.05,357.26,264.87,262.14,554.21,131.45,65.56,120.82,53.88,151.54,109.17,119.56,153.55,188.76,243.11,188.04,306.34,379.6,Upgrade
6,Operating Income,15.42,-347.61,146.95,342.74,235.13,15.64,-554.21,-131.45,-63.61,73.99,-57.46,-134.18,-80.59,-89.7,-129.65,-198.35,-475.21,-88.96,-223.97,106.15,Upgrade
7,Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-508.18,-65.1,-,-,-38.84,-122.5,-,-120.5,Upgrade
8,Interest & Investment Income,0.24,0.04,0.03,0.03,0.36,2.26,0.24,0.67,0.7,0.48,0.62,3.31,5.59,0.14,84.9,994.22,0.55,1300,0.13,0.22,Upgrade
9,Other Non Operating Income (Expenses),-,541.32,-16.2,-13.08,-5.56,-,-143.38,-,-,-0.04,-,717.83,-,-,-,608.16,-1.04,-615.54,-0.28,-0.3,Upgrade
10,EBT Excluding Unusual Items,15.67,193.76,130.79,329.69,229.93,17.9,-697.34,-130.78,-62.91,74.43,-56.84,586.96,-583.19,-154.66,-44.75,1404,-514.53,473.09,-224.12,-14.43,Upgrade
11,Pretax Income,15.67,193.76,130.79,329.69,229.93,17.9,-697.34,-130.78,-62.91,74.43,-56.84,586.96,-583.19,-154.66,-44.75,1404,-514.53,473.09,-224.12,-14.43,Upgrade
12,Income Tax Expense,-,51.81,34.95,65.94,47.1,-,-,-,-,3.82,-,-,-,96.76,-,124.53,-,48.33,-,-,Upgrade
13,Net Income,15.67,141.95,95.83,263.75,182.83,17.9,-697.34,-130.78,-62.91,70.6,-56.84,586.96,-583.19,-251.42,-44.75,1279,-514.53,424.76,-224.12,-14.43,Upgrade
14,Net Income to Common,15.67,141.95,95.83,263.75,182.83,17.9,-697.34,-130.78,-62.91,70.6,-56.84,586.96,-583.19,-251.42,-44.75,1279,-514.53,424.76,-224.12,-14.43,Upgrade
15,Net Income Growth,-91.43%,692.85%,-,-,-,-74.64%,-,-,-,-,-,-54.13%,-,-,-,-,-,-58.80%,-,-,Upgrade
16,Shares Outstanding (Basic),16,16,16,16,15,18,15,16,16,14,14,15,16,16,15,15,15,15,15,14,Upgrade
17,Shares Outstanding (Diluted),16,16,16,16,15,18,15,16,16,14,14,15,16,16,15,15,15,15,15,14,Upgrade
18,Shares Change (YoY),2.83%,-11.91%,3.07%,-5.09%,-3.12%,26.79%,9.05%,5.83%,-0.22%,-10.14%,-4.74%,1.41%,4.15%,3.58%,-0.16%,5.56%,-1.96%,-1.41%,-0.19%,-6.16%,Upgrade
19,EPS (Basic),1.00,9.00,6.00,17.00,12.00,1.00,-45.00,-8.00,-4.00,5.00,-4.00,38.00,-37.00,-16.00,-3.00,84.00,-34.00,28.00,-15.00,-1.00,Upgrade
20,EPS (Diluted),1.00,9.00,6.00,17.00,12.00,1.00,-45.00,-8.00,-4.00,5.00,-4.00,38.00,-37.00,-16.00,-3.00,84.00,-34.00,28.00,-15.00,-1.00,Upgrade
21,EPS Growth,-91.67%,800.00%,-,-,-,-80.00%,-,-,-,-,-,-54.76%,-,-,-,-,-,-58.21%,-,-,Upgrade
