,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters
0,Cash & Equivalents,613.71,107.68,944.55,46.75,209.36,2723,107.48,1153,1051,921.53,-,1433,-,5717,549.23,9492,10205,288.02,91.67,304.09,Upgrade
1,Cash & Short-Term Investments,613.71,107.68,944.55,46.75,209.36,2723,107.48,1153,1051,921.53,-,1433,5717,5717,549.23,9492,10205,288.02,91.67,304.09,Upgrade
2,Cash Growth,193.14%,-96.05%,778.80%,-95.94%,-80.09%,195.47%,-,-19.58%,-81.61%,-83.88%,-,-84.90%,-43.98%,1884.87%,499.14%,3021.32%,6393.39%,-81.54%,-,-,Upgrade
3,Accounts Receivable,445,351,1214,662.76,1893,192.76,-,-,176.55,226.82,-,81.06,-,413.88,298.93,19085,521.11,16259,16341,16571,Upgrade
4,Other Receivables,7271,6483,2340,4506,9487,40138,118.12,73.51,219.63,155.24,-,334.25,-,569.11,747.98,798.18,652.68,12908,11896,13626,Upgrade
5,Receivables,7716,6834,3553,5169,11380,40330,118.12,73.51,396.19,382.06,-,415.31,-,982.99,1047,19883,1174,29167,28238,30197,Upgrade
6,Inventory,407967,403000,399890,364634,364634,18.12,18.12,-,-,6.81,-,23.03,-,30.26,100.3,153.89,293.79,590.72,710.21,693.58,Upgrade
7,Prepaid Expenses,8.93,29.59,132.91,182.3,279.61,22.35,227.11,738.79,748.31,-,-,40.36,-,-,22.98,-,-,-,33.23,65.3,Upgrade
8,Other Current Assets,86480,86726,87088,86816,86713,79713,227732,219760,2075,2020,-,2049,-,2969,2574,2595,3808,3713,3703,2987,Upgrade
9,Total Current Assets,502786,496697,491608,456848,463217,122806,228203,221725,4271,3331,-,3961,-,9699,4293,32124,15480,33759,32776,34246,Upgrade
10,"Property, Plant & Equipment",-,1813,4109,38319,30490,368016,288062,277805,275939,258346,-,256229,-,170507,165631,133657,131848,131459,131253,130516,Upgrade
11,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17307,3307,3915,3915,Upgrade
12,Other Long-Term Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,15.28,30.19,91.08,113.84,45.83,53.46,-,Upgrade
13,Total Assets,502786,498510,495718,495167,493707,490823,516265,499530,280211,261677,-,260190,-,180221,169955,165873,164749,168571,167997,168677,Upgrade
14,Accounts Payable,780.05,637.17,484.6,385.1,430.76,940.33,522.41,632.96,1223,601.45,-,298.99,-,776.37,705.34,595.35,923.4,1202,1191,1534,Upgrade
15,Accrued Expenses,3033,2937,1760,1493,438.81,864.34,6350,2886,2856,2871,-,1372,-,313.66,145.54,139.08,127.91,397.6,342.48,415.46,Upgrade
16,Short-Term Debt,53616,48616,48616,48616,48616,250000,318000,108000,108000,90000,-,90000,-,14200,4000,-,-,2700,2700,2700,Upgrade
17,Current Income Taxes Payable,32.31,311.43,631.58,515.94,316.03,172.2,105.7,5.02,2.22,11.68,-,-,-,104.68,120.83,124.53,-,69.91,-,-,Upgrade
18,Other Current Liabilities,59717,60363,58911,58869,58881,76742,29201,14986,4979,4979,-,5218,-,5239,5269,5255,5219,5212,5199,5238,Upgrade
19,Total Current Liabilities,117178,112865,110403,109878,108682,328719,354179,126510,117059,98463,-,96889,-,20634,10241,6114,6270,9581,9432,9888,Upgrade
